round_epochs,loss,mae,mse,val_loss,val_mae,val_mse,activation,epochs,losses,n_layers_after,n_lstm_node_first,n_lstm_node_second,n_node_hidden_layers,optimizer,reg,regw
300,0.05041567608714104,0.05041567608714104,0.005799049511551857,0.06003664433956146,0.06003664433956146,0.010670431889593601,elu,300,mae,0,20,0,50,sgd,<function <lambda> at 0x14ab145f0>,0.0005
300,0.03547603636980057,0.03547603636980057,0.0034921409096568823,0.05027996376156807,0.05027996376156807,0.010400687344372272,relu,300,mae,1,20,10,30,Adam,<function <lambda> at 0x14ab145f0>,0.001
500,0.0036913705989718437,0.0413890965282917,0.0036913705989718437,0.011243421584367752,0.05856379494071007,0.011243421584367752,elu,500,mse,0,10,0,50,Adam,<function <lambda> at 0x14ab145f0>,0.0005
300,0.10244103521108627,0.06275118142366409,0.00731807854026556,0.10615425556898117,0.0697549432516098,0.011053548194468021,relu,300,mse,0,10,0,50,sgd,<function <lambda> at 0x14ab14830>,0.001
300,0.44787320494651794,0.12728963792324066,0.029785454273223877,0.4461993873119354,0.12870196998119354,0.02821340411901474,relu,300,mse,2,20,10,30,sgd,<function <lambda> at 0x14ab14830>,0.001
500,0.04994586110115051,0.04172676429152489,0.004314562305808067,0.06080442667007446,0.05257890000939369,0.010576226748526096,sigmoid,500,mae,2,20,10,30,Adam,<function <lambda> at 0x14ab14050>,0.0001
500,0.010356857441365719,0.05151927471160889,0.005209414754062891,0.016157351434230804,0.06388993561267853,0.011005239561200142,elu,500,mse,2,10,30,50,Adam,<function <lambda> at 0x14ab14050>,0.001
300,0.044205326586961746,0.03931216150522232,0.003930818289518356,0.05650227144360542,0.051611024886369705,0.010227787308394909,elu,300,mae,2,20,10,50,Adam,<function <lambda> at 0x14ab14050>,0.0001
500,0.4496423304080963,0.14909105002880096,0.07192644476890564,0.4310048520565033,0.13053402304649353,0.05819195881485939,sigmoid,500,mae,2,10,10,30,sgd,<function <lambda> at 0x14ab14830>,0.001
500,0.007108354475349188,0.04840584471821785,0.00488171586766839,0.01308093685656786,0.06112941354513168,0.010853813961148262,relu,500,mse,1,30,20,10,Adam,<function <lambda> at 0x14ab14050>,0.0005
500,0.21563564240932465,0.14481499791145325,0.06800686568021774,0.1990639716386795,0.12825313210487366,0.05410010367631912,sigmoid,500,mae,2,20,0,30,sgd,<function <lambda> at 0x14ab14050>,0.001
300,0.0806722566485405,0.05623139068484306,0.006710449233651161,0.0862816795706749,0.06184222176671028,0.010673523880541325,relu,300,mae,2,10,0,10,sgd,<function <lambda> at 0x14ab14050>,0.0005
300,0.4432833790779114,0.17659567296504974,0.058394189924001694,0.4390534460544586,0.17683586478233337,0.05430515855550766,sigmoid,300,mse,1,20,30,10,sgd,<function <lambda> at 0x14ab14830>,0.001
300,0.05567777529358864,0.0444692000746727,0.004990989807993174,0.0664249137043953,0.05522366613149643,0.010836372151970863,elu,300,mae,0,10,0,10,Adam,<function <lambda> at 0x14ab14830>,0.0005
500,0.035833004862070084,0.035833004862070084,0.0033741591032594442,0.05165966600179672,0.05165966600179672,0.010599102824926376,sigmoid,500,mae,0,30,30,30,Adam,<function <lambda> at 0x14ab145f0>,0.0001
500,0.057593006640672684,0.1751101016998291,0.057593006640672684,0.05348196625709534,0.17516987025737762,0.05348196625709534,sigmoid,500,mse,2,20,0,10,sgd,<function <lambda> at 0x14ab145f0>,0.0001
500,0.008029541932046413,0.04921526089310646,0.004846919793635607,0.01397640909999609,0.06120060384273529,0.010794871486723423,elu,500,mse,2,10,10,30,Adam,<function <lambda> at 0x14ab14830>,0.0001
500,0.009309111163020134,0.06807345896959305,0.009309111163020134,0.011647897772490978,0.07414501160383224,0.011647897772490978,relu,500,mse,2,10,10,30,sgd,<function <lambda> at 0x14ab145f0>,0.0001
500,0.006601390894502401,0.048599690198898315,0.004767358768731356,0.012743447907269001,0.06190524622797966,0.010910000652074814,elu,500,mse,1,30,0,50,Adam,<function <lambda> at 0x14ab14830>,0.0001
500,0.08095505088567734,0.07479466497898102,0.012650632299482822,0.07559728622436523,0.06943589448928833,0.012066751718521118,elu,500,mae,0,20,20,50,sgd,<function <lambda> at 0x14ab14050>,0.0001
300,0.03737860545516014,0.03737860545516014,0.0036233041901141405,0.05162055417895317,0.05162055417895317,0.010513057932257652,elu,300,mae,0,30,30,10,Adam,<function <lambda> at 0x14ab145f0>,0.0005
300,0.14272643625736237,0.10811014473438263,0.03476729243993759,0.1257437765598297,0.09112687408924103,0.028687607496976852,relu,300,mae,0,20,20,50,sgd,<function <lambda> at 0x14ab14830>,0.0001
500,0.015931636095046997,0.05288081616163254,0.005468702409416437,0.02139413356781006,0.06354953348636627,0.01092973817139864,sigmoid,500,mse,1,30,0,10,Adam,<function <lambda> at 0x14ab14830>,0.001
300,0.723430871963501,0.10091359168291092,0.0180792436003685,0.7229334712028503,0.10191956162452698,0.01782378926873207,elu,300,mse,2,30,30,30,sgd,<function <lambda> at 0x14ab14830>,0.001
500,0.014003749005496502,0.08774945139884949,0.014003749005496502,0.015231620520353317,0.09103070944547653,0.015231620520353317,elu,500,mse,2,20,20,10,sgd,<function <lambda> at 0x14ab145f0>,0.001
500,0.04848862066864967,0.042099688202142715,0.004447036422789097,0.05964014679193497,0.05324491858482361,0.010542542673647404,relu,500,mae,0,10,30,50,Adam,<function <lambda> at 0x14ab14050>,0.0005
300,0.0058520883321762085,0.04848254844546318,0.004750030115246773,0.012237127870321274,0.06240333989262581,0.011135450564324856,relu,300,mse,0,10,30,30,Adam,<function <lambda> at 0x14ab14050>,0.0001
300,0.06327684223651886,0.04717954248189926,0.005427706055343151,0.07165390998125076,0.05555127188563347,0.01072765700519085,sigmoid,300,mae,1,30,30,30,Adam,<function <lambda> at 0x14ab14050>,0.001
300,0.05132244899868965,0.04473571851849556,0.0049982513301074505,0.061072394251823425,0.05448388308286667,0.010703162290155888,relu,300,mae,0,10,20,50,Adam,<function <lambda> at 0x14ab14050>,0.0005
