round_epochs,loss,mae,mse,val_loss,val_mae,val_mse,activation,epochs,losses,n_layers_after,n_lstm_node_first,n_lstm_node_second,n_node_hidden_layers,optimizer,reg,regw
500,0.015890425071120262,0.10281890630722046,0.015890425071120262,0.026659660041332245,0.13907000422477722,0.026659660041332245,relu,500,mse,0,10,10,10,sgd,<function <lambda> at 0x149bc7290>,0.0001
500,0.04198635369539261,0.03931533545255661,0.003564974991604686,0.09437663108110428,0.09170492738485336,0.0226528849452734,relu,500,mae,0,10,0,10,Adam,<function <lambda> at 0x149bc7560>,0.0001
300,0.009755252860486507,0.04747023060917854,0.004555745981633663,0.03022153489291668,0.09919784963130951,0.025028128176927567,relu,300,mse,1,20,10,50,Adam,<function <lambda> at 0x149bc7200>,0.0001
500,0.09733099490404129,0.058345600962638855,0.007012862712144852,0.1511274129152298,0.11214405298233032,0.02900170162320137,elu,500,mae,0,30,30,10,sgd,<function <lambda> at 0x149bc7560>,0.0005
300,0.011631255969405174,0.05254639685153961,0.005054783076047897,0.03217388316988945,0.10518600791692734,0.025597037747502327,elu,300,mse,2,20,20,30,Adam,<function <lambda> at 0x149bc7560>,0.001
300,0.008869399316608906,0.05246534198522568,0.004963458050042391,0.02891579084098339,0.10286860167980194,0.025013228878378868,elu,300,mse,0,30,10,50,Adam,<function <lambda> at 0x149bc7200>,0.0001
500,0.11543439328670502,0.057184211909770966,0.006197501439601183,0.16496440768241882,0.10672183334827423,0.026748836040496826,elu,500,mae,0,20,20,10,sgd,<function <lambda> at 0x149bc7560>,0.001
500,0.0030059227719902992,0.03911405801773071,0.0030059227719902992,0.02119680866599083,0.08888886123895645,0.02119680866599083,elu,500,mse,1,10,30,10,Adam,<function <lambda> at 0x149bc7290>,0.0001
300,0.11779575049877167,0.06207924336194992,0.007072963751852512,0.16289149224758148,0.10717637836933136,0.027141571044921875,elu,300,mae,1,20,30,30,sgd,<function <lambda> at 0x149bc7200>,0.0001
300,0.06003890186548233,0.047409266233444214,0.004516669549047947,0.11530561000108719,0.1026739776134491,0.025043493136763573,elu,300,mae,1,20,30,50,Adam,<function <lambda> at 0x149bc7560>,0.001
500,0.14384515583515167,0.05733436718583107,0.006428934168070555,0.19708356261253357,0.11059550940990448,0.027754243463277817,relu,500,mae,0,10,0,10,sgd,<function <lambda> at 0x149bc7200>,0.001
500,0.07045447826385498,0.05123791843652725,0.005548357963562012,0.11834992468357086,0.09913446009159088,0.02467159554362297,relu,500,mae,1,10,0,30,sgd,<function <lambda> at 0x149bc7560>,0.0005
500,0.29245322942733765,0.06077827885746956,0.007344171404838562,0.3613364100456238,0.12969839572906494,0.03247547522187233,elu,500,mae,2,10,30,30,sgd,<function <lambda> at 0x149bc7200>,0.0005
500,0.002826400101184845,0.0355089008808136,0.002826400101184845,0.020982269197702408,0.08383483439683914,0.020982269197702408,relu,500,mse,1,20,30,30,Adam,<function <lambda> at 0x149bc7290>,0.0001
500,0.0032179744448512793,0.0399789959192276,0.0032179744448512793,0.02227429300546646,0.08977415412664413,0.02227429300546646,relu,500,mse,0,10,20,10,Adam,<function <lambda> at 0x149bc7290>,0.0005
500,0.017615657299757004,0.06777862459421158,0.007580492179840803,0.038189928978681564,0.11451549828052521,0.028154833242297173,elu,500,mse,2,10,20,30,sgd,<function <lambda> at 0x149bc7560>,0.0001
500,0.0021568804513663054,0.03057672269642353,0.0021568804513663054,0.019213423132896423,0.07944298535585403,0.019213423132896423,relu,500,mse,2,10,0,50,Adam,<function <lambda> at 0x149bc7290>,0.0005
300,0.6600117087364197,0.24642357230186462,0.11555130034685135,0.6431218981742859,0.2296798825263977,0.09467270225286484,sigmoid,300,mae,2,20,30,10,sgd,<function <lambda> at 0x149bc7200>,0.001
300,0.026214631274342537,0.13689815998077393,0.026214631274342537,0.03273073956370354,0.15610402822494507,0.03273073583841324,elu,300,mse,1,10,20,10,sgd,<function <lambda> at 0x149bc7290>,0.0001
500,0.16884881258010864,0.26300883293151855,0.09514570236206055,0.16590434312820435,0.2675224244594574,0.09221307933330536,sigmoid,500,mse,2,10,10,30,sgd,<function <lambda> at 0x149bc7560>,0.001
500,0.07214980572462082,0.05012272298336029,0.005059309769421816,0.12317349761724472,0.10114464163780212,0.0252505112439394,elu,500,mae,1,20,10,30,Adam,<function <lambda> at 0x149bc7200>,0.001
500,0.03548699617385864,0.03548699617385864,0.0032212689984589815,0.08970464020967484,0.08970464020967484,0.021675948053598404,sigmoid,500,mae,0,30,20,50,Adam,<function <lambda> at 0x149bc7290>,0.0001
300,0.23159706592559814,0.23159706592559814,0.10272931307554245,0.21857352554798126,0.21857352554798126,0.08899762481451035,sigmoid,300,mae,1,10,20,30,sgd,<function <lambda> at 0x149bc7290>,0.0001
300,0.16611184179782867,0.0603308230638504,0.00704237399622798,0.22609983384609222,0.12032322585582733,0.02880336157977581,elu,300,mae,2,30,30,50,sgd,<function <lambda> at 0x149bc7200>,0.0001
300,0.047004975378513336,0.06489986181259155,0.007605908904224634,0.06876618415117264,0.11631950736045837,0.029369983822107315,elu,300,mse,2,20,0,30,sgd,<function <lambda> at 0x149bc7560>,0.0005
500,0.00792799424380064,0.0496358647942543,0.004572208505123854,0.028069835156202316,0.10174628347158432,0.02471867762506008,elu,500,mse,2,30,10,50,Adam,<function <lambda> at 0x149bc7200>,0.0001
300,0.017756406217813492,0.051741763949394226,0.005119000095874071,0.03646593168377876,0.09724635630846024,0.02383861131966114,sigmoid,300,mse,2,20,20,30,Adam,<function <lambda> at 0x149bc7200>,0.0001
300,0.005808510817587376,0.04740848019719124,0.004122513812035322,0.026370353996753693,0.10138305276632309,0.024685760959982872,sigmoid,300,mse,0,20,20,50,Adam,<function <lambda> at 0x149bc7560>,0.0001
300,0.03153397887945175,0.14807431399822235,0.03153397887945175,0.035873495042324066,0.16265778243541718,0.035873495042324066,elu,300,mse,1,30,10,10,sgd,<function <lambda> at 0x149bc7290>,0.0005
500,0.24025501310825348,0.24025504291057587,0.10909057408571243,0.22747670114040375,0.22747670114040375,0.0959930494427681,sigmoid,500,mae,2,10,10,10,sgd,<function <lambda> at 0x149bc7290>,0.0005
300,0.011408993974328041,0.05151072144508362,0.00507256668061018,0.03075900860130787,0.09813680499792099,0.024425284937024117,relu,300,mse,2,30,0,10,Adam,<function <lambda> at 0x149bc7200>,0.0005
