iso_code,location,date,icu_patients,hosp_patients,population
AFG,Afghanistan,2020-04-12,,,38928341.0
AFG,Afghanistan,2020-04-13,,,38928341.0
AFG,Afghanistan,2020-04-14,,,38928341.0
AFG,Afghanistan,2020-04-15,,,38928341.0
AFG,Afghanistan,2020-04-16,,,38928341.0
AFG,Afghanistan,2020-04-17,,,38928341.0
AFG,Afghanistan,2020-04-18,,,38928341.0
AFG,Afghanistan,2020-04-19,,,38928341.0
AFG,Afghanistan,2020-04-20,,,38928341.0
AFG,Afghanistan,2020-04-21,,,38928341.0
AFG,Afghanistan,2020-04-22,,,38928341.0
AFG,Afghanistan,2020-04-23,,,38928341.0
AFG,Afghanistan,2020-04-24,,,38928341.0
AFG,Afghanistan,2020-04-25,,,38928341.0
AFG,Afghanistan,2020-04-26,,,38928341.0
AFG,Afghanistan,2020-04-27,,,38928341.0
AFG,Afghanistan,2020-04-28,,,38928341.0
AFG,Afghanistan,2020-04-29,,,38928341.0
AFG,Afghanistan,2020-04-30,,,38928341.0
AFG,Afghanistan,2020-05-01,,,38928341.0
AFG,Afghanistan,2020-05-02,,,38928341.0
AFG,Afghanistan,2020-05-03,,,38928341.0
AFG,Afghanistan,2020-05-04,,,38928341.0
AFG,Afghanistan,2020-05-05,,,38928341.0
AFG,Afghanistan,2020-05-06,,,38928341.0
AFG,Afghanistan,2020-05-07,,,38928341.0
AFG,Afghanistan,2020-05-08,,,38928341.0
AFG,Afghanistan,2020-05-09,,,38928341.0
AFG,Afghanistan,2020-05-10,,,38928341.0
AFG,Afghanistan,2020-05-11,,,38928341.0
AFG,Afghanistan,2020-05-12,,,38928341.0
AFG,Afghanistan,2020-05-13,,,38928341.0
AFG,Afghanistan,2020-05-14,,,38928341.0
AFG,Afghanistan,2020-05-15,,,38928341.0
AFG,Afghanistan,2020-05-16,,,38928341.0
AFG,Afghanistan,2020-05-17,,,38928341.0
AFG,Afghanistan,2020-05-18,,,38928341.0
AFG,Afghanistan,2020-05-19,,,38928341.0
AFG,Afghanistan,2020-05-20,,,38928341.0
AFG,Afghanistan,2020-05-21,,,38928341.0
AFG,Afghanistan,2020-05-22,,,38928341.0
AFG,Afghanistan,2020-05-23,,,38928341.0
AFG,Afghanistan,2020-05-24,,,38928341.0
AFG,Afghanistan,2020-05-25,,,38928341.0
AFG,Afghanistan,2020-05-26,,,38928341.0
AFG,Afghanistan,2020-05-27,,,38928341.0
AFG,Afghanistan,2020-05-28,,,38928341.0
AFG,Afghanistan,2020-05-29,,,38928341.0
AFG,Afghanistan,2020-05-30,,,38928341.0
AFG,Afghanistan,2020-05-31,,,38928341.0
AFG,Afghanistan,2020-06-01,,,38928341.0
AFG,Afghanistan,2020-06-02,,,38928341.0
AFG,Afghanistan,2020-06-03,,,38928341.0
AFG,Afghanistan,2020-06-04,,,38928341.0
AFG,Afghanistan,2020-06-05,,,38928341.0
AFG,Afghanistan,2020-06-06,,,38928341.0
AFG,Afghanistan,2020-06-07,,,38928341.0
AFG,Afghanistan,2020-06-08,,,38928341.0
AFG,Afghanistan,2020-06-09,,,38928341.0
AFG,Afghanistan,2020-06-10,,,38928341.0
AFG,Afghanistan,2020-06-11,,,38928341.0
AFG,Afghanistan,2020-06-12,,,38928341.0
AFG,Afghanistan,2020-06-13,,,38928341.0
AFG,Afghanistan,2020-06-14,,,38928341.0
AFG,Afghanistan,2020-06-15,,,38928341.0
AFG,Afghanistan,2020-06-16,,,38928341.0
AFG,Afghanistan,2020-06-17,,,38928341.0
AFG,Afghanistan,2020-06-18,,,38928341.0
AFG,Afghanistan,2020-06-19,,,38928341.0
AFG,Afghanistan,2020-06-20,,,38928341.0
AFG,Afghanistan,2020-06-21,,,38928341.0
AFG,Afghanistan,2020-06-22,,,38928341.0
AFG,Afghanistan,2020-06-23,,,38928341.0
AFG,Afghanistan,2020-06-24,,,38928341.0
AFG,Afghanistan,2020-06-25,,,38928341.0
AFG,Afghanistan,2020-06-26,,,38928341.0
AFG,Afghanistan,2020-06-27,,,38928341.0
AFG,Afghanistan,2020-06-28,,,38928341.0
AFG,Afghanistan,2020-06-29,,,38928341.0
AFG,Afghanistan,2020-06-30,,,38928341.0
AFG,Afghanistan,2020-07-01,,,38928341.0
AFG,Afghanistan,2020-07-02,,,38928341.0
AFG,Afghanistan,2020-07-03,,,38928341.0
AFG,Afghanistan,2020-07-04,,,38928341.0
AFG,Afghanistan,2020-07-05,,,38928341.0
AFG,Afghanistan,2020-07-06,,,38928341.0
AFG,Afghanistan,2020-07-07,,,38928341.0
AFG,Afghanistan,2020-07-08,,,38928341.0
AFG,Afghanistan,2020-07-09,,,38928341.0
AFG,Afghanistan,2020-07-10,,,38928341.0
AFG,Afghanistan,2020-07-11,,,38928341.0
AFG,Afghanistan,2020-07-12,,,38928341.0
AFG,Afghanistan,2020-07-13,,,38928341.0
AFG,Afghanistan,2020-07-14,,,38928341.0
AFG,Afghanistan,2020-07-15,,,38928341.0
AFG,Afghanistan,2020-07-16,,,38928341.0
AFG,Afghanistan,2020-07-17,,,38928341.0
AFG,Afghanistan,2020-07-18,,,38928341.0
AFG,Afghanistan,2020-07-19,,,38928341.0
AFG,Afghanistan,2020-07-20,,,38928341.0
AFG,Afghanistan,2020-07-21,,,38928341.0
AFG,Afghanistan,2020-07-22,,,38928341.0
AFG,Afghanistan,2020-07-23,,,38928341.0
AFG,Afghanistan,2020-07-24,,,38928341.0
AFG,Afghanistan,2020-07-25,,,38928341.0
AFG,Afghanistan,2020-07-26,,,38928341.0
AFG,Afghanistan,2020-07-27,,,38928341.0
AFG,Afghanistan,2020-07-28,,,38928341.0
AFG,Afghanistan,2020-07-29,,,38928341.0
AFG,Afghanistan,2020-07-30,,,38928341.0
AFG,Afghanistan,2020-07-31,,,38928341.0
AFG,Afghanistan,2020-08-01,,,38928341.0
AFG,Afghanistan,2020-08-02,,,38928341.0
AFG,Afghanistan,2020-08-03,,,38928341.0
AFG,Afghanistan,2020-08-04,,,38928341.0
AFG,Afghanistan,2020-08-05,,,38928341.0
AFG,Afghanistan,2020-08-06,,,38928341.0
AFG,Afghanistan,2020-08-07,,,38928341.0
AFG,Afghanistan,2020-08-08,,,38928341.0
AFG,Afghanistan,2020-08-09,,,38928341.0
AFG,Afghanistan,2020-08-10,,,38928341.0
AFG,Afghanistan,2020-08-11,,,38928341.0
AFG,Afghanistan,2020-08-12,,,38928341.0
AFG,Afghanistan,2020-08-13,,,38928341.0
AFG,Afghanistan,2020-08-14,,,38928341.0
AFG,Afghanistan,2020-08-15,,,38928341.0
AFG,Afghanistan,2020-08-16,,,38928341.0
AFG,Afghanistan,2020-08-17,,,38928341.0
AFG,Afghanistan,2020-08-18,,,38928341.0
AFG,Afghanistan,2020-08-19,,,38928341.0
AFG,Afghanistan,2020-08-20,,,38928341.0
AFG,Afghanistan,2020-08-21,,,38928341.0
AFG,Afghanistan,2020-08-22,,,38928341.0
AFG,Afghanistan,2020-08-23,,,38928341.0
AFG,Afghanistan,2020-08-24,,,38928341.0
AFG,Afghanistan,2020-08-25,,,38928341.0
AFG,Afghanistan,2020-08-26,,,38928341.0
AFG,Afghanistan,2020-08-27,,,38928341.0
AFG,Afghanistan,2020-08-28,,,38928341.0
AFG,Afghanistan,2020-08-29,,,38928341.0
AFG,Afghanistan,2020-08-30,,,38928341.0
AFG,Afghanistan,2020-08-31,,,38928341.0
AFG,Afghanistan,2020-09-01,,,38928341.0
AFG,Afghanistan,2020-09-02,,,38928341.0
AFG,Afghanistan,2020-09-03,,,38928341.0
AFG,Afghanistan,2020-09-04,,,38928341.0
AFG,Afghanistan,2020-09-05,,,38928341.0
AFG,Afghanistan,2020-09-06,,,38928341.0
AFG,Afghanistan,2020-09-07,,,38928341.0
AFG,Afghanistan,2020-09-08,,,38928341.0
AFG,Afghanistan,2020-09-09,,,38928341.0
AFG,Afghanistan,2020-09-10,,,38928341.0
AFG,Afghanistan,2020-09-11,,,38928341.0
AFG,Afghanistan,2020-09-12,,,38928341.0
AFG,Afghanistan,2020-09-13,,,38928341.0
AFG,Afghanistan,2020-09-14,,,38928341.0
AFG,Afghanistan,2020-09-15,,,38928341.0
AFG,Afghanistan,2020-09-16,,,38928341.0
AFG,Afghanistan,2020-09-17,,,38928341.0
AFG,Afghanistan,2020-09-18,,,38928341.0
AFG,Afghanistan,2020-09-19,,,38928341.0
AFG,Afghanistan,2020-09-20,,,38928341.0
AFG,Afghanistan,2020-09-21,,,38928341.0
AFG,Afghanistan,2020-09-22,,,38928341.0
AFG,Afghanistan,2020-09-23,,,38928341.0
AFG,Afghanistan,2020-09-24,,,38928341.0
AFG,Afghanistan,2020-09-25,,,38928341.0
AFG,Afghanistan,2020-09-26,,,38928341.0
AFG,Afghanistan,2020-09-27,,,38928341.0
AFG,Afghanistan,2020-09-28,,,38928341.0
AFG,Afghanistan,2020-09-29,,,38928341.0
AFG,Afghanistan,2020-09-30,,,38928341.0
AFG,Afghanistan,2020-10-01,,,38928341.0
AFG,Afghanistan,2020-10-02,,,38928341.0
AFG,Afghanistan,2020-10-03,,,38928341.0
AFG,Afghanistan,2020-10-04,,,38928341.0
AFG,Afghanistan,2020-10-05,,,38928341.0
AFG,Afghanistan,2020-10-06,,,38928341.0
