DATE,PROVINCE,REGION,NR_REPORTING,TOTAL_IN,TOTAL_IN_ICU,TOTAL_IN_RESP,TOTAL_IN_ECMO,NEW_IN,NEW_OUT,PROVINCE_NAME
2020-03-15,VAN,Flanders,14,50,9,4,0,7,4,Antwerpen
2020-03-15,BRU,Brussels,15,58,11,8,0,7,2,Brussels
2020-03-15,WHT,Wallonia,14,54,12,10,1,26,1,Hainaut
2020-03-15,VLI,Flanders,7,20,6,3,0,9,3,Limburg
2020-03-15,WLG,Wallonia,12,22,2,1,0,4,1,Liège
2020-03-15,WLX,Wallonia,3,4,0,0,0,3,0,Luxembourg
2020-03-15,WNA,Wallonia,6,2,1,1,0,0,0,Namur
2020-03-15,VOV,Flanders,14,16,5,1,0,5,1,OostVlaanderen
2020-03-15,VBR,Flanders,6,13,2,0,0,2,0,VlaamsBrabant
2020-03-15,WBR,Wallonia,2,5,2,2,0,1,0,BrabantWallon
2020-03-15,VWV,Flanders,11,19,3,1,0,6,2,WestVlaanderen
2020-03-16,VAN,Flanders,14,63,12,5,0,10,1,Antwerpen
2020-03-16,BRU,Brussels,15,81,14,11,0,11,4,Brussels
2020-03-16,WHT,Wallonia,14,89,19,14,1,28,0,Hainaut
2020-03-16,VLI,Flanders,7,25,9,4,0,7,0,Limburg
2020-03-16,WLG,Wallonia,12,24,2,2,0,2,1,Liège
2020-03-16,WLX,Wallonia,3,5,1,1,0,0,1,Luxembourg
2020-03-16,WNA,Wallonia,6,4,1,1,0,1,1,Namur
2020-03-16,VOV,Flanders,14,23,6,2,0,4,0,OostVlaanderen
2020-03-16,VBR,Flanders,6,23,7,2,0,13,0,VlaamsBrabant
2020-03-16,WBR,Wallonia,2,8,2,2,0,3,0,BrabantWallon
2020-03-16,VWV,Flanders,11,25,6,7,0,9,6,WestVlaanderen
2020-03-17,VAN,Flanders,14,85,14,10,1,20,2,Antwerpen
2020-03-17,BRU,Brussels,15,115,23,16,1,16,5,Brussels
2020-03-17,WHT,Wallonia,14,108,25,18,1,27,3,Hainaut
2020-03-17,VLI,Flanders,7,34,13,5,0,22,11,Limburg
2020-03-17,WLG,Wallonia,12,29,5,3,0,5,2,Liège
2020-03-17,WLX,Wallonia,3,8,1,0,0,2,0,Luxembourg
2020-03-17,WNA,Wallonia,6,4,1,1,0,0,0,Namur
2020-03-17,VOV,Flanders,14,32,8,4,0,10,2,OostVlaanderen
2020-03-17,VBR,Flanders,6,33,3,1,0,9,0,VlaamsBrabant
2020-03-17,WBR,Wallonia,2,10,2,2,0,3,1,BrabantWallon
2020-03-17,VWV,Flanders,11,35,5,5,0,11,2,WestVlaanderen
2020-03-18,VAN,Flanders,14,121,18,14,1,35,4,Antwerpen
2020-03-18,BRU,Brussels,15,124,29,18,2,18,5,Brussels
2020-03-18,WHT,Wallonia,14,130,29,21,1,25,4,Hainaut
2020-03-18,VLI,Flanders,7,56,18,7,0,22,2,Limburg
2020-03-18,WLG,Wallonia,12,41,2,2,0,13,4,Liège
2020-03-18,WLX,Wallonia,3,15,2,2,0,3,1,Luxembourg
2020-03-18,WNA,Wallonia,6,6,1,1,0,4,0,Namur
2020-03-18,VOV,Flanders,14,52,12,10,0,24,3,OostVlaanderen
2020-03-18,VBR,Flanders,6,37,7,4,0,5,2,VlaamsBrabant
2020-03-18,WBR,Wallonia,2,14,3,3,0,5,0,BrabantWallon
2020-03-18,VWV,Flanders,11,50,9,6,0,25,1,WestVlaanderen
2020-03-19,VAN,Flanders,14,155,22,16,1,42,7,Antwerpen
2020-03-19,BRU,Brussels,15,156,35,24,2,33,12,Brussels
2020-03-19,WHT,Wallonia,14,163,35,28,1,32,10,Hainaut
2020-03-19,VLI,Flanders,7,77,18,9,0,18,2,Limburg
2020-03-19,WLG,Wallonia,12,59,5,2,0,21,4,Liège
2020-03-19,WLX,Wallonia,3,23,6,3,0,10,2,Luxembourg
2020-03-19,WNA,Wallonia,6,8,2,1,0,1,0,Namur
2020-03-19,VOV,Flanders,14,59,16,12,0,22,6,OostVlaanderen
2020-03-19,VBR,Flanders,6,50,11,7,0,10,1,VlaamsBrabant
2020-03-19,WBR,Wallonia,2,15,4,4,0,2,1,BrabantWallon
2020-03-19,VWV,Flanders,11,75,10,8,0,22,4,WestVlaanderen
2020-03-20,VAN,Flanders,14,185,32,26,1,46,13,Antwerpen
2020-03-20,BRU,Brussels,15,193,46,32,2,29,4,Brussels
