date,/m/06xzh_0,/m/06xzh,batch_id
2021-02-01,76.0,76.0,1
2021-02-02,68.0,68.0,1
2021-02-03,60.0,60.0,1
2021-02-04,63.0,63.0,1
2021-02-05,41.0,41.0,1
2021-02-06,79.0,79.0,1
2021-02-07,63.0,63.0,1
2021-02-08,68.0,68.0,1
2021-02-09,62.0,62.0,1
2021-02-10,42.0,42.0,1
2021-02-11,70.0,70.0,1
2021-02-12,40.0,40.0,1
2021-02-13,55.0,55.0,1
2021-02-14,100.0,100.0,1
2021-02-15,53.0,53.0,1
2021-02-16,85.0,85.0,1
2021-02-17,69.0,69.0,1
2021-02-18,78.0,78.0,1
2021-02-19,62.0,62.0,1
2021-02-20,92.0,92.0,1
2021-02-21,80.0,80.0,1
2021-02-22,46.0,46.0,1
2021-02-23,38.0,38.0,1
2021-02-24,62.0,62.0,1
2021-02-25,66.0,66.0,1
2021-02-26,76.0,76.0,1
2021-02-27,62.0,62.0,1
2021-02-28,71.0,71.0,1
2021-03-01,71.0,71.0,1
2021-03-02,58.0,58.0,1
2021-03-03,72.0,72.0,1
2021-03-04,89.0,89.0,1
2021-03-05,67.0,67.0,1
2021-03-06,54.0,54.0,1
2021-03-07,65.0,65.0,1
2021-03-08,74.0,74.0,1
2021-03-09,53.0,53.0,1
2021-03-10,68.0,68.0,1
2021-03-11,47.0,47.0,1
2021-03-12,66.0,66.0,1
2021-03-13,60.0,60.0,1
2021-03-14,70.0,70.0,1
2021-03-15,57.0,57.0,1
2021-03-16,60.0,60.0,1
2021-03-17,58.0,58.0,1
2021-03-18,62.0,62.0,1
2021-03-19,69.0,69.0,1
2021-03-20,80.0,80.0,1
2021-03-21,51.0,51.0,1
2021-03-22,73.0,73.0,1
2021-03-23,64.0,64.0,1
2021-03-24,48.0,48.0,1
2021-03-25,74.0,74.0,1
2021-03-26,59.0,59.0,1
2021-03-27,79.0,79.0,1
2021-03-28,78.0,78.0,1
2021-03-29,75.0,75.0,1
2021-03-30,53.0,53.0,1
2021-03-31,61.0,61.0,1
2021-04-01,76.0,76.0,1
2021-04-02,59.0,59.0,1
2021-04-03,68.0,68.0,1
2021-04-04,71.0,71.0,1
2021-04-05,85.0,85.0,1
2021-04-06,76.0,76.0,1
2021-04-07,76.0,76.0,1
2021-04-08,69.0,69.0,1
2021-04-09,73.0,73.0,1
2021-04-10,68.0,68.0,1
2021-04-11,75.0,75.0,1
2021-04-12,58.0,58.0,1
2021-04-13,78.0,78.0,1
2021-04-14,82.0,82.0,1
2021-04-15,77.0,77.0,1
2021-04-16,56.0,56.0,1
2021-04-17,59.0,59.0,1
2021-04-18,77.0,77.0,1
2021-04-19,70.0,70.0,1
2021-04-20,61.0,61.0,1
2021-04-21,62.0,62.0,1
2021-04-22,87.0,87.0,1
2021-04-23,55.0,55.0,1
2021-04-24,63.0,63.0,1
2021-04-25,56.0,56.0,1
2021-04-26,54.0,54.0,1
2021-04-27,52.0,52.0,1
2021-04-28,78.0,78.0,1
2021-04-29,46.0,46.0,1
2021-04-30,62.0,62.0,1
2021-05-01,67.0,67.0,1
2021-05-02,64.0,64.0,1
2021-05-03,57.0,57.0,1
2021-05-04,56.0,56.0,1
2021-05-05,57.0,57.0,1
2021-05-06,67.0,67.0,1
2021-05-07,48.0,48.0,1
2021-05-08,39.0,39.0,1
2021-05-09,56.0,56.0,1
2021-05-10,63.0,63.0,1
2021-05-11,64.0,64.0,1
2021-05-12,55.0,55.0,1
2021-05-13,70.0,70.0,1
2021-05-14,63.0,63.0,1
