date,/m/09cjl_0,/m/09cjl,batch_id
2021-02-01,51.0,51.0,1
2021-02-02,49.0,49.0,1
2021-02-03,35.0,35.0,1
2021-02-04,39.0,39.0,1
2021-02-05,48.0,48.0,1
2021-02-06,73.0,73.0,1
2021-02-07,38.0,38.0,1
2021-02-08,42.0,42.0,1
2021-02-09,40.0,40.0,1
2021-02-10,74.0,74.0,1
2021-02-11,43.0,43.0,1
2021-02-12,44.0,44.0,1
2021-02-13,30.0,30.0,1
2021-02-14,57.0,57.0,1
2021-02-15,35.0,35.0,1
2021-02-16,36.0,36.0,1
2021-02-17,31.0,31.0,1
2021-02-18,45.0,45.0,1
2021-02-19,46.0,46.0,1
2021-02-20,69.0,69.0,1
2021-02-21,61.0,61.0,1
2021-02-22,54.0,54.0,1
2021-02-23,49.0,49.0,1
2021-02-24,49.0,49.0,1
2021-02-25,59.0,59.0,1
2021-02-26,42.0,42.0,1
2021-02-27,46.0,46.0,1
2021-02-28,47.0,47.0,1
2021-03-01,43.0,43.0,1
2021-03-02,37.0,37.0,1
2021-03-03,54.0,54.0,1
2021-03-04,56.0,56.0,1
2021-03-05,47.0,47.0,1
2021-03-06,52.0,52.0,1
2021-03-07,55.0,55.0,1
2021-03-08,43.0,43.0,1
2021-03-09,35.0,35.0,1
2021-03-10,55.0,55.0,1
2021-03-11,57.0,57.0,1
2021-03-12,54.0,54.0,1
2021-03-13,53.0,53.0,1
2021-03-14,60.0,60.0,1
2021-03-15,44.0,44.0,1
2021-03-16,51.0,51.0,1
2021-03-17,47.0,47.0,1
2021-03-18,40.0,40.0,1
2021-03-19,55.0,55.0,1
2021-03-20,50.0,50.0,1
2021-03-21,31.0,31.0,1
2021-03-22,68.0,68.0,1
2021-03-23,43.0,43.0,1
2021-03-24,47.0,47.0,1
2021-03-25,39.0,39.0,1
2021-03-26,55.0,55.0,1
2021-03-27,55.0,55.0,1
2021-03-28,73.0,73.0,1
2021-03-29,50.0,50.0,1
2021-03-30,39.0,39.0,1
2021-03-31,53.0,53.0,1
2021-04-01,53.0,53.0,1
2021-04-02,43.0,43.0,1
2021-04-03,44.0,44.0,1
2021-04-04,45.0,45.0,1
2021-04-05,47.0,47.0,1
2021-04-06,43.0,43.0,1
2021-04-07,63.0,63.0,1
2021-04-08,72.0,72.0,1
2021-04-09,42.0,42.0,1
2021-04-10,37.0,37.0,1
2021-04-11,69.0,69.0,1
2021-04-12,53.0,53.0,1
2021-04-13,56.0,56.0,1
2021-04-14,64.0,64.0,1
2021-04-15,44.0,44.0,1
2021-04-16,61.0,61.0,1
2021-04-17,80.0,80.0,1
2021-04-18,72.0,72.0,1
2021-04-19,32.0,32.0,1
2021-04-20,67.0,67.0,1
2021-04-21,83.0,83.0,1
2021-04-22,59.0,59.0,1
2021-04-23,64.0,64.0,1
2021-04-24,71.0,71.0,1
2021-04-25,65.0,65.0,1
2021-04-26,64.0,64.0,1
2021-04-27,69.0,69.0,1
2021-04-28,83.0,83.0,1
2021-04-29,77.0,77.0,1
2021-04-30,60.0,60.0,1
2021-05-01,100.0,100.0,1
2021-05-02,73.0,73.0,1
2021-05-03,85.0,85.0,1
2021-05-04,66.0,66.0,1
2021-05-05,63.0,63.0,1
2021-05-06,73.0,73.0,1
2021-05-07,66.0,66.0,1
2021-05-08,82.0,82.0,1
2021-05-09,74.0,74.0,1
2021-05-10,70.0,70.0,1
2021-05-11,69.0,69.0,1
2021-05-12,55.0,55.0,1
2021-05-13,90.0,90.0,1
2021-05-14,74.0,74.0,1
