date,/g/1222216d_0,/g/1222216d,batch_id
2021-02-01,9.0,9.0,1
2021-02-02,45.0,45.0,1
2021-02-03,71.0,71.0,1
2021-02-04,28.0,28.0,1
2021-02-05,19.0,19.0,1
2021-02-06,59.0,59.0,1
2021-02-07,49.0,49.0,1
2021-02-08,18.0,18.0,1
2021-02-09,9.0,9.0,1
2021-02-10,27.0,27.0,1
2021-02-11,37.0,37.0,1
2021-02-12,94.0,94.0,1
2021-02-13,42.0,42.0,1
2021-02-14,73.0,73.0,1
2021-02-15,45.0,45.0,1
2021-02-16,56.0,56.0,1
2021-02-17,9.0,9.0,1
2021-02-18,37.0,37.0,1
2021-02-19,59.0,59.0,1
2021-02-20,100.0,100.0,1
2021-02-21,45.0,45.0,1
2021-02-22,70.0,70.0,1
2021-02-23,57.0,57.0,1
2021-02-24,85.0,85.0,1
2021-02-25,57.0,57.0,1
2021-02-26,28.0,28.0,1
2021-02-27,42.0,42.0,1
2021-02-28,30.0,30.0,1
2021-03-01,27.0,27.0,1
2021-03-02,47.0,47.0,1
2021-03-03,19.0,19.0,1
2021-03-04,27.0,27.0,1
2021-03-05,86.0,86.0,1
2021-03-06,32.0,32.0,1
2021-03-07,51.0,51.0,1
2021-03-08,37.0,37.0,1
2021-03-09,36.0,36.0,1
2021-03-10,64.0,64.0,1
2021-03-11,18.0,18.0,1
2021-03-12,9.0,9.0,1
2021-03-13,49.0,49.0,1
2021-03-14,48.0,48.0,1
2021-03-15,50.0,50.0,1
2021-03-16,71.0,71.0,1
2021-03-17,55.0,55.0,1
2021-03-18,64.0,64.0,1
2021-03-19,48.0,48.0,1
2021-03-20,43.0,43.0,1
2021-03-21,30.0,30.0,1
2021-03-22,73.0,73.0,1
2021-03-23,73.0,73.0,1
2021-03-24,27.0,27.0,1
2021-03-25,56.0,56.0,1
2021-03-26,39.0,39.0,1
2021-03-27,51.0,51.0,1
2021-03-28,11.0,11.0,1
2021-03-29,48.0,48.0,1
2021-03-30,60.0,60.0,1
2021-03-31,72.0,72.0,1
2021-04-01,68.0,68.0,1
2021-04-02,40.0,40.0,1
2021-04-03,64.0,64.0,1
2021-04-04,43.0,43.0,1
2021-04-05,10.0,10.0,1
2021-04-06,18.0,18.0,1
2021-04-07,45.0,45.0,1
2021-04-08,65.0,65.0,1
2021-04-09,38.0,38.0,1
2021-04-10,47.0,47.0,1
2021-04-11,49.0,49.0,1
2021-04-12,62.0,62.0,1
2021-04-13,38.0,38.0,1
2021-04-14,18.0,18.0,1
2021-04-15,75.0,75.0,1
2021-04-16,39.0,39.0,1
2021-04-17,32.0,32.0,1
2021-04-18,21.0,21.0,1
2021-04-19,36.0,36.0,1
2021-04-20,19.0,19.0,1
2021-04-21,38.0,38.0,1
2021-04-22,10.0,10.0,1
2021-04-23,50.0,50.0,1
2021-04-24,55.0,55.0,1
2021-04-25,21.0,21.0,1
2021-04-26,46.0,46.0,1
2021-04-27,47.0,47.0,1
2021-04-28,56.0,56.0,1
2021-04-29,54.0,54.0,1
2021-04-30,83.0,83.0,1
2021-05-01,30.0,30.0,1
2021-05-02,50.0,50.0,1
2021-05-03,54.0,54.0,1
2021-05-04,34.0,34.0,1
2021-05-05,52.0,52.0,1
2021-05-06,54.0,54.0,1
2021-05-07,66.0,66.0,1
2021-05-08,20.0,20.0,1
2021-05-09,66.0,66.0,1
2021-05-10,9.0,9.0,1
2021-05-11,18.0,18.0,1
2021-05-12,37.0,37.0,1
2021-05-13,48.0,48.0,1
2021-05-14,20.0,20.0,1
