date,/m/01nrn5_0,/m/01nrn5,batch_id
2021-02-01,59.0,59.0,1
2021-02-02,50.0,50.0,1
2021-02-03,25.0,25.0,1
2021-02-04,26.0,26.0,1
2021-02-05,70.0,70.0,1
2021-02-06,28.0,28.0,1
2021-02-07,37.0,37.0,1
2021-02-08,50.0,50.0,1
2021-02-09,51.0,51.0,1
2021-02-10,34.0,34.0,1
2021-02-11,52.0,52.0,1
2021-02-12,88.0,88.0,1
2021-02-13,20.0,20.0,1
2021-02-14,39.0,39.0,1
2021-02-15,25.0,25.0,1
2021-02-16,79.0,79.0,1
2021-02-17,17.0,17.0,1
2021-02-18,17.0,17.0,1
2021-02-19,27.0,27.0,1
2021-02-20,94.0,94.0,1
2021-02-21,42.0,42.0,1
2021-02-22,49.0,49.0,1
2021-02-23,35.0,35.0,1
2021-02-24,18.0,18.0,1
2021-02-25,80.0,80.0,1
2021-02-26,9.0,9.0,1
2021-02-27,30.0,30.0,1
2021-02-28,19.0,19.0,1
2021-03-01,26.0,26.0,1
2021-03-02,18.0,18.0,1
2021-03-03,27.0,27.0,1
2021-03-04,25.0,25.0,1
2021-03-05,63.0,63.0,1
2021-03-06,30.0,30.0,1
2021-03-07,67.0,67.0,1
2021-03-08,9.0,9.0,1
2021-03-09,51.0,51.0,1
2021-03-10,52.0,52.0,1
2021-03-11,26.0,26.0,1
2021-03-12,26.0,26.0,1
2021-03-13,65.0,65.0,1
2021-03-14,45.0,45.0,1
2021-03-15,60.0,60.0,1
2021-03-16,37.0,37.0,1
2021-03-17,26.0,26.0,1
2021-03-18,9.0,9.0,1
2021-03-19,27.0,27.0,1
2021-03-20,50.0,50.0,1
2021-03-21,47.0,47.0,1
2021-03-22,43.0,43.0,1
2021-03-23,9.0,9.0,1
2021-03-24,34.0,34.0,1
2021-03-25,62.0,62.0,1
2021-03-26,18.0,18.0,1
2021-03-27,57.0,57.0,1
2021-03-28,30.0,30.0,1
2021-03-29,72.0,72.0,1
2021-03-30,56.0,56.0,1
2021-03-31,57.0,57.0,1
2021-04-01,64.0,64.0,1
2021-04-02,83.0,83.0,1
2021-04-03,80.0,80.0,1
2021-04-04,61.0,61.0,1
2021-04-05,36.0,36.0,1
2021-04-06,25.0,25.0,1
2021-04-07,17.0,17.0,1
2021-04-08,44.0,44.0,1
2021-04-09,80.0,80.0,1
2021-04-10,44.0,44.0,1
2021-04-11,83.0,83.0,1
2021-04-12,17.0,17.0,1
2021-04-13,44.0,44.0,1
2021-04-14,17.0,17.0,1
2021-04-15,61.0,61.0,1
2021-04-16,82.0,82.0,1
2021-04-17,80.0,80.0,1
2021-04-18,40.0,40.0,1
2021-04-19,67.0,67.0,1
2021-04-20,61.0,61.0,1
2021-04-21,79.0,79.0,1
2021-04-22,36.0,36.0,1
2021-04-23,65.0,65.0,1
2021-04-24,31.0,31.0,1
2021-04-25,59.0,59.0,1
2021-04-26,17.0,17.0,1
2021-04-27,53.0,53.0,1
2021-04-28,44.0,44.0,1
2021-04-29,51.0,51.0,1
2021-04-30,52.0,52.0,1
2021-05-01,48.0,48.0,1
2021-05-02,76.0,76.0,1
2021-05-03,25.0,25.0,1
2021-05-04,48.0,48.0,1
2021-05-05,49.0,49.0,1
2021-05-06,51.0,51.0,1
2021-05-07,79.0,79.0,1
2021-05-08,48.0,48.0,1
2021-05-09,41.0,41.0,1
2021-05-10,76.0,76.0,1
2021-05-11,83.0,83.0,1
2021-05-12,52.0,52.0,1
2021-05-13,100.0,100.0,1
2021-05-14,46.0,46.0,1
