date,/m/019jw_0,/m/019jw,batch_id
2021-02-01,62.0,62.0,1
2021-02-02,62.0,62.0,1
2021-02-03,62.0,62.0,1
2021-02-04,49.0,49.0,1
2021-02-05,62.0,62.0,1
2021-02-06,71.0,71.0,1
2021-02-07,73.0,73.0,1
2021-02-08,80.0,80.0,1
2021-02-09,50.0,50.0,1
2021-02-10,76.0,76.0,1
2021-02-11,80.0,80.0,1
2021-02-12,58.0,58.0,1
2021-02-13,62.0,62.0,1
2021-02-14,73.0,73.0,1
2021-02-15,69.0,69.0,1
2021-02-16,61.0,61.0,1
2021-02-17,64.0,64.0,1
2021-02-18,48.0,48.0,1
2021-02-19,61.0,61.0,1
2021-02-20,36.0,36.0,1
2021-02-21,72.0,72.0,1
2021-02-22,58.0,58.0,1
2021-02-23,80.0,80.0,1
2021-02-24,66.0,66.0,1
2021-02-25,54.0,54.0,1
2021-02-26,68.0,68.0,1
2021-02-27,81.0,81.0,1
2021-02-28,33.0,33.0,1
2021-03-01,70.0,70.0,1
2021-03-02,65.0,65.0,1
2021-03-03,83.0,83.0,1
2021-03-04,51.0,51.0,1
2021-03-05,57.0,57.0,1
2021-03-06,53.0,53.0,1
2021-03-07,61.0,61.0,1
2021-03-08,66.0,66.0,1
2021-03-09,76.0,76.0,1
2021-03-10,73.0,73.0,1
2021-03-11,78.0,78.0,1
2021-03-12,56.0,56.0,1
2021-03-13,63.0,63.0,1
2021-03-14,48.0,48.0,1
2021-03-15,76.0,76.0,1
2021-03-16,74.0,74.0,1
2021-03-17,45.0,45.0,1
2021-03-18,76.0,76.0,1
2021-03-19,72.0,72.0,1
2021-03-20,91.0,91.0,1
2021-03-21,77.0,77.0,1
2021-03-22,68.0,68.0,1
2021-03-23,57.0,57.0,1
2021-03-24,50.0,50.0,1
2021-03-25,44.0,44.0,1
2021-03-26,65.0,65.0,1
2021-03-27,73.0,73.0,1
2021-03-28,89.0,89.0,1
2021-03-29,52.0,52.0,1
2021-03-30,62.0,62.0,1
2021-03-31,89.0,89.0,1
2021-04-01,60.0,60.0,1
2021-04-02,61.0,61.0,1
2021-04-03,69.0,69.0,1
2021-04-04,78.0,78.0,1
2021-04-05,47.0,47.0,1
2021-04-06,96.0,96.0,1
2021-04-07,63.0,63.0,1
2021-04-08,67.0,67.0,1
2021-04-09,78.0,78.0,1
2021-04-10,63.0,63.0,1
2021-04-11,64.0,64.0,1
2021-04-12,77.0,77.0,1
2021-04-13,84.0,84.0,1
2021-04-14,71.0,71.0,1
2021-04-15,70.0,70.0,1
2021-04-16,73.0,73.0,1
2021-04-17,61.0,61.0,1
2021-04-18,64.0,64.0,1
2021-04-19,71.0,71.0,1
2021-04-20,92.0,92.0,1
2021-04-21,84.0,84.0,1
2021-04-22,81.0,81.0,1
2021-04-23,72.0,72.0,1
2021-04-24,77.0,77.0,1
2021-04-25,71.0,71.0,1
2021-04-26,82.0,82.0,1
2021-04-27,97.0,97.0,1
2021-04-28,54.0,54.0,1
2021-04-29,67.0,67.0,1
2021-04-30,66.0,66.0,1
2021-05-01,63.0,63.0,1
2021-05-02,58.0,58.0,1
2021-05-03,73.0,73.0,1
2021-05-04,70.0,70.0,1
2021-05-05,100.0,100.0,1
2021-05-06,70.0,70.0,1
2021-05-07,68.0,68.0,1
2021-05-08,46.0,46.0,1
2021-05-09,44.0,44.0,1
2021-05-10,72.0,72.0,1
2021-05-11,68.0,68.0,1
2021-05-12,62.0,62.0,1
2021-05-13,70.0,70.0,1
2021-05-14,74.0,74.0,1
