date,/m/0_m2n3f_0,/m/0_m2n3f,batch_id
2021-02-01,98.0,98.0,1
2021-02-02,54.0,54.0,1
2021-02-03,97.0,97.0,1
2021-02-04,34.0,34.0,1
2021-02-05,90.0,90.0,1
2021-02-06,47.0,47.0,1
2021-02-07,36.0,36.0,1
2021-02-08,11.0,11.0,1
2021-02-09,33.0,33.0,1
2021-02-10,54.0,54.0,1
2021-02-11,45.0,45.0,1
2021-02-12,23.0,23.0,1
2021-02-13,38.0,38.0,1
2021-02-14,13.0,13.0,1
2021-02-15,0.0,0.0,1
2021-02-16,57.0,57.0,1
2021-02-17,56.0,56.0,1
2021-02-18,56.0,56.0,1
2021-02-19,12.0,12.0,1
2021-02-20,54.0,54.0,1
2021-02-21,27.0,27.0,1
2021-02-22,42.0,42.0,1
2021-02-23,91.0,91.0,1
2021-02-24,69.0,69.0,1
2021-02-25,69.0,69.0,1
2021-02-26,0.0,0.0,1
2021-02-27,89.0,89.0,1
2021-02-28,25.0,25.0,1
2021-03-01,44.0,44.0,1
2021-03-02,11.0,11.0,1
2021-03-03,46.0,46.0,1
2021-03-04,76.0,76.0,1
2021-03-05,23.0,23.0,1
2021-03-06,64.0,64.0,1
2021-03-07,25.0,25.0,1
2021-03-08,44.0,44.0,1
2021-03-09,44.0,44.0,1
2021-03-10,22.0,22.0,1
2021-03-11,100.0,100.0,1
2021-03-12,57.0,57.0,1
2021-03-13,48.0,48.0,1
2021-03-14,47.0,47.0,1
2021-03-15,52.0,52.0,1
2021-03-16,48.0,48.0,1
2021-03-17,55.0,55.0,1
2021-03-18,56.0,56.0,1
2021-03-19,35.0,35.0,1
2021-03-20,13.0,13.0,1
2021-03-21,36.0,36.0,1
2021-03-22,22.0,22.0,1
2021-03-23,55.0,55.0,1
2021-03-24,22.0,22.0,1
2021-03-25,46.0,46.0,1
2021-03-26,59.0,59.0,1
2021-03-27,49.0,49.0,1
2021-03-28,26.0,26.0,1
2021-03-29,23.0,23.0,1
2021-03-30,48.0,48.0,1
2021-03-31,25.0,25.0,1
2021-04-01,12.0,12.0,1
2021-04-02,12.0,12.0,1
2021-04-03,65.0,65.0,1
2021-04-04,52.0,52.0,1
2021-04-05,23.0,23.0,1
2021-04-06,0.0,0.0,1
2021-04-07,33.0,33.0,1
2021-04-08,11.0,11.0,1
2021-04-09,35.0,35.0,1
2021-04-10,34.0,34.0,1
2021-04-11,48.0,48.0,1
2021-04-12,22.0,22.0,1
2021-04-13,57.0,57.0,1
2021-04-14,33.0,33.0,1
2021-04-15,34.0,34.0,1
2021-04-16,35.0,35.0,1
2021-04-17,39.0,39.0,1
2021-04-18,52.0,52.0,1
2021-04-19,76.0,76.0,1
2021-04-20,45.0,45.0,1
2021-04-21,46.0,46.0,1
2021-04-22,35.0,35.0,1
2021-04-23,24.0,24.0,1
2021-04-24,53.0,53.0,1
2021-04-25,38.0,38.0,1
2021-04-26,33.0,33.0,1
2021-04-27,0.0,0.0,1
2021-04-28,11.0,11.0,1
2021-04-29,55.0,55.0,1
2021-04-30,78.0,78.0,1
2021-05-01,61.0,61.0,1
2021-05-02,0.0,0.0,1
2021-05-03,76.0,76.0,1
2021-05-04,31.0,31.0,1
2021-05-05,95.0,95.0,1
2021-05-06,44.0,44.0,1
2021-05-07,79.0,79.0,1
2021-05-08,37.0,37.0,1
2021-05-09,40.0,40.0,1
2021-05-10,88.0,88.0,1
2021-05-11,64.0,64.0,1
2021-05-12,56.0,56.0,1
2021-05-13,82.0,82.0,1
2021-05-14,48.0,48.0,1
