date,/g/11f3nkr470_0,/g/11f3nkr470,batch_id
2021-02-01,78.0,78.0,1
2021-02-02,39.0,39.0,1
2021-02-03,67.0,67.0,1
2021-02-04,99.0,99.0,1
2021-02-05,63.0,63.0,1
2021-02-06,6.0,6.0,1
2021-02-07,24.0,24.0,1
2021-02-08,83.0,83.0,1
2021-02-09,34.0,34.0,1
2021-02-10,39.0,39.0,1
2021-02-11,40.0,40.0,1
2021-02-12,70.0,70.0,1
2021-02-13,20.0,20.0,1
2021-02-14,20.0,20.0,1
2021-02-15,72.0,72.0,1
2021-02-16,64.0,64.0,1
2021-02-17,52.0,52.0,1
2021-02-18,57.0,57.0,1
2021-02-19,73.0,73.0,1
2021-02-20,0.0,0.0,1
2021-02-21,21.0,21.0,1
2021-02-22,38.0,38.0,1
2021-02-23,65.0,65.0,1
2021-02-24,65.0,65.0,1
2021-02-25,100.0,100.0,1
2021-02-26,47.0,47.0,1
2021-02-27,13.0,13.0,1
2021-02-28,13.0,13.0,1
2021-03-01,80.0,80.0,1
2021-03-02,41.0,41.0,1
2021-03-03,59.0,59.0,1
2021-03-04,56.0,56.0,1
2021-03-05,72.0,72.0,1
2021-03-06,33.0,33.0,1
2021-03-07,13.0,13.0,1
2021-03-08,57.0,57.0,1
2021-03-09,56.0,56.0,1
2021-03-10,68.0,68.0,1
2021-03-11,91.0,91.0,1
2021-03-12,18.0,18.0,1
2021-03-13,18.0,18.0,1
2021-03-14,18.0,18.0,1
2021-03-15,71.0,71.0,1
2021-03-16,54.0,54.0,1
2021-03-17,79.0,79.0,1
2021-03-18,17.0,17.0,1
2021-03-19,42.0,42.0,1
2021-03-20,20.0,20.0,1
2021-03-21,25.0,25.0,1
2021-03-22,23.0,23.0,1
2021-03-23,34.0,34.0,1
2021-03-24,17.0,17.0,1
2021-03-25,70.0,70.0,1
2021-03-26,54.0,54.0,1
2021-03-27,6.0,6.0,1
2021-03-28,7.0,7.0,1
2021-03-29,66.0,66.0,1
2021-03-30,49.0,49.0,1
2021-03-31,19.0,19.0,1
2021-04-01,24.0,24.0,1
2021-04-02,31.0,31.0,1
2021-04-03,7.0,7.0,1
2021-04-04,20.0,20.0,1
2021-04-05,30.0,30.0,1
2021-04-06,44.0,44.0,1
2021-04-07,56.0,56.0,1
2021-04-08,58.0,58.0,1
2021-04-09,36.0,36.0,1
2021-04-10,12.0,12.0,1
2021-04-11,18.0,18.0,1
2021-04-12,61.0,61.0,1
2021-04-13,65.0,65.0,1
2021-04-14,69.0,69.0,1
2021-04-15,29.0,29.0,1
2021-04-16,61.0,61.0,1
2021-04-17,20.0,20.0,1
2021-04-18,0.0,0.0,1
2021-04-19,39.0,39.0,1
2021-04-20,35.0,35.0,1
2021-04-21,23.0,23.0,1
2021-04-22,18.0,18.0,1
2021-04-23,19.0,19.0,1
2021-04-24,14.0,14.0,1
2021-04-25,26.0,26.0,1
2021-04-26,28.0,28.0,1
2021-04-27,53.0,53.0,1
2021-04-28,58.0,58.0,1
2021-04-29,28.0,28.0,1
2021-04-30,80.0,80.0,1
2021-05-01,19.0,19.0,1
2021-05-02,31.0,31.0,1
2021-05-03,17.0,17.0,1
2021-05-04,53.0,53.0,1
2021-05-05,49.0,49.0,1
2021-05-06,11.0,11.0,1
2021-05-07,47.0,47.0,1
2021-05-08,19.0,19.0,1
2021-05-09,0.0,0.0,1
2021-05-10,22.0,22.0,1
2021-05-11,16.0,16.0,1
2021-05-12,52.0,52.0,1
2021-05-13,42.0,42.0,1
2021-05-14,25.0,25.0,1
