date,/m/017clw_0,/m/017clw,batch_id
2021-02-01,63.0,63.0,1
2021-02-02,59.0,59.0,1
2021-02-03,36.0,36.0,1
2021-02-04,90.0,90.0,1
2021-02-05,70.0,70.0,1
2021-02-06,15.0,15.0,1
2021-02-07,15.0,15.0,1
2021-02-08,68.0,68.0,1
2021-02-09,74.0,74.0,1
2021-02-10,50.0,50.0,1
2021-02-11,47.0,47.0,1
2021-02-12,43.0,43.0,1
2021-02-13,16.0,16.0,1
2021-02-14,32.0,32.0,1
2021-02-15,32.0,32.0,1
2021-02-16,57.0,57.0,1
2021-02-17,42.0,42.0,1
2021-02-18,47.0,47.0,1
2021-02-19,79.0,79.0,1
2021-02-20,6.0,6.0,1
2021-02-21,34.0,34.0,1
2021-02-22,44.0,44.0,1
2021-02-23,52.0,52.0,1
2021-02-24,29.0,29.0,1
2021-02-25,57.0,57.0,1
2021-02-26,33.0,33.0,1
2021-02-27,53.0,53.0,1
2021-02-28,26.0,26.0,1
2021-03-01,55.0,55.0,1
2021-03-02,67.0,67.0,1
2021-03-03,34.0,34.0,1
2021-03-04,72.0,72.0,1
2021-03-05,44.0,44.0,1
2021-03-06,27.0,27.0,1
2021-03-07,31.0,31.0,1
2021-03-08,42.0,42.0,1
2021-03-09,77.0,77.0,1
2021-03-10,56.0,56.0,1
2021-03-11,28.0,28.0,1
2021-03-12,67.0,67.0,1
2021-03-13,60.0,60.0,1
2021-03-14,49.0,49.0,1
2021-03-15,72.0,72.0,1
2021-03-16,52.0,52.0,1
2021-03-17,46.0,46.0,1
2021-03-18,61.0,61.0,1
2021-03-19,73.0,73.0,1
2021-03-20,60.0,60.0,1
2021-03-21,20.0,20.0,1
2021-03-22,60.0,60.0,1
2021-03-23,55.0,55.0,1
2021-03-24,69.0,69.0,1
2021-03-25,33.0,33.0,1
2021-03-26,68.0,68.0,1
2021-03-27,26.0,26.0,1
2021-03-28,16.0,16.0,1
2021-03-29,82.0,82.0,1
2021-03-30,70.0,70.0,1
2021-03-31,46.0,46.0,1
2021-04-01,64.0,64.0,1
2021-04-02,100.0,100.0,1
2021-04-03,27.0,27.0,1
2021-04-04,0.0,0.0,1
2021-04-05,14.0,14.0,1
2021-04-06,75.0,75.0,1
2021-04-07,78.0,78.0,1
2021-04-08,47.0,47.0,1
2021-04-09,29.0,29.0,1
2021-04-10,5.0,5.0,1
2021-04-11,15.0,15.0,1
2021-04-12,67.0,67.0,1
2021-04-13,57.0,57.0,1
2021-04-14,51.0,51.0,1
2021-04-15,81.0,81.0,1
2021-04-16,44.0,44.0,1
2021-04-17,11.0,11.0,1
2021-04-18,32.0,32.0,1
2021-04-19,50.0,50.0,1
2021-04-20,80.0,80.0,1
2021-04-21,100.0,100.0,1
2021-04-22,67.0,67.0,1
2021-04-23,65.0,65.0,1
2021-04-24,39.0,39.0,1
2021-04-25,16.0,16.0,1
2021-04-26,42.0,42.0,1
2021-04-27,43.0,43.0,1
2021-04-28,95.0,95.0,1
2021-04-29,68.0,68.0,1
2021-04-30,33.0,33.0,1
2021-05-01,46.0,46.0,1
2021-05-02,31.0,31.0,1
2021-05-03,41.0,41.0,1
2021-05-04,39.0,39.0,1
2021-05-05,53.0,53.0,1
2021-05-06,46.0,46.0,1
2021-05-07,47.0,47.0,1
2021-05-08,52.0,52.0,1
2021-05-09,39.0,39.0,1
2021-05-10,59.0,59.0,1
2021-05-11,58.0,58.0,1
2021-05-12,70.0,70.0,1
2021-05-13,44.0,44.0,1
2021-05-14,30.0,30.0,1
