date,/m/0k9qw_0,/m/0k9qw,batch_id
2021-02-01,66.0,66.0,1
2021-02-02,85.0,85.0,1
2021-02-03,56.0,56.0,1
2021-02-04,29.0,29.0,1
2021-02-05,68.0,68.0,1
2021-02-06,21.0,21.0,1
2021-02-07,21.0,21.0,1
2021-02-08,66.0,66.0,1
2021-02-09,29.0,29.0,1
2021-02-10,19.0,19.0,1
2021-02-11,48.0,48.0,1
2021-02-12,10.0,10.0,1
2021-02-13,33.0,33.0,1
2021-02-14,22.0,22.0,1
2021-02-15,38.0,38.0,1
2021-02-16,10.0,10.0,1
2021-02-17,0.0,0.0,1
2021-02-18,48.0,48.0,1
2021-02-19,41.0,41.0,1
2021-02-20,47.0,47.0,1
2021-02-21,47.0,47.0,1
2021-02-22,55.0,55.0,1
2021-02-23,10.0,10.0,1
2021-02-24,60.0,60.0,1
2021-02-25,70.0,70.0,1
2021-02-26,89.0,89.0,1
2021-02-27,44.0,44.0,1
2021-02-28,11.0,11.0,1
2021-03-01,38.0,38.0,1
2021-03-02,30.0,30.0,1
2021-03-03,40.0,40.0,1
2021-03-04,47.0,47.0,1
2021-03-05,20.0,20.0,1
2021-03-06,33.0,33.0,1
2021-03-07,11.0,11.0,1
2021-03-08,19.0,19.0,1
2021-03-09,19.0,19.0,1
2021-03-10,19.0,19.0,1
2021-03-11,67.0,67.0,1
2021-03-12,59.0,59.0,1
2021-03-13,41.0,41.0,1
2021-03-14,71.0,71.0,1
2021-03-15,22.0,22.0,1
2021-03-16,25.0,25.0,1
2021-03-17,38.0,38.0,1
2021-03-18,19.0,19.0,1
2021-03-19,10.0,10.0,1
2021-03-20,0.0,0.0,1
2021-03-21,63.0,63.0,1
2021-03-22,29.0,29.0,1
2021-03-23,38.0,38.0,1
2021-03-24,38.0,38.0,1
2021-03-25,49.0,49.0,1
2021-03-26,71.0,71.0,1
2021-03-27,21.0,21.0,1
2021-03-28,11.0,11.0,1
2021-03-29,30.0,30.0,1
2021-03-30,42.0,42.0,1
2021-03-31,64.0,64.0,1
2021-04-01,31.0,31.0,1
2021-04-02,62.0,62.0,1
2021-04-03,45.0,45.0,1
2021-04-04,34.0,34.0,1
2021-04-05,40.0,40.0,1
2021-04-06,64.0,64.0,1
2021-04-07,28.0,28.0,1
2021-04-08,20.0,20.0,1
2021-04-09,30.0,30.0,1
2021-04-10,20.0,20.0,1
2021-04-11,31.0,31.0,1
2021-04-12,19.0,19.0,1
2021-04-13,20.0,20.0,1
2021-04-14,19.0,19.0,1
2021-04-15,69.0,69.0,1
2021-04-16,21.0,21.0,1
2021-04-17,67.0,67.0,1
2021-04-18,45.0,45.0,1
2021-04-19,38.0,38.0,1
2021-04-20,39.0,39.0,1
2021-04-21,99.0,99.0,1
2021-04-22,100.0,100.0,1
2021-04-23,42.0,42.0,1
2021-04-24,12.0,12.0,1
2021-04-25,66.0,66.0,1
2021-04-26,38.0,38.0,1
2021-04-27,10.0,10.0,1
2021-04-28,30.0,30.0,1
2021-04-29,38.0,38.0,1
2021-04-30,58.0,58.0,1
2021-05-01,32.0,32.0,1
2021-05-02,21.0,21.0,1
2021-05-03,28.0,28.0,1
2021-05-04,36.0,36.0,1
2021-05-05,28.0,28.0,1
2021-05-06,29.0,29.0,1
2021-05-07,69.0,69.0,1
2021-05-08,0.0,0.0,1
2021-05-09,58.0,58.0,1
2021-05-10,28.0,28.0,1
2021-05-11,37.0,37.0,1
2021-05-12,39.0,39.0,1
2021-05-13,31.0,31.0,1
2021-05-14,42.0,42.0,1
