date,/m/02kb_jm_0,/m/02kb_jm,batch_id
2021-02-01,49.0,49.0,1
2021-02-02,61.0,61.0,1
2021-02-03,49.0,49.0,1
2021-02-04,38.0,38.0,1
2021-02-05,0.0,0.0,1
2021-02-06,13.0,13.0,1
2021-02-07,27.0,27.0,1
2021-02-08,61.0,61.0,1
2021-02-09,37.0,37.0,1
2021-02-10,12.0,12.0,1
2021-02-11,88.0,88.0,1
2021-02-12,13.0,13.0,1
2021-02-13,14.0,14.0,1
2021-02-14,0.0,0.0,1
2021-02-15,37.0,37.0,1
2021-02-16,64.0,64.0,1
2021-02-17,0.0,0.0,1
2021-02-18,88.0,88.0,1
2021-02-19,27.0,27.0,1
2021-02-20,0.0,0.0,1
2021-02-21,61.0,61.0,1
2021-02-22,24.0,24.0,1
2021-02-23,51.0,51.0,1
2021-02-24,26.0,26.0,1
2021-02-25,26.0,26.0,1
2021-02-26,13.0,13.0,1
2021-02-27,29.0,29.0,1
2021-02-28,42.0,42.0,1
2021-03-01,37.0,37.0,1
2021-03-02,51.0,51.0,1
2021-03-03,26.0,26.0,1
2021-03-04,37.0,37.0,1
2021-03-05,52.0,52.0,1
2021-03-06,72.0,72.0,1
2021-03-07,0.0,0.0,1
2021-03-08,12.0,12.0,1
2021-03-09,37.0,37.0,1
2021-03-10,100.0,100.0,1
2021-03-11,38.0,38.0,1
2021-03-12,38.0,38.0,1
2021-03-13,13.0,13.0,1
2021-03-14,26.0,26.0,1
2021-03-15,19.0,19.0,1
2021-03-16,21.0,21.0,1
2021-03-17,12.0,12.0,1
2021-03-18,50.0,50.0,1
2021-03-19,53.0,53.0,1
2021-03-20,29.0,29.0,1
2021-03-21,27.0,27.0,1
2021-03-22,37.0,37.0,1
2021-03-23,25.0,25.0,1
2021-03-24,12.0,12.0,1
2021-03-25,38.0,38.0,1
2021-03-26,26.0,26.0,1
2021-03-27,41.0,41.0,1
2021-03-28,44.0,44.0,1
2021-03-29,39.0,39.0,1
2021-03-30,41.0,41.0,1
2021-03-31,56.0,56.0,1
2021-04-01,26.0,26.0,1
2021-04-02,54.0,54.0,1
2021-04-03,44.0,44.0,1
2021-04-04,44.0,44.0,1
2021-04-05,13.0,13.0,1
2021-04-06,24.0,24.0,1
2021-04-07,49.0,49.0,1
2021-04-08,51.0,51.0,1
2021-04-09,26.0,26.0,1
2021-04-10,26.0,26.0,1
2021-04-11,40.0,40.0,1
2021-04-12,48.0,48.0,1
2021-04-13,13.0,13.0,1
2021-04-14,38.0,38.0,1
2021-04-15,64.0,64.0,1
2021-04-16,27.0,27.0,1
2021-04-17,44.0,44.0,1
2021-04-18,29.0,29.0,1
2021-04-19,12.0,12.0,1
2021-04-20,25.0,25.0,1
2021-04-21,51.0,51.0,1
2021-04-22,26.0,26.0,1
2021-04-23,27.0,27.0,1
2021-04-24,15.0,15.0,1
2021-04-25,29.0,29.0,1
2021-04-26,62.0,62.0,1
2021-04-27,26.0,26.0,1
2021-04-28,51.0,51.0,1
2021-04-29,37.0,37.0,1
2021-04-30,38.0,38.0,1
2021-05-01,0.0,0.0,1
2021-05-02,55.0,55.0,1
2021-05-03,12.0,12.0,1
2021-05-04,12.0,12.0,1
2021-05-05,0.0,0.0,1
2021-05-06,25.0,25.0,1
2021-05-07,26.0,26.0,1
2021-05-08,56.0,56.0,1
2021-05-09,30.0,30.0,1
2021-05-10,25.0,25.0,1
2021-05-11,48.0,48.0,1
2021-05-12,63.0,63.0,1
2021-05-13,0.0,0.0,1
2021-05-14,27.0,27.0,1
