date,/m/017vwx_0,/m/017vwx,batch_id
2021-02-01,41.0,41.0,1
2021-02-02,41.0,41.0,1
2021-02-03,27.0,27.0,1
2021-02-04,21.0,21.0,1
2021-02-05,35.0,35.0,1
2021-02-06,30.0,30.0,1
2021-02-07,22.0,22.0,1
2021-02-08,34.0,34.0,1
2021-02-09,35.0,35.0,1
2021-02-10,41.0,41.0,1
2021-02-11,35.0,35.0,1
2021-02-12,21.0,21.0,1
2021-02-13,32.0,32.0,1
2021-02-14,24.0,24.0,1
2021-02-15,61.0,61.0,1
2021-02-16,50.0,50.0,1
2021-02-17,28.0,28.0,1
2021-02-18,21.0,21.0,1
2021-02-19,52.0,52.0,1
2021-02-20,42.0,42.0,1
2021-02-21,8.0,8.0,1
2021-02-22,26.0,26.0,1
2021-02-23,21.0,21.0,1
2021-02-24,14.0,14.0,1
2021-02-25,50.0,50.0,1
2021-02-26,64.0,64.0,1
2021-02-27,64.0,64.0,1
2021-02-28,46.0,46.0,1
2021-03-01,48.0,48.0,1
2021-03-02,57.0,57.0,1
2021-03-03,57.0,57.0,1
2021-03-04,54.0,54.0,1
2021-03-05,15.0,15.0,1
2021-03-06,8.0,8.0,1
2021-03-07,62.0,62.0,1
2021-03-08,69.0,69.0,1
2021-03-09,75.0,75.0,1
2021-03-10,14.0,14.0,1
2021-03-11,14.0,14.0,1
2021-03-12,28.0,28.0,1
2021-03-13,37.0,37.0,1
2021-03-14,22.0,22.0,1
2021-03-15,27.0,27.0,1
2021-03-16,24.0,24.0,1
2021-03-17,21.0,21.0,1
2021-03-18,21.0,21.0,1
2021-03-19,58.0,58.0,1
2021-03-20,16.0,16.0,1
2021-03-21,53.0,53.0,1
2021-03-22,34.0,34.0,1
2021-03-23,7.0,7.0,1
2021-03-24,28.0,28.0,1
2021-03-25,7.0,7.0,1
2021-03-26,37.0,37.0,1
2021-03-27,69.0,69.0,1
2021-03-28,8.0,8.0,1
2021-03-29,72.0,72.0,1
2021-03-30,38.0,38.0,1
2021-03-31,39.0,39.0,1
2021-04-01,29.0,29.0,1
2021-04-02,45.0,45.0,1
2021-04-03,32.0,32.0,1
2021-04-04,41.0,41.0,1
2021-04-05,36.0,36.0,1
2021-04-06,46.0,46.0,1
2021-04-07,48.0,48.0,1
2021-04-08,21.0,21.0,1
2021-04-09,43.0,43.0,1
2021-04-10,36.0,36.0,1
2021-04-11,22.0,22.0,1
2021-04-12,67.0,67.0,1
2021-04-13,36.0,36.0,1
2021-04-14,76.0,76.0,1
2021-04-15,28.0,28.0,1
2021-04-16,15.0,15.0,1
2021-04-17,24.0,24.0,1
2021-04-18,24.0,24.0,1
2021-04-19,41.0,41.0,1
2021-04-20,28.0,28.0,1
2021-04-21,50.0,50.0,1
2021-04-22,22.0,22.0,1
2021-04-23,90.0,90.0,1
2021-04-24,100.0,100.0,1
2021-04-25,64.0,64.0,1
2021-04-26,42.0,42.0,1
2021-04-27,36.0,36.0,1
2021-04-28,28.0,28.0,1
2021-04-29,48.0,48.0,1
2021-04-30,35.0,35.0,1
2021-05-01,0.0,0.0,1
2021-05-02,69.0,69.0,1
2021-05-03,54.0,54.0,1
2021-05-04,71.0,71.0,1
2021-05-05,33.0,33.0,1
2021-05-06,7.0,7.0,1
2021-05-07,50.0,50.0,1
2021-05-08,39.0,39.0,1
2021-05-09,25.0,25.0,1
2021-05-10,75.0,75.0,1
2021-05-11,20.0,20.0,1
2021-05-12,70.0,70.0,1
2021-05-13,59.0,59.0,1
2021-05-14,30.0,30.0,1
