date,/m/0mhy4_0,/m/0mhy4,batch_id
2021-02-01,71.0,71.0,1
2021-02-02,44.0,44.0,1
2021-02-03,44.0,44.0,1
2021-02-04,40.0,40.0,1
2021-02-05,51.0,51.0,1
2021-02-06,60.0,60.0,1
2021-02-07,60.0,60.0,1
2021-02-08,38.0,38.0,1
2021-02-09,34.0,34.0,1
2021-02-10,38.0,38.0,1
2021-02-11,56.0,56.0,1
2021-02-12,46.0,46.0,1
2021-02-13,64.0,64.0,1
2021-02-14,51.0,51.0,1
2021-02-15,55.0,55.0,1
2021-02-16,46.0,46.0,1
2021-02-17,57.0,57.0,1
2021-02-18,56.0,56.0,1
2021-02-19,36.0,36.0,1
2021-02-20,61.0,61.0,1
2021-02-21,62.0,62.0,1
2021-02-22,69.0,69.0,1
2021-02-23,40.0,40.0,1
2021-02-24,64.0,64.0,1
2021-02-25,41.0,41.0,1
2021-02-26,52.0,52.0,1
2021-02-27,45.0,45.0,1
2021-02-28,31.0,31.0,1
2021-03-01,34.0,34.0,1
2021-03-02,52.0,52.0,1
2021-03-03,75.0,75.0,1
2021-03-04,49.0,49.0,1
2021-03-05,59.0,59.0,1
2021-03-06,58.0,58.0,1
2021-03-07,81.0,81.0,1
2021-03-08,34.0,34.0,1
2021-03-09,61.0,61.0,1
2021-03-10,39.0,39.0,1
2021-03-11,62.0,62.0,1
2021-03-12,63.0,63.0,1
2021-03-13,48.0,48.0,1
2021-03-14,47.0,47.0,1
2021-03-15,83.0,83.0,1
2021-03-16,82.0,82.0,1
2021-03-17,61.0,61.0,1
2021-03-18,51.0,51.0,1
2021-03-19,59.0,59.0,1
2021-03-20,72.0,72.0,1
2021-03-21,67.0,67.0,1
2021-03-22,45.0,45.0,1
2021-03-23,39.0,39.0,1
2021-03-24,78.0,78.0,1
2021-03-25,35.0,35.0,1
2021-03-26,77.0,77.0,1
2021-03-27,50.0,50.0,1
2021-03-28,27.0,27.0,1
2021-03-29,47.0,47.0,1
2021-03-30,36.0,36.0,1
2021-03-31,100.0,100.0,1
2021-04-01,48.0,48.0,1
2021-04-02,91.0,91.0,1
2021-04-03,46.0,46.0,1
2021-04-04,33.0,33.0,1
2021-04-05,41.0,41.0,1
2021-04-06,59.0,59.0,1
2021-04-07,44.0,44.0,1
2021-04-08,74.0,74.0,1
2021-04-09,47.0,47.0,1
2021-04-10,35.0,35.0,1
2021-04-11,36.0,36.0,1
2021-04-12,44.0,44.0,1
2021-04-13,58.0,58.0,1
2021-04-14,73.0,73.0,1
2021-04-15,75.0,75.0,1
2021-04-16,72.0,72.0,1
2021-04-17,20.0,20.0,1
2021-04-18,78.0,78.0,1
2021-04-19,66.0,66.0,1
2021-04-20,45.0,45.0,1
2021-04-21,29.0,29.0,1
2021-04-22,64.0,64.0,1
2021-04-23,61.0,61.0,1
2021-04-24,81.0,81.0,1
2021-04-25,58.0,58.0,1
2021-04-26,28.0,28.0,1
2021-04-27,46.0,46.0,1
2021-04-28,46.0,46.0,1
2021-04-29,50.0,50.0,1
2021-04-30,62.0,62.0,1
2021-05-01,31.0,31.0,1
2021-05-02,31.0,31.0,1
2021-05-03,33.0,33.0,1
2021-05-04,68.0,68.0,1
2021-05-05,32.0,32.0,1
2021-05-06,72.0,72.0,1
2021-05-07,29.0,29.0,1
2021-05-08,31.0,31.0,1
2021-05-09,40.0,40.0,1
2021-05-10,33.0,33.0,1
2021-05-11,54.0,54.0,1
2021-05-12,62.0,62.0,1
2021-05-13,71.0,71.0,1
2021-05-14,67.0,67.0,1
