date,/m/0py27_0,/m/0py27,batch_id
2021-02-01,85.0,85.0,1
2021-02-02,48.0,48.0,1
2021-02-03,54.0,54.0,1
2021-02-04,57.0,57.0,1
2021-02-05,80.0,80.0,1
2021-02-06,47.0,47.0,1
2021-02-07,69.0,69.0,1
2021-02-08,45.0,45.0,1
2021-02-09,70.0,70.0,1
2021-02-10,65.0,65.0,1
2021-02-11,38.0,38.0,1
2021-02-12,48.0,48.0,1
2021-02-13,63.0,63.0,1
2021-02-14,100.0,100.0,1
2021-02-15,51.0,51.0,1
2021-02-16,80.0,80.0,1
2021-02-17,100.0,100.0,1
2021-02-18,56.0,56.0,1
2021-02-19,59.0,59.0,1
2021-02-20,67.0,67.0,1
2021-02-21,71.0,71.0,1
2021-02-22,64.0,64.0,1
2021-02-23,60.0,60.0,1
2021-02-24,48.0,48.0,1
2021-02-25,48.0,48.0,1
2021-02-26,48.0,48.0,1
2021-02-27,57.0,57.0,1
2021-02-28,52.0,52.0,1
2021-03-01,46.0,46.0,1
2021-03-02,63.0,63.0,1
2021-03-03,69.0,69.0,1
2021-03-04,51.0,51.0,1
2021-03-05,64.0,64.0,1
2021-03-06,57.0,57.0,1
2021-03-07,26.0,26.0,1
2021-03-08,82.0,82.0,1
2021-03-09,66.0,66.0,1
2021-03-10,29.0,29.0,1
2021-03-11,73.0,73.0,1
2021-03-12,81.0,81.0,1
2021-03-13,78.0,78.0,1
2021-03-14,52.0,52.0,1
2021-03-15,50.0,50.0,1
2021-03-16,55.0,55.0,1
2021-03-17,58.0,58.0,1
2021-03-18,79.0,79.0,1
2021-03-19,43.0,43.0,1
2021-03-20,75.0,75.0,1
2021-03-21,64.0,64.0,1
2021-03-22,38.0,38.0,1
2021-03-23,58.0,58.0,1
2021-03-24,58.0,58.0,1
2021-03-25,51.0,51.0,1
2021-03-26,68.0,68.0,1
2021-03-27,64.0,64.0,1
2021-03-28,72.0,72.0,1
2021-03-29,55.0,55.0,1
2021-03-30,32.0,32.0,1
2021-03-31,42.0,42.0,1
2021-04-01,49.0,49.0,1
2021-04-02,72.0,72.0,1
2021-04-03,68.0,68.0,1
2021-04-04,38.0,38.0,1
2021-04-05,54.0,54.0,1
2021-04-06,61.0,61.0,1
2021-04-07,63.0,63.0,1
2021-04-08,50.0,50.0,1
2021-04-09,36.0,36.0,1
2021-04-10,48.0,48.0,1
2021-04-11,56.0,56.0,1
2021-04-12,51.0,51.0,1
2021-04-13,57.0,57.0,1
2021-04-14,53.0,53.0,1
2021-04-15,77.0,77.0,1
2021-04-16,75.0,75.0,1
2021-04-17,51.0,51.0,1
2021-04-18,47.0,47.0,1
2021-04-19,66.0,66.0,1
2021-04-20,71.0,71.0,1
2021-04-21,27.0,27.0,1
2021-04-22,55.0,55.0,1
2021-04-23,38.0,38.0,1
2021-04-24,63.0,63.0,1
2021-04-25,54.0,54.0,1
2021-04-26,73.0,73.0,1
2021-04-27,36.0,36.0,1
2021-04-28,33.0,33.0,1
2021-04-29,40.0,40.0,1
2021-04-30,56.0,56.0,1
2021-05-01,55.0,55.0,1
2021-05-02,86.0,86.0,1
2021-05-03,31.0,31.0,1
2021-05-04,71.0,71.0,1
2021-05-05,50.0,50.0,1
2021-05-06,32.0,32.0,1
2021-05-07,78.0,78.0,1
2021-05-08,39.0,39.0,1
2021-05-09,77.0,77.0,1
2021-05-10,55.0,55.0,1
2021-05-11,70.0,70.0,1
2021-05-12,70.0,70.0,1
2021-05-13,52.0,52.0,1
2021-05-14,57.0,57.0,1
