date,/g/122g3vwr
2020-02-01,30
2020-02-02,0
2020-02-03,13
2020-02-04,42
2020-02-05,43
2020-02-06,73
2020-02-07,38
2020-02-08,31
2020-02-09,27
2020-02-10,40
2020-02-11,28
2020-02-12,48
2020-02-13,28
2020-02-14,30
2020-02-15,47
2020-02-16,21
2020-02-17,14
2020-02-18,34
2020-02-19,34
2020-02-20,100
2020-02-21,60
2020-02-22,15
2020-02-23,0
2020-02-24,95
2020-02-25,14
2020-02-26,33
2020-02-27,26
2020-02-28,42
2020-02-29,15
2020-03-01,41
2020-03-02,33
2020-03-03,14
2020-03-04,69
2020-03-05,55
2020-03-06,28
2020-03-07,15
2020-03-08,14
2020-03-09,33
2020-03-10,13
2020-03-11,20
2020-03-12,26
2020-03-13,28
2020-03-14,14
2020-03-15,36
2020-03-16,32
2020-03-17,37
2020-03-18,0
2020-03-19,26
2020-03-20,36
2020-03-21,14
2020-03-22,21
2020-03-23,34
2020-03-24,19
2020-03-25,38
2020-03-26,19
2020-03-27,23
2020-03-28,13
2020-03-29,13
2020-03-30,12
2020-03-31,23
2020-04-01,42
2020-04-02,29
2020-04-03,41
2020-04-04,0
2020-04-05,15
2020-04-06,30
2020-04-07,31
2020-04-08,38
2020-04-09,38
2020-04-10,26
2020-04-11,14
2020-04-12,14
2020-04-13,30
2020-04-14,35
2020-04-15,31
2020-04-16,31
2020-04-17,12
2020-04-18,12
2020-04-19,13
2020-04-20,18
2020-04-21,24
2020-04-22,31
2020-04-23,36
2020-04-24,36
2020-04-25,0
2020-04-26,36
2020-04-27,25
2020-04-28,34
2020-04-29,17
2020-04-30,17
2020-05-01,12
2020-05-02,24
2020-05-03,13
2020-05-04,17
2020-05-05,44
2020-05-06,24
2020-05-07,19
2020-05-08,26
2020-05-09,14
2020-05-10,0
2020-05-11,22
2020-05-12,18
2020-05-13,12
2020-05-14,12
2020-05-15,25
2020-05-16,28
2020-05-17,22
2020-05-18,37
2020-05-19,25
2020-05-20,19
2020-05-21,14
2020-05-22,12
2020-05-23,13
2020-05-24,32
2020-05-25,53
2020-05-26,31
2020-05-27,49
2020-05-28,37
2020-05-29,26
2020-05-30,0
2020-05-31,0
