date,/m/03jzl9_0,/m/03jzl9,batch_id
2021-02-01,72.0,72.0,1
2021-02-02,76.0,76.0,1
2021-02-03,58.0,58.0,1
2021-02-04,74.0,74.0,1
2021-02-05,71.0,71.0,1
2021-02-06,25.0,25.0,1
2021-02-07,29.0,29.0,1
2021-02-08,73.0,73.0,1
2021-02-09,55.0,55.0,1
2021-02-10,70.0,70.0,1
2021-02-11,60.0,60.0,1
2021-02-12,56.0,56.0,1
2021-02-13,26.0,26.0,1
2021-02-14,19.0,19.0,1
2021-02-15,61.0,61.0,1
2021-02-16,74.0,74.0,1
2021-02-17,62.0,62.0,1
2021-02-18,53.0,53.0,1
2021-02-19,65.0,65.0,1
2021-02-20,17.0,17.0,1
2021-02-21,16.0,16.0,1
2021-02-22,61.0,61.0,1
2021-02-23,74.0,74.0,1
2021-02-24,66.0,66.0,1
2021-02-25,80.0,80.0,1
2021-02-26,53.0,53.0,1
2021-02-27,22.0,22.0,1
2021-02-28,19.0,19.0,1
2021-03-01,67.0,67.0,1
2021-03-02,63.0,63.0,1
2021-03-03,68.0,68.0,1
2021-03-04,54.0,54.0,1
2021-03-05,63.0,63.0,1
2021-03-06,22.0,22.0,1
2021-03-07,14.0,14.0,1
2021-03-08,60.0,60.0,1
2021-03-09,59.0,59.0,1
2021-03-10,100.0,100.0,1
2021-03-11,59.0,59.0,1
2021-03-12,65.0,65.0,1
2021-03-13,26.0,26.0,1
2021-03-14,22.0,22.0,1
2021-03-15,68.0,68.0,1
2021-03-16,74.0,74.0,1
2021-03-17,87.0,87.0,1
2021-03-18,81.0,81.0,1
2021-03-19,57.0,57.0,1
2021-03-20,14.0,14.0,1
2021-03-21,14.0,14.0,1
2021-03-22,57.0,57.0,1
2021-03-23,61.0,61.0,1
2021-03-24,62.0,62.0,1
2021-03-25,69.0,69.0,1
2021-03-26,44.0,44.0,1
2021-03-27,17.0,17.0,1
2021-03-28,10.0,10.0,1
2021-03-29,58.0,58.0,1
2021-03-30,53.0,53.0,1
2021-03-31,71.0,71.0,1
2021-04-01,54.0,54.0,1
2021-04-02,37.0,37.0,1
2021-04-03,12.0,12.0,1
2021-04-04,26.0,26.0,1
2021-04-05,31.0,31.0,1
2021-04-06,56.0,56.0,1
2021-04-07,51.0,51.0,1
2021-04-08,60.0,60.0,1
2021-04-09,50.0,50.0,1
2021-04-10,28.0,28.0,1
2021-04-11,16.0,16.0,1
2021-04-12,52.0,52.0,1
2021-04-13,57.0,57.0,1
2021-04-14,59.0,59.0,1
2021-04-15,69.0,69.0,1
2021-04-16,62.0,62.0,1
2021-04-17,16.0,16.0,1
2021-04-18,10.0,10.0,1
2021-04-19,59.0,59.0,1
2021-04-20,56.0,56.0,1
2021-04-21,49.0,49.0,1
2021-04-22,57.0,57.0,1
2021-04-23,51.0,51.0,1
2021-04-24,15.0,15.0,1
2021-04-25,21.0,21.0,1
2021-04-26,40.0,40.0,1
2021-04-27,60.0,60.0,1
2021-04-28,62.0,62.0,1
2021-04-29,56.0,56.0,1
2021-04-30,43.0,43.0,1
2021-05-01,17.0,17.0,1
2021-05-02,15.0,15.0,1
2021-05-03,41.0,41.0,1
2021-05-04,56.0,56.0,1
2021-05-05,51.0,51.0,1
2021-05-06,76.0,76.0,1
2021-05-07,51.0,51.0,1
2021-05-08,19.0,19.0,1
2021-05-09,24.0,24.0,1
2021-05-10,46.0,46.0,1
2021-05-11,58.0,58.0,1
2021-05-12,47.0,47.0,1
2021-05-13,46.0,46.0,1
2021-05-14,54.0,54.0,1
