date,/m/0166ls_0,/m/0166ls,batch_id
2021-02-01,32.0,32.0,1
2021-02-02,30.0,30.0,1
2021-02-03,22.0,22.0,1
2021-02-04,29.0,29.0,1
2021-02-05,27.0,27.0,1
2021-02-06,29.0,29.0,1
2021-02-07,25.0,25.0,1
2021-02-08,26.0,26.0,1
2021-02-09,22.0,22.0,1
2021-02-10,24.0,24.0,1
2021-02-11,33.0,33.0,1
2021-02-12,25.0,25.0,1
2021-02-13,42.0,42.0,1
2021-02-14,46.0,46.0,1
2021-02-15,36.0,36.0,1
2021-02-16,43.0,43.0,1
2021-02-17,37.0,37.0,1
2021-02-18,38.0,38.0,1
2021-02-19,40.0,40.0,1
2021-02-20,100.0,100.0,1
2021-02-21,89.0,89.0,1
2021-02-22,27.0,27.0,1
2021-02-23,42.0,42.0,1
2021-02-24,49.0,49.0,1
2021-02-25,31.0,31.0,1
2021-02-26,47.0,47.0,1
2021-02-27,53.0,53.0,1
2021-02-28,79.0,79.0,1
2021-03-01,59.0,59.0,1
2021-03-02,42.0,42.0,1
2021-03-03,40.0,40.0,1
2021-03-04,24.0,24.0,1
2021-03-05,47.0,47.0,1
2021-03-06,56.0,56.0,1
2021-03-07,58.0,58.0,1
2021-03-08,39.0,39.0,1
2021-03-09,22.0,22.0,1
2021-03-10,36.0,36.0,1
2021-03-11,34.0,34.0,1
2021-03-12,39.0,39.0,1
2021-03-13,39.0,39.0,1
2021-03-14,51.0,51.0,1
2021-03-15,38.0,38.0,1
2021-03-16,24.0,24.0,1
2021-03-17,32.0,32.0,1
2021-03-18,43.0,43.0,1
2021-03-19,23.0,23.0,1
2021-03-20,74.0,74.0,1
2021-03-21,41.0,41.0,1
2021-03-22,24.0,24.0,1
2021-03-23,35.0,35.0,1
2021-03-24,29.0,29.0,1
2021-03-25,36.0,36.0,1
2021-03-26,26.0,26.0,1
2021-03-27,46.0,46.0,1
2021-03-28,57.0,57.0,1
2021-03-29,47.0,47.0,1
2021-03-30,56.0,56.0,1
2021-03-31,78.0,78.0,1
2021-04-01,60.0,60.0,1
2021-04-02,45.0,45.0,1
2021-04-03,77.0,77.0,1
2021-04-04,64.0,64.0,1
2021-04-05,46.0,46.0,1
2021-04-06,26.0,26.0,1
2021-04-07,27.0,27.0,1
2021-04-08,47.0,47.0,1
2021-04-09,52.0,52.0,1
2021-04-10,24.0,24.0,1
2021-04-11,52.0,52.0,1
2021-04-12,42.0,42.0,1
2021-04-13,42.0,42.0,1
2021-04-14,38.0,38.0,1
2021-04-15,59.0,59.0,1
2021-04-16,46.0,46.0,1
2021-04-17,63.0,63.0,1
2021-04-18,64.0,64.0,1
2021-04-19,40.0,40.0,1
2021-04-20,42.0,42.0,1
2021-04-21,35.0,35.0,1
2021-04-22,31.0,31.0,1
2021-04-23,59.0,59.0,1
2021-04-24,67.0,67.0,1
2021-04-25,73.0,73.0,1
2021-04-26,38.0,38.0,1
2021-04-27,43.0,43.0,1
2021-04-28,47.0,47.0,1
2021-04-29,37.0,37.0,1
2021-04-30,34.0,34.0,1
2021-05-01,52.0,52.0,1
2021-05-02,58.0,58.0,1
2021-05-03,46.0,46.0,1
2021-05-04,26.0,26.0,1
2021-05-05,40.0,40.0,1
2021-05-06,44.0,44.0,1
2021-05-07,35.0,35.0,1
2021-05-08,48.0,48.0,1
2021-05-09,58.0,58.0,1
2021-05-10,41.0,41.0,1
2021-05-11,47.0,47.0,1
2021-05-12,52.0,52.0,1
2021-05-13,64.0,64.0,1
2021-05-14,55.0,55.0,1
