date,/g/120jxqn6_0,/g/120jxqn6,batch_id
2021-02-01,83.0,83.0,1
2021-02-02,74.0,74.0,1
2021-02-03,69.0,69.0,1
2021-02-04,72.0,72.0,1
2021-02-05,52.0,52.0,1
2021-02-06,38.0,38.0,1
2021-02-07,33.0,33.0,1
2021-02-08,100.0,100.0,1
2021-02-09,71.0,71.0,1
2021-02-10,78.0,78.0,1
2021-02-11,79.0,79.0,1
2021-02-12,77.0,77.0,1
2021-02-13,44.0,44.0,1
2021-02-14,36.0,36.0,1
2021-02-15,64.0,64.0,1
2021-02-16,74.0,74.0,1
2021-02-17,78.0,78.0,1
2021-02-18,64.0,64.0,1
2021-02-19,70.0,70.0,1
2021-02-20,35.0,35.0,1
2021-02-21,45.0,45.0,1
2021-02-22,76.0,76.0,1
2021-02-23,79.0,79.0,1
2021-02-24,79.0,79.0,1
2021-02-25,74.0,74.0,1
2021-02-26,60.0,60.0,1
2021-02-27,40.0,40.0,1
2021-02-28,41.0,41.0,1
2021-03-01,73.0,73.0,1
2021-03-02,76.0,76.0,1
2021-03-03,79.0,79.0,1
2021-03-04,71.0,71.0,1
2021-03-05,60.0,60.0,1
2021-03-06,27.0,27.0,1
2021-03-07,26.0,26.0,1
2021-03-08,80.0,80.0,1
2021-03-09,60.0,60.0,1
2021-03-10,74.0,74.0,1
2021-03-11,68.0,68.0,1
2021-03-12,59.0,59.0,1
2021-03-13,29.0,29.0,1
2021-03-14,34.0,34.0,1
2021-03-15,64.0,64.0,1
2021-03-16,81.0,81.0,1
2021-03-17,70.0,70.0,1
2021-03-18,72.0,72.0,1
2021-03-19,52.0,52.0,1
2021-03-20,38.0,38.0,1
2021-03-21,16.0,16.0,1
2021-03-22,67.0,67.0,1
2021-03-23,73.0,73.0,1
2021-03-24,49.0,49.0,1
2021-03-25,58.0,58.0,1
2021-03-26,66.0,66.0,1
2021-03-27,21.0,21.0,1
2021-03-28,25.0,25.0,1
2021-03-29,55.0,55.0,1
2021-03-30,46.0,46.0,1
2021-03-31,70.0,70.0,1
2021-04-01,69.0,69.0,1
2021-04-02,48.0,48.0,1
2021-04-03,42.0,42.0,1
2021-04-04,41.0,41.0,1
2021-04-05,34.0,34.0,1
2021-04-06,64.0,64.0,1
2021-04-07,54.0,54.0,1
2021-04-08,59.0,59.0,1
2021-04-09,63.0,63.0,1
2021-04-10,28.0,28.0,1
2021-04-11,25.0,25.0,1
2021-04-12,73.0,73.0,1
2021-04-13,73.0,73.0,1
2021-04-14,77.0,77.0,1
2021-04-15,60.0,60.0,1
2021-04-16,72.0,72.0,1
2021-04-17,29.0,29.0,1
2021-04-18,47.0,47.0,1
2021-04-19,74.0,74.0,1
2021-04-20,54.0,54.0,1
2021-04-21,60.0,60.0,1
2021-04-22,63.0,63.0,1
2021-04-23,83.0,83.0,1
2021-04-24,46.0,46.0,1
2021-04-25,37.0,37.0,1
2021-04-26,81.0,81.0,1
2021-04-27,65.0,65.0,1
2021-04-28,48.0,48.0,1
2021-04-29,50.0,50.0,1
2021-04-30,50.0,50.0,1
2021-05-01,25.0,25.0,1
2021-05-02,27.0,27.0,1
2021-05-03,69.0,69.0,1
2021-05-04,61.0,61.0,1
2021-05-05,60.0,60.0,1
2021-05-06,65.0,65.0,1
2021-05-07,69.0,69.0,1
2021-05-08,31.0,31.0,1
2021-05-09,24.0,24.0,1
2021-05-10,62.0,62.0,1
2021-05-11,55.0,55.0,1
2021-05-12,63.0,63.0,1
2021-05-13,73.0,73.0,1
2021-05-14,81.0,81.0,1
