date,/m/0c58k_0,/m/0c58k,batch_id
2021-02-01,69.0,69.0,1
2021-02-02,92.0,92.0,1
2021-02-03,63.0,63.0,1
2021-02-04,66.0,66.0,1
2021-02-05,47.0,47.0,1
2021-02-06,25.0,25.0,1
2021-02-07,25.0,25.0,1
2021-02-08,34.0,34.0,1
2021-02-09,47.0,47.0,1
2021-02-10,46.0,46.0,1
2021-02-11,65.0,65.0,1
2021-02-12,42.0,42.0,1
2021-02-13,54.0,54.0,1
2021-02-14,40.0,40.0,1
2021-02-15,34.0,34.0,1
2021-02-16,78.0,78.0,1
2021-02-17,36.0,36.0,1
2021-02-18,71.0,71.0,1
2021-02-19,25.0,25.0,1
2021-02-20,36.0,36.0,1
2021-02-21,29.0,29.0,1
2021-02-22,78.0,78.0,1
2021-02-23,36.0,36.0,1
2021-02-24,61.0,61.0,1
2021-02-25,48.0,48.0,1
2021-02-26,36.0,36.0,1
2021-02-27,40.0,40.0,1
2021-02-28,20.0,20.0,1
2021-03-01,41.0,41.0,1
2021-03-02,54.0,54.0,1
2021-03-03,24.0,24.0,1
2021-03-04,57.0,57.0,1
2021-03-05,49.0,49.0,1
2021-03-06,61.0,61.0,1
2021-03-07,39.0,39.0,1
2021-03-08,76.0,76.0,1
2021-03-09,40.0,40.0,1
2021-03-10,41.0,41.0,1
2021-03-11,100.0,100.0,1
2021-03-12,66.0,66.0,1
2021-03-13,44.0,44.0,1
2021-03-14,37.0,37.0,1
2021-03-15,64.0,64.0,1
2021-03-16,55.0,55.0,1
2021-03-17,52.0,52.0,1
2021-03-18,41.0,41.0,1
2021-03-19,43.0,43.0,1
2021-03-20,34.0,34.0,1
2021-03-21,38.0,38.0,1
2021-03-22,41.0,41.0,1
2021-03-23,47.0,47.0,1
2021-03-24,29.0,29.0,1
2021-03-25,36.0,36.0,1
2021-03-26,43.0,43.0,1
2021-03-27,32.0,32.0,1
2021-03-28,49.0,49.0,1
2021-03-29,61.0,61.0,1
2021-03-30,57.0,57.0,1
2021-03-31,92.0,92.0,1
2021-04-01,37.0,37.0,1
2021-04-02,70.0,70.0,1
2021-04-03,48.0,48.0,1
2021-04-04,14.0,14.0,1
2021-04-05,24.0,24.0,1
2021-04-06,39.0,39.0,1
2021-04-07,23.0,23.0,1
2021-04-08,42.0,42.0,1
2021-04-09,43.0,43.0,1
2021-04-10,24.0,24.0,1
2021-04-11,25.0,25.0,1
2021-04-12,46.0,46.0,1
2021-04-13,36.0,36.0,1
2021-04-14,53.0,53.0,1
2021-04-15,54.0,54.0,1
2021-04-16,50.0,50.0,1
2021-04-17,48.0,48.0,1
2021-04-18,68.0,68.0,1
2021-04-19,69.0,69.0,1
2021-04-20,41.0,41.0,1
2021-04-21,60.0,60.0,1
2021-04-22,49.0,49.0,1
2021-04-23,51.0,51.0,1
2021-04-24,14.0,14.0,1
2021-04-25,27.0,27.0,1
2021-04-26,29.0,29.0,1
2021-04-27,67.0,67.0,1
2021-04-28,48.0,48.0,1
2021-04-29,69.0,69.0,1
2021-04-30,47.0,47.0,1
2021-05-01,13.0,13.0,1
2021-05-02,32.0,32.0,1
2021-05-03,51.0,51.0,1
2021-05-04,44.0,44.0,1
2021-05-05,39.0,39.0,1
2021-05-06,46.0,46.0,1
2021-05-07,60.0,60.0,1
2021-05-08,20.0,20.0,1
2021-05-09,42.0,42.0,1
2021-05-10,23.0,23.0,1
2021-05-11,51.0,51.0,1
2021-05-12,59.0,59.0,1
2021-05-13,43.0,43.0,1
2021-05-14,44.0,44.0,1
