date,/m/019cfy_0,/m/019cfy,batch_id
2021-02-01,24.0,24.0,1
2021-02-02,14.0,14.0,1
2021-02-03,38.0,38.0,1
2021-02-04,20.0,20.0,1
2021-02-05,29.0,29.0,1
2021-02-06,57.0,57.0,1
2021-02-07,36.0,36.0,1
2021-02-08,33.0,33.0,1
2021-02-09,14.0,14.0,1
2021-02-10,24.0,24.0,1
2021-02-11,29.0,29.0,1
2021-02-12,10.0,10.0,1
2021-02-13,55.0,55.0,1
2021-02-14,17.0,17.0,1
2021-02-15,24.0,24.0,1
2021-02-16,20.0,20.0,1
2021-02-17,24.0,24.0,1
2021-02-18,19.0,19.0,1
2021-02-19,36.0,36.0,1
2021-02-20,18.0,18.0,1
2021-02-21,41.0,41.0,1
2021-02-22,9.0,9.0,1
2021-02-23,15.0,15.0,1
2021-02-24,40.0,40.0,1
2021-02-25,55.0,55.0,1
2021-02-26,30.0,30.0,1
2021-02-27,28.0,28.0,1
2021-02-28,27.0,27.0,1
2021-03-01,24.0,24.0,1
2021-03-02,15.0,15.0,1
2021-03-03,35.0,35.0,1
2021-03-04,24.0,24.0,1
2021-03-05,25.0,25.0,1
2021-03-06,45.0,45.0,1
2021-03-07,48.0,48.0,1
2021-03-08,29.0,29.0,1
2021-03-09,14.0,14.0,1
2021-03-10,10.0,10.0,1
2021-03-11,34.0,34.0,1
2021-03-12,25.0,25.0,1
2021-03-13,31.0,31.0,1
2021-03-14,51.0,51.0,1
2021-03-15,38.0,38.0,1
2021-03-16,46.0,46.0,1
2021-03-17,5.0,5.0,1
2021-03-18,19.0,19.0,1
2021-03-19,25.0,25.0,1
2021-03-20,34.0,34.0,1
2021-03-21,42.0,42.0,1
2021-03-22,24.0,24.0,1
2021-03-23,19.0,19.0,1
2021-03-24,72.0,72.0,1
2021-03-25,35.0,35.0,1
2021-03-26,10.0,10.0,1
2021-03-27,21.0,21.0,1
2021-03-28,34.0,34.0,1
2021-03-29,20.0,20.0,1
2021-03-30,42.0,42.0,1
2021-03-31,22.0,22.0,1
2021-04-01,20.0,20.0,1
2021-04-02,26.0,26.0,1
2021-04-03,17.0,17.0,1
2021-04-04,40.0,40.0,1
2021-04-05,20.0,20.0,1
2021-04-06,37.0,37.0,1
2021-04-07,43.0,43.0,1
2021-04-08,29.0,29.0,1
2021-04-09,20.0,20.0,1
2021-04-10,50.0,50.0,1
2021-04-11,36.0,36.0,1
2021-04-12,23.0,23.0,1
2021-04-13,35.0,35.0,1
2021-04-14,39.0,39.0,1
2021-04-15,25.0,25.0,1
2021-04-16,31.0,31.0,1
2021-04-17,45.0,45.0,1
2021-04-18,17.0,17.0,1
2021-04-19,19.0,19.0,1
2021-04-20,29.0,29.0,1
2021-04-21,40.0,40.0,1
2021-04-22,20.0,20.0,1
2021-04-23,26.0,26.0,1
2021-04-24,52.0,52.0,1
2021-04-25,50.0,50.0,1
2021-04-26,24.0,24.0,1
2021-04-27,100.0,100.0,1
2021-04-28,25.0,25.0,1
2021-04-29,29.0,29.0,1
2021-04-30,24.0,24.0,1
2021-05-01,32.0,32.0,1
2021-05-02,37.0,37.0,1
2021-05-03,14.0,14.0,1
2021-05-04,13.0,13.0,1
2021-05-05,14.0,14.0,1
2021-05-06,19.0,19.0,1
2021-05-07,40.0,40.0,1
2021-05-08,32.0,32.0,1
2021-05-09,6.0,6.0,1
2021-05-10,19.0,19.0,1
2021-05-11,42.0,42.0,1
2021-05-12,19.0,19.0,1
2021-05-13,36.0,36.0,1
2021-05-14,16.0,16.0,1
