date,/m/047rbtz_0,/m/047rbtz,batch_id
2021-02-01,25.0,25.0,1
2021-02-02,34.0,34.0,1
2021-02-03,25.0,25.0,1
2021-02-04,18.0,18.0,1
2021-02-05,35.0,35.0,1
2021-02-06,37.0,37.0,1
2021-02-07,46.0,46.0,1
2021-02-08,34.0,34.0,1
2021-02-09,86.0,86.0,1
2021-02-10,34.0,34.0,1
2021-02-11,52.0,52.0,1
2021-02-12,70.0,70.0,1
2021-02-13,29.0,29.0,1
2021-02-14,30.0,30.0,1
2021-02-15,67.0,67.0,1
2021-02-16,18.0,18.0,1
2021-02-17,70.0,70.0,1
2021-02-18,69.0,69.0,1
2021-02-19,37.0,37.0,1
2021-02-20,63.0,63.0,1
2021-02-21,32.0,32.0,1
2021-02-22,41.0,41.0,1
2021-02-23,35.0,35.0,1
2021-02-24,36.0,36.0,1
2021-02-25,53.0,53.0,1
2021-02-26,36.0,36.0,1
2021-02-27,10.0,10.0,1
2021-02-28,29.0,29.0,1
2021-03-01,43.0,43.0,1
2021-03-02,53.0,53.0,1
2021-03-03,36.0,36.0,1
2021-03-04,76.0,76.0,1
2021-03-05,36.0,36.0,1
2021-03-06,40.0,40.0,1
2021-03-07,10.0,10.0,1
2021-03-08,34.0,34.0,1
2021-03-09,68.0,68.0,1
2021-03-10,26.0,26.0,1
2021-03-11,60.0,60.0,1
2021-03-12,35.0,35.0,1
2021-03-13,28.0,28.0,1
2021-03-14,36.0,36.0,1
2021-03-15,27.0,27.0,1
2021-03-16,30.0,30.0,1
2021-03-17,51.0,51.0,1
2021-03-18,35.0,35.0,1
2021-03-19,54.0,54.0,1
2021-03-20,40.0,40.0,1
2021-03-21,0.0,0.0,1
2021-03-22,51.0,51.0,1
2021-03-23,43.0,43.0,1
2021-03-24,26.0,26.0,1
2021-03-25,18.0,18.0,1
2021-03-26,100.0,100.0,1
2021-03-27,48.0,48.0,1
2021-03-28,51.0,51.0,1
2021-03-29,36.0,36.0,1
2021-03-30,47.0,47.0,1
2021-03-31,48.0,48.0,1
2021-04-01,36.0,36.0,1
2021-04-02,65.0,65.0,1
2021-04-03,80.0,80.0,1
2021-04-04,41.0,41.0,1
2021-04-05,36.0,36.0,1
2021-04-06,49.0,49.0,1
2021-04-07,51.0,51.0,1
2021-04-08,35.0,35.0,1
2021-04-09,45.0,45.0,1
2021-04-10,27.0,27.0,1
2021-04-11,37.0,37.0,1
2021-04-12,50.0,50.0,1
2021-04-13,35.0,35.0,1
2021-04-14,17.0,17.0,1
2021-04-15,62.0,62.0,1
2021-04-16,18.0,18.0,1
2021-04-17,30.0,30.0,1
2021-04-18,40.0,40.0,1
2021-04-19,84.0,84.0,1
2021-04-20,61.0,61.0,1
2021-04-21,9.0,9.0,1
2021-04-22,63.0,63.0,1
2021-04-23,28.0,28.0,1
2021-04-24,41.0,41.0,1
2021-04-25,20.0,20.0,1
2021-04-26,34.0,34.0,1
2021-04-27,53.0,53.0,1
2021-04-28,88.0,88.0,1
2021-04-29,34.0,34.0,1
2021-04-30,78.0,78.0,1
2021-05-01,48.0,48.0,1
2021-05-02,28.0,28.0,1
2021-05-03,17.0,17.0,1
2021-05-04,72.0,72.0,1
2021-05-05,82.0,82.0,1
2021-05-06,51.0,51.0,1
2021-05-07,35.0,35.0,1
2021-05-08,29.0,29.0,1
2021-05-09,51.0,51.0,1
2021-05-10,42.0,42.0,1
2021-05-11,58.0,58.0,1
2021-05-12,43.0,43.0,1
2021-05-13,27.0,27.0,1
2021-05-14,65.0,65.0,1
