date,/m/014qt2_0,/m/014qt2,batch_id
2021-02-01,53.0,53.0,1
2021-02-02,85.0,85.0,1
2021-02-03,63.0,63.0,1
2021-02-04,58.0,58.0,1
2021-02-05,83.0,83.0,1
2021-02-06,55.0,55.0,1
2021-02-07,39.0,39.0,1
2021-02-08,50.0,50.0,1
2021-02-09,46.0,46.0,1
2021-02-10,53.0,53.0,1
2021-02-11,47.0,47.0,1
2021-02-12,63.0,63.0,1
2021-02-13,79.0,79.0,1
2021-02-14,59.0,59.0,1
2021-02-15,73.0,73.0,1
2021-02-16,63.0,63.0,1
2021-02-17,76.0,76.0,1
2021-02-18,62.0,62.0,1
2021-02-19,55.0,55.0,1
2021-02-20,56.0,56.0,1
2021-02-21,50.0,50.0,1
2021-02-22,41.0,41.0,1
2021-02-23,74.0,74.0,1
2021-02-24,61.0,61.0,1
2021-02-25,64.0,64.0,1
2021-02-26,35.0,35.0,1
2021-02-27,71.0,71.0,1
2021-02-28,54.0,54.0,1
2021-03-01,54.0,54.0,1
2021-03-02,63.0,63.0,1
2021-03-03,51.0,51.0,1
2021-03-04,68.0,68.0,1
2021-03-05,59.0,59.0,1
2021-03-06,74.0,74.0,1
2021-03-07,49.0,49.0,1
2021-03-08,44.0,44.0,1
2021-03-09,81.0,81.0,1
2021-03-10,41.0,41.0,1
2021-03-11,49.0,49.0,1
2021-03-12,42.0,42.0,1
2021-03-13,83.0,83.0,1
2021-03-14,65.0,65.0,1
2021-03-15,50.0,50.0,1
2021-03-16,51.0,51.0,1
2021-03-17,43.0,43.0,1
2021-03-18,49.0,49.0,1
2021-03-19,65.0,65.0,1
2021-03-20,66.0,66.0,1
2021-03-21,73.0,73.0,1
2021-03-22,100.0,100.0,1
2021-03-23,54.0,54.0,1
2021-03-24,64.0,64.0,1
2021-03-25,58.0,58.0,1
2021-03-26,60.0,60.0,1
2021-03-27,65.0,65.0,1
2021-03-28,61.0,61.0,1
2021-03-29,67.0,67.0,1
2021-03-30,47.0,47.0,1
2021-03-31,46.0,46.0,1
2021-04-01,68.0,68.0,1
2021-04-02,69.0,69.0,1
2021-04-03,84.0,84.0,1
2021-04-04,33.0,33.0,1
2021-04-05,72.0,72.0,1
2021-04-06,47.0,47.0,1
2021-04-07,41.0,41.0,1
2021-04-08,52.0,52.0,1
2021-04-09,86.0,86.0,1
2021-04-10,85.0,85.0,1
2021-04-11,28.0,28.0,1
2021-04-12,93.0,93.0,1
2021-04-13,61.0,61.0,1
2021-04-14,62.0,62.0,1
2021-04-15,74.0,74.0,1
2021-04-16,52.0,52.0,1
2021-04-17,78.0,78.0,1
2021-04-18,42.0,42.0,1
2021-04-19,88.0,88.0,1
2021-04-20,83.0,83.0,1
2021-04-21,61.0,61.0,1
2021-04-22,56.0,56.0,1
2021-04-23,67.0,67.0,1
2021-04-24,56.0,56.0,1
2021-04-25,53.0,53.0,1
2021-04-26,82.0,82.0,1
2021-04-27,61.0,61.0,1
2021-04-28,77.0,77.0,1
2021-04-29,66.0,66.0,1
2021-04-30,72.0,72.0,1
2021-05-01,71.0,71.0,1
2021-05-02,65.0,65.0,1
2021-05-03,55.0,55.0,1
2021-05-04,70.0,70.0,1
2021-05-05,64.0,64.0,1
2021-05-06,56.0,56.0,1
2021-05-07,53.0,53.0,1
2021-05-08,49.0,49.0,1
2021-05-09,55.0,55.0,1
2021-05-10,71.0,71.0,1
2021-05-11,65.0,65.0,1
2021-05-12,65.0,65.0,1
2021-05-13,52.0,52.0,1
2021-05-14,81.0,81.0,1
