date,/m/01g2q_0,/m/01g2q,batch_id
2021-02-01,73.0,73.0,1
2021-02-02,24.0,24.0,1
2021-02-03,24.0,24.0,1
2021-02-04,38.0,38.0,1
2021-02-05,0.0,0.0,1
2021-02-06,13.0,13.0,1
2021-02-07,81.0,81.0,1
2021-02-08,24.0,24.0,1
2021-02-09,0.0,0.0,1
2021-02-10,24.0,24.0,1
2021-02-11,25.0,25.0,1
2021-02-12,38.0,38.0,1
2021-02-13,43.0,43.0,1
2021-02-14,0.0,0.0,1
2021-02-15,12.0,12.0,1
2021-02-16,26.0,26.0,1
2021-02-17,50.0,50.0,1
2021-02-18,38.0,38.0,1
2021-02-19,13.0,13.0,1
2021-02-20,45.0,45.0,1
2021-02-21,61.0,61.0,1
2021-02-22,36.0,36.0,1
2021-02-23,13.0,13.0,1
2021-02-24,26.0,26.0,1
2021-02-25,52.0,52.0,1
2021-02-26,13.0,13.0,1
2021-02-27,14.0,14.0,1
2021-02-28,55.0,55.0,1
2021-03-01,62.0,62.0,1
2021-03-02,13.0,13.0,1
2021-03-03,0.0,0.0,1
2021-03-04,61.0,61.0,1
2021-03-05,26.0,26.0,1
2021-03-06,58.0,58.0,1
2021-03-07,14.0,14.0,1
2021-03-08,100.0,100.0,1
2021-03-09,74.0,74.0,1
2021-03-10,50.0,50.0,1
2021-03-11,38.0,38.0,1
2021-03-12,51.0,51.0,1
2021-03-13,40.0,40.0,1
2021-03-14,79.0,79.0,1
2021-03-15,29.0,29.0,1
2021-03-16,21.0,21.0,1
2021-03-17,62.0,62.0,1
2021-03-18,13.0,13.0,1
2021-03-19,26.0,26.0,1
2021-03-20,59.0,59.0,1
2021-03-21,0.0,0.0,1
2021-03-22,37.0,37.0,1
2021-03-23,0.0,0.0,1
2021-03-24,25.0,25.0,1
2021-03-25,77.0,77.0,1
2021-03-26,40.0,40.0,1
2021-03-27,28.0,28.0,1
2021-03-28,15.0,15.0,1
2021-03-29,39.0,39.0,1
2021-03-30,54.0,54.0,1
2021-03-31,14.0,14.0,1
2021-04-01,79.0,79.0,1
2021-04-02,27.0,27.0,1
2021-04-03,44.0,44.0,1
2021-04-04,15.0,15.0,1
2021-04-05,26.0,26.0,1
2021-04-06,48.0,48.0,1
2021-04-07,25.0,25.0,1
2021-04-08,51.0,51.0,1
2021-04-09,78.0,78.0,1
2021-04-10,26.0,26.0,1
2021-04-11,54.0,54.0,1
2021-04-12,0.0,0.0,1
2021-04-13,26.0,26.0,1
2021-04-14,25.0,25.0,1
2021-04-15,38.0,38.0,1
2021-04-16,40.0,40.0,1
2021-04-17,29.0,29.0,1
2021-04-18,44.0,44.0,1
2021-04-19,12.0,12.0,1
2021-04-20,25.0,25.0,1
2021-04-21,38.0,38.0,1
2021-04-22,52.0,52.0,1
2021-04-23,54.0,54.0,1
2021-04-24,15.0,15.0,1
2021-04-25,29.0,29.0,1
2021-04-26,37.0,37.0,1
2021-04-27,13.0,13.0,1
2021-04-28,64.0,64.0,1
2021-04-29,37.0,37.0,1
2021-04-30,38.0,38.0,1
2021-05-01,28.0,28.0,1
2021-05-02,82.0,82.0,1
2021-05-03,24.0,24.0,1
2021-05-04,23.0,23.0,1
2021-05-05,0.0,0.0,1
2021-05-06,37.0,37.0,1
2021-05-07,26.0,26.0,1
2021-05-08,70.0,70.0,1
2021-05-09,30.0,30.0,1
2021-05-10,12.0,12.0,1
2021-05-11,24.0,24.0,1
2021-05-12,25.0,25.0,1
2021-05-13,40.0,40.0,1
2021-05-14,40.0,40.0,1
