date,/m/01hlqz_0,/m/01hlqz,batch_id
2021-02-01,89.0,89.0,1
2021-02-02,83.0,83.0,1
2021-02-03,78.0,78.0,1
2021-02-04,65.0,65.0,1
2021-02-05,74.0,74.0,1
2021-02-06,35.0,35.0,1
2021-02-07,37.0,37.0,1
2021-02-08,75.0,75.0,1
2021-02-09,55.0,55.0,1
2021-02-10,58.0,58.0,1
2021-02-11,56.0,56.0,1
2021-02-12,71.0,71.0,1
2021-02-13,30.0,30.0,1
2021-02-14,24.0,24.0,1
2021-02-15,77.0,77.0,1
2021-02-16,71.0,71.0,1
2021-02-17,73.0,73.0,1
2021-02-18,66.0,66.0,1
2021-02-19,66.0,66.0,1
2021-02-20,43.0,43.0,1
2021-02-21,26.0,26.0,1
2021-02-22,66.0,66.0,1
2021-02-23,71.0,71.0,1
2021-02-24,64.0,64.0,1
2021-02-25,71.0,71.0,1
2021-02-26,70.0,70.0,1
2021-02-27,34.0,34.0,1
2021-02-28,38.0,38.0,1
2021-03-01,86.0,86.0,1
2021-03-02,77.0,77.0,1
2021-03-03,73.0,73.0,1
2021-03-04,75.0,75.0,1
2021-03-05,84.0,84.0,1
2021-03-06,38.0,38.0,1
2021-03-07,33.0,33.0,1
2021-03-08,85.0,85.0,1
2021-03-09,72.0,72.0,1
2021-03-10,73.0,73.0,1
2021-03-11,80.0,80.0,1
2021-03-12,61.0,61.0,1
2021-03-13,43.0,43.0,1
2021-03-14,36.0,36.0,1
2021-03-15,61.0,61.0,1
2021-03-16,58.0,58.0,1
2021-03-17,67.0,67.0,1
2021-03-18,61.0,61.0,1
2021-03-19,67.0,67.0,1
2021-03-20,31.0,31.0,1
2021-03-21,29.0,29.0,1
2021-03-22,66.0,66.0,1
2021-03-23,75.0,75.0,1
2021-03-24,67.0,67.0,1
2021-03-25,59.0,59.0,1
2021-03-26,72.0,72.0,1
2021-03-27,30.0,30.0,1
2021-03-28,26.0,26.0,1
2021-03-29,69.0,69.0,1
2021-03-30,75.0,75.0,1
2021-03-31,70.0,70.0,1
2021-04-01,70.0,70.0,1
2021-04-02,69.0,69.0,1
2021-04-03,39.0,39.0,1
2021-04-04,28.0,28.0,1
2021-04-05,33.0,33.0,1
2021-04-06,100.0,100.0,1
2021-04-07,86.0,86.0,1
2021-04-08,74.0,74.0,1
2021-04-09,56.0,56.0,1
2021-04-10,37.0,37.0,1
2021-04-11,38.0,38.0,1
2021-04-12,79.0,79.0,1
2021-04-13,70.0,70.0,1
2021-04-14,64.0,64.0,1
2021-04-15,66.0,66.0,1
2021-04-16,53.0,53.0,1
2021-04-17,40.0,40.0,1
2021-04-18,30.0,30.0,1
2021-04-19,71.0,71.0,1
2021-04-20,66.0,66.0,1
2021-04-21,77.0,77.0,1
2021-04-22,62.0,62.0,1
2021-04-23,71.0,71.0,1
2021-04-24,33.0,33.0,1
2021-04-25,27.0,27.0,1
2021-04-26,57.0,57.0,1
2021-04-27,75.0,75.0,1
2021-04-28,61.0,61.0,1
2021-04-29,86.0,86.0,1
2021-04-30,59.0,59.0,1
2021-05-01,45.0,45.0,1
2021-05-02,40.0,40.0,1
2021-05-03,79.0,79.0,1
2021-05-04,66.0,66.0,1
2021-05-05,61.0,61.0,1
2021-05-06,83.0,83.0,1
2021-05-07,67.0,67.0,1
2021-05-08,28.0,28.0,1
2021-05-09,31.0,31.0,1
2021-05-10,67.0,67.0,1
2021-05-11,61.0,61.0,1
2021-05-12,73.0,73.0,1
2021-05-13,34.0,34.0,1
2021-05-14,50.0,50.0,1
