date,/m/07l130_0,/m/07l130,batch_id
2021-02-01,68.0,68.0,1
2021-02-02,62.0,62.0,1
2021-02-03,68.0,68.0,1
2021-02-04,76.0,76.0,1
2021-02-05,61.0,61.0,1
2021-02-06,7.0,7.0,1
2021-02-07,2.0,2.0,1
2021-02-08,99.0,99.0,1
2021-02-09,79.0,79.0,1
2021-02-10,76.0,76.0,1
2021-02-11,71.0,71.0,1
2021-02-12,70.0,70.0,1
2021-02-13,9.0,9.0,1
2021-02-14,2.0,2.0,1
2021-02-15,65.0,65.0,1
2021-02-16,76.0,76.0,1
2021-02-17,61.0,61.0,1
2021-02-18,57.0,57.0,1
2021-02-19,69.0,69.0,1
2021-02-20,8.0,8.0,1
2021-02-21,2.0,2.0,1
2021-02-22,57.0,57.0,1
2021-02-23,70.0,70.0,1
2021-02-24,58.0,58.0,1
2021-02-25,89.0,89.0,1
2021-02-26,54.0,54.0,1
2021-02-27,9.0,9.0,1
2021-02-28,4.0,4.0,1
2021-03-01,76.0,76.0,1
2021-03-02,60.0,60.0,1
2021-03-03,61.0,61.0,1
2021-03-04,78.0,78.0,1
2021-03-05,91.0,91.0,1
2021-03-06,9.0,9.0,1
2021-03-07,5.0,5.0,1
2021-03-08,75.0,75.0,1
2021-03-09,90.0,90.0,1
2021-03-10,73.0,73.0,1
2021-03-11,76.0,76.0,1
2021-03-12,67.0,67.0,1
2021-03-13,3.0,3.0,1
2021-03-14,10.0,10.0,1
2021-03-15,53.0,53.0,1
2021-03-16,70.0,70.0,1
2021-03-17,65.0,65.0,1
2021-03-18,80.0,80.0,1
2021-03-19,82.0,82.0,1
2021-03-20,6.0,6.0,1
2021-03-21,2.0,2.0,1
2021-03-22,51.0,51.0,1
2021-03-23,70.0,70.0,1
2021-03-24,74.0,74.0,1
2021-03-25,54.0,54.0,1
2021-03-26,44.0,44.0,1
2021-03-27,5.0,5.0,1
2021-03-28,4.0,4.0,1
2021-03-29,56.0,56.0,1
2021-03-30,57.0,57.0,1
2021-03-31,53.0,53.0,1
2021-04-01,67.0,67.0,1
2021-04-02,36.0,36.0,1
2021-04-03,6.0,6.0,1
2021-04-04,0.0,0.0,1
2021-04-05,13.0,13.0,1
2021-04-06,58.0,58.0,1
2021-04-07,69.0,69.0,1
2021-04-08,57.0,57.0,1
2021-04-09,72.0,72.0,1
2021-04-10,10.0,10.0,1
2021-04-11,7.0,7.0,1
2021-04-12,65.0,65.0,1
2021-04-13,65.0,65.0,1
2021-04-14,53.0,53.0,1
2021-04-15,49.0,49.0,1
2021-04-16,56.0,56.0,1
2021-04-17,13.0,13.0,1
2021-04-18,6.0,6.0,1
2021-04-19,73.0,73.0,1
2021-04-20,51.0,51.0,1
2021-04-21,62.0,62.0,1
2021-04-22,54.0,54.0,1
2021-04-23,100.0,100.0,1
2021-04-24,2.0,2.0,1
2021-04-25,4.0,4.0,1
2021-04-26,60.0,60.0,1
2021-04-27,53.0,53.0,1
2021-04-28,57.0,57.0,1
2021-04-29,59.0,59.0,1
2021-04-30,49.0,49.0,1
2021-05-01,9.0,9.0,1
2021-05-02,7.0,7.0,1
2021-05-03,52.0,52.0,1
2021-05-04,47.0,47.0,1
2021-05-05,65.0,65.0,1
2021-05-06,64.0,64.0,1
2021-05-07,42.0,42.0,1
2021-05-08,5.0,5.0,1
2021-05-09,2.0,2.0,1
2021-05-10,55.0,55.0,1
2021-05-11,75.0,75.0,1
2021-05-12,67.0,67.0,1
2021-05-13,30.0,30.0,1
2021-05-14,67.0,67.0,1
