date,/m/077mq_0,/m/077mq,batch_id
2021-02-01,100.0,100.0,1
2021-02-02,97.0,97.0,1
2021-02-03,92.0,92.0,1
2021-02-04,86.0,86.0,1
2021-02-05,75.0,75.0,1
2021-02-06,33.0,33.0,1
2021-02-07,25.0,25.0,1
2021-02-08,77.0,77.0,1
2021-02-09,70.0,70.0,1
2021-02-10,79.0,79.0,1
2021-02-11,81.0,81.0,1
2021-02-12,74.0,74.0,1
2021-02-13,36.0,36.0,1
2021-02-14,24.0,24.0,1
2021-02-15,49.0,49.0,1
2021-02-16,69.0,69.0,1
2021-02-17,69.0,69.0,1
2021-02-18,68.0,68.0,1
2021-02-19,63.0,63.0,1
2021-02-20,28.0,28.0,1
2021-02-21,18.0,18.0,1
2021-02-22,58.0,58.0,1
2021-02-23,65.0,65.0,1
2021-02-24,72.0,72.0,1
2021-02-25,85.0,85.0,1
2021-02-26,75.0,75.0,1
2021-02-27,33.0,33.0,1
2021-02-28,29.0,29.0,1
2021-03-01,67.0,67.0,1
2021-03-02,67.0,67.0,1
2021-03-03,61.0,61.0,1
2021-03-04,58.0,58.0,1
2021-03-05,68.0,68.0,1
2021-03-06,22.0,22.0,1
2021-03-07,14.0,14.0,1
2021-03-08,73.0,73.0,1
2021-03-09,61.0,61.0,1
2021-03-10,76.0,76.0,1
2021-03-11,71.0,71.0,1
2021-03-12,72.0,72.0,1
2021-03-13,20.0,20.0,1
2021-03-14,16.0,16.0,1
2021-03-15,73.0,73.0,1
2021-03-16,60.0,60.0,1
2021-03-17,63.0,63.0,1
2021-03-18,56.0,56.0,1
2021-03-19,49.0,49.0,1
2021-03-20,25.0,25.0,1
2021-03-21,13.0,13.0,1
2021-03-22,53.0,53.0,1
2021-03-23,49.0,49.0,1
2021-03-24,51.0,51.0,1
2021-03-25,50.0,50.0,1
2021-03-26,42.0,42.0,1
2021-03-27,28.0,28.0,1
2021-03-28,9.0,9.0,1
2021-03-29,47.0,47.0,1
2021-03-30,52.0,52.0,1
2021-03-31,62.0,62.0,1
2021-04-01,53.0,53.0,1
2021-04-02,38.0,38.0,1
2021-04-03,13.0,13.0,1
2021-04-04,12.0,12.0,1
2021-04-05,49.0,49.0,1
2021-04-06,48.0,48.0,1
2021-04-07,57.0,57.0,1
2021-04-08,47.0,47.0,1
2021-04-09,37.0,37.0,1
2021-04-10,17.0,17.0,1
2021-04-11,14.0,14.0,1
2021-04-12,49.0,49.0,1
2021-04-13,43.0,43.0,1
2021-04-14,55.0,55.0,1
2021-04-15,42.0,42.0,1
2021-04-16,51.0,51.0,1
2021-04-17,20.0,20.0,1
2021-04-18,12.0,12.0,1
2021-04-19,48.0,48.0,1
2021-04-20,45.0,45.0,1
2021-04-21,40.0,40.0,1
2021-04-22,58.0,58.0,1
2021-04-23,47.0,47.0,1
2021-04-24,15.0,15.0,1
2021-04-25,14.0,14.0,1
2021-04-26,43.0,43.0,1
2021-04-27,53.0,53.0,1
2021-04-28,48.0,48.0,1
2021-04-29,45.0,45.0,1
2021-04-30,50.0,50.0,1
2021-05-01,17.0,17.0,1
2021-05-02,15.0,15.0,1
2021-05-03,39.0,39.0,1
2021-05-04,53.0,53.0,1
2021-05-05,49.0,49.0,1
2021-05-06,53.0,53.0,1
2021-05-07,42.0,42.0,1
2021-05-08,16.0,16.0,1
2021-05-09,15.0,15.0,1
2021-05-10,37.0,37.0,1
2021-05-11,49.0,49.0,1
2021-05-12,47.0,47.0,1
2021-05-13,47.0,47.0,1
2021-05-14,40.0,40.0,1
