date,/m/054ffx_0,/m/054ffx,batch_id
2021-02-01,10.0,10.0,1
2021-02-02,29.0,29.0,1
2021-02-03,39.0,39.0,1
2021-02-04,20.0,20.0,1
2021-02-05,30.0,30.0,1
2021-02-06,11.0,11.0,1
2021-02-07,32.0,32.0,1
2021-02-08,10.0,10.0,1
2021-02-09,20.0,20.0,1
2021-02-10,19.0,19.0,1
2021-02-11,30.0,30.0,1
2021-02-12,41.0,41.0,1
2021-02-13,34.0,34.0,1
2021-02-14,11.0,11.0,1
2021-02-15,19.0,19.0,1
2021-02-16,10.0,10.0,1
2021-02-17,0.0,0.0,1
2021-02-18,20.0,20.0,1
2021-02-19,0.0,0.0,1
2021-02-20,24.0,24.0,1
2021-02-21,12.0,12.0,1
2021-02-22,57.0,57.0,1
2021-02-23,20.0,20.0,1
2021-02-24,41.0,41.0,1
2021-02-25,0.0,0.0,1
2021-02-26,51.0,51.0,1
2021-02-27,57.0,57.0,1
2021-02-28,33.0,33.0,1
2021-03-01,40.0,40.0,1
2021-03-02,51.0,51.0,1
2021-03-03,31.0,31.0,1
2021-03-04,39.0,39.0,1
2021-03-05,21.0,21.0,1
2021-03-06,34.0,34.0,1
2021-03-07,22.0,22.0,1
2021-03-08,40.0,40.0,1
2021-03-09,0.0,0.0,1
2021-03-10,80.0,80.0,1
2021-03-11,40.0,40.0,1
2021-03-12,31.0,31.0,1
2021-03-13,53.0,53.0,1
2021-03-14,21.0,21.0,1
2021-03-15,62.0,62.0,1
2021-03-16,34.0,34.0,1
2021-03-17,39.0,39.0,1
2021-03-18,70.0,70.0,1
2021-03-19,31.0,31.0,1
2021-03-20,23.0,23.0,1
2021-03-21,0.0,0.0,1
2021-03-22,39.0,39.0,1
2021-03-23,30.0,30.0,1
2021-03-24,10.0,10.0,1
2021-03-25,20.0,20.0,1
2021-03-26,42.0,42.0,1
2021-03-27,22.0,22.0,1
2021-03-28,35.0,35.0,1
2021-03-29,10.0,10.0,1
2021-03-30,11.0,11.0,1
2021-03-31,33.0,33.0,1
2021-04-01,32.0,32.0,1
2021-04-02,11.0,11.0,1
2021-04-03,35.0,35.0,1
2021-04-04,23.0,23.0,1
2021-04-05,52.0,52.0,1
2021-04-06,48.0,48.0,1
2021-04-07,10.0,10.0,1
2021-04-08,50.0,50.0,1
2021-04-09,62.0,62.0,1
2021-04-10,31.0,31.0,1
2021-04-11,32.0,32.0,1
2021-04-12,77.0,77.0,1
2021-04-13,41.0,41.0,1
2021-04-14,30.0,30.0,1
2021-04-15,10.0,10.0,1
2021-04-16,21.0,21.0,1
2021-04-17,35.0,35.0,1
2021-04-18,46.0,46.0,1
2021-04-19,49.0,49.0,1
2021-04-20,40.0,40.0,1
2021-04-21,31.0,31.0,1
2021-04-22,21.0,21.0,1
2021-04-23,54.0,54.0,1
2021-04-24,72.0,72.0,1
2021-04-25,34.0,34.0,1
2021-04-26,30.0,30.0,1
2021-04-27,31.0,31.0,1
2021-04-28,41.0,41.0,1
2021-04-29,68.0,68.0,1
2021-04-30,40.0,40.0,1
2021-05-01,33.0,33.0,1
2021-05-02,87.0,87.0,1
2021-05-03,39.0,39.0,1
2021-05-04,46.0,46.0,1
2021-05-05,57.0,57.0,1
2021-05-06,39.0,39.0,1
2021-05-07,30.0,30.0,1
2021-05-08,78.0,78.0,1
2021-05-09,36.0,36.0,1
2021-05-10,78.0,78.0,1
2021-05-11,57.0,57.0,1
2021-05-12,100.0,100.0,1
2021-05-13,53.0,53.0,1
2021-05-14,11.0,11.0,1
