date,/g/120j3p5k_0,/g/120j3p5k,batch_id
2021-02-01,40.0,40.0,1
2021-02-02,60.0,60.0,1
2021-02-03,50.0,50.0,1
2021-02-04,10.0,10.0,1
2021-02-05,10.0,10.0,1
2021-02-06,22.0,22.0,1
2021-02-07,22.0,22.0,1
2021-02-08,30.0,30.0,1
2021-02-09,61.0,61.0,1
2021-02-10,20.0,20.0,1
2021-02-11,52.0,52.0,1
2021-02-12,42.0,42.0,1
2021-02-13,12.0,12.0,1
2021-02-14,0.0,0.0,1
2021-02-15,30.0,30.0,1
2021-02-16,73.0,73.0,1
2021-02-17,21.0,21.0,1
2021-02-18,10.0,10.0,1
2021-02-19,44.0,44.0,1
2021-02-20,25.0,25.0,1
2021-02-21,0.0,0.0,1
2021-02-22,29.0,29.0,1
2021-02-23,11.0,11.0,1
2021-02-24,53.0,53.0,1
2021-02-25,42.0,42.0,1
2021-02-26,21.0,21.0,1
2021-02-27,23.0,23.0,1
2021-02-28,11.0,11.0,1
2021-03-01,71.0,71.0,1
2021-03-02,84.0,84.0,1
2021-03-03,64.0,64.0,1
2021-03-04,50.0,50.0,1
2021-03-05,11.0,11.0,1
2021-03-06,12.0,12.0,1
2021-03-07,23.0,23.0,1
2021-03-08,72.0,72.0,1
2021-03-09,40.0,40.0,1
2021-03-10,41.0,41.0,1
2021-03-11,20.0,20.0,1
2021-03-12,11.0,11.0,1
2021-03-13,55.0,55.0,1
2021-03-14,11.0,11.0,1
2021-03-15,80.0,80.0,1
2021-03-16,26.0,26.0,1
2021-03-17,20.0,20.0,1
2021-03-18,31.0,31.0,1
2021-03-19,11.0,11.0,1
2021-03-20,12.0,12.0,1
2021-03-21,22.0,22.0,1
2021-03-22,51.0,51.0,1
2021-03-23,20.0,20.0,1
2021-03-24,71.0,71.0,1
2021-03-25,21.0,21.0,1
2021-03-26,32.0,32.0,1
2021-03-27,0.0,0.0,1
2021-03-28,12.0,12.0,1
2021-03-29,11.0,11.0,1
2021-03-30,22.0,22.0,1
2021-03-31,34.0,34.0,1
2021-04-01,22.0,22.0,1
2021-04-02,22.0,22.0,1
2021-04-03,0.0,0.0,1
2021-04-04,12.0,12.0,1
2021-04-05,11.0,11.0,1
2021-04-06,49.0,49.0,1
2021-04-07,0.0,0.0,1
2021-04-08,31.0,31.0,1
2021-04-09,11.0,11.0,1
2021-04-10,53.0,53.0,1
2021-04-11,11.0,11.0,1
2021-04-12,20.0,20.0,1
2021-04-13,42.0,42.0,1
2021-04-14,0.0,0.0,1
2021-04-15,42.0,42.0,1
2021-04-16,55.0,55.0,1
2021-04-17,12.0,12.0,1
2021-04-18,60.0,60.0,1
2021-04-19,20.0,20.0,1
2021-04-20,0.0,0.0,1
2021-04-21,63.0,63.0,1
2021-04-22,43.0,43.0,1
2021-04-23,100.0,100.0,1
2021-04-24,61.0,61.0,1
2021-04-25,35.0,35.0,1
2021-04-26,20.0,20.0,1
2021-04-27,32.0,32.0,1
2021-04-28,10.0,10.0,1
2021-04-29,30.0,30.0,1
2021-04-30,31.0,31.0,1
2021-05-01,45.0,45.0,1
2021-05-02,11.0,11.0,1
2021-05-03,40.0,40.0,1
2021-05-04,67.0,67.0,1
2021-05-05,10.0,10.0,1
2021-05-06,61.0,61.0,1
2021-05-07,42.0,42.0,1
2021-05-08,34.0,34.0,1
2021-05-09,37.0,37.0,1
2021-05-10,71.0,71.0,1
2021-05-11,30.0,30.0,1
2021-05-12,21.0,21.0,1
2021-05-13,43.0,43.0,1
2021-05-14,11.0,11.0,1
