date,/m/05p0rrx_0,/m/05p0rrx,batch_id
2021-02-01,34.0,34.0,1
2021-02-02,39.0,39.0,1
2021-02-03,32.0,32.0,1
2021-02-04,31.0,31.0,1
2021-02-05,33.0,33.0,1
2021-02-06,43.0,43.0,1
2021-02-07,39.0,39.0,1
2021-02-08,100.0,100.0,1
2021-02-09,83.0,83.0,1
2021-02-10,62.0,62.0,1
2021-02-11,68.0,68.0,1
2021-02-12,53.0,53.0,1
2021-02-13,44.0,44.0,1
2021-02-14,42.0,42.0,1
2021-02-15,44.0,44.0,1
2021-02-16,60.0,60.0,1
2021-02-17,72.0,72.0,1
2021-02-18,62.0,62.0,1
2021-02-19,52.0,52.0,1
2021-02-20,84.0,84.0,1
2021-02-21,53.0,53.0,1
2021-02-22,76.0,76.0,1
2021-02-23,96.0,96.0,1
2021-02-24,64.0,64.0,1
2021-02-25,63.0,63.0,1
2021-02-26,56.0,56.0,1
2021-02-27,38.0,38.0,1
2021-02-28,45.0,45.0,1
2021-03-01,40.0,40.0,1
2021-03-02,38.0,38.0,1
2021-03-03,46.0,46.0,1
2021-03-04,44.0,44.0,1
2021-03-05,32.0,32.0,1
2021-03-06,33.0,33.0,1
2021-03-07,34.0,34.0,1
2021-03-08,40.0,40.0,1
2021-03-09,43.0,43.0,1
2021-03-10,45.0,45.0,1
2021-03-11,34.0,34.0,1
2021-03-12,38.0,38.0,1
2021-03-13,57.0,57.0,1
2021-03-14,42.0,42.0,1
2021-03-15,35.0,35.0,1
2021-03-16,48.0,48.0,1
2021-03-17,39.0,39.0,1
2021-03-18,35.0,35.0,1
2021-03-19,41.0,41.0,1
2021-03-20,32.0,32.0,1
2021-03-21,20.0,20.0,1
2021-03-22,36.0,36.0,1
2021-03-23,37.0,37.0,1
2021-03-24,48.0,48.0,1
2021-03-25,41.0,41.0,1
2021-03-26,28.0,28.0,1
2021-03-27,40.0,40.0,1
2021-03-28,31.0,31.0,1
2021-03-29,38.0,38.0,1
2021-03-30,28.0,28.0,1
2021-03-31,28.0,28.0,1
2021-04-01,27.0,27.0,1
2021-04-02,34.0,34.0,1
2021-04-03,33.0,33.0,1
2021-04-04,27.0,27.0,1
2021-04-05,22.0,22.0,1
2021-04-06,27.0,27.0,1
2021-04-07,26.0,26.0,1
2021-04-08,25.0,25.0,1
2021-04-09,19.0,19.0,1
2021-04-10,27.0,27.0,1
2021-04-11,29.0,29.0,1
2021-04-12,29.0,29.0,1
2021-04-13,41.0,41.0,1
2021-04-14,45.0,45.0,1
2021-04-15,35.0,35.0,1
2021-04-16,45.0,45.0,1
2021-04-17,33.0,33.0,1
2021-04-18,59.0,59.0,1
2021-04-19,56.0,56.0,1
2021-04-20,49.0,49.0,1
2021-04-21,32.0,32.0,1
2021-04-22,37.0,37.0,1
2021-04-23,71.0,71.0,1
2021-04-24,43.0,43.0,1
2021-04-25,39.0,39.0,1
2021-04-26,47.0,47.0,1
2021-04-27,39.0,39.0,1
2021-04-28,34.0,34.0,1
2021-04-29,32.0,32.0,1
2021-04-30,37.0,37.0,1
2021-05-01,33.0,33.0,1
2021-05-02,33.0,33.0,1
2021-05-03,24.0,24.0,1
2021-05-04,31.0,31.0,1
2021-05-05,25.0,25.0,1
2021-05-06,31.0,31.0,1
2021-05-07,27.0,27.0,1
2021-05-08,26.0,26.0,1
2021-05-09,23.0,23.0,1
2021-05-10,33.0,33.0,1
2021-05-11,24.0,24.0,1
2021-05-12,35.0,35.0,1
2021-05-13,90.0,90.0,1
2021-05-14,43.0,43.0,1
