date,/m/07x16_0,/m/07x16,batch_id
2021-02-01,58.0,58.0,1
2021-02-02,47.0,47.0,1
2021-02-03,23.0,23.0,1
2021-02-04,12.0,12.0,1
2021-02-05,48.0,48.0,1
2021-02-06,38.0,38.0,1
2021-02-07,0.0,0.0,1
2021-02-08,47.0,47.0,1
2021-02-09,0.0,0.0,1
2021-02-10,47.0,47.0,1
2021-02-11,12.0,12.0,1
2021-02-12,61.0,61.0,1
2021-02-13,96.0,96.0,1
2021-02-14,55.0,55.0,1
2021-02-15,23.0,23.0,1
2021-02-16,24.0,24.0,1
2021-02-17,24.0,24.0,1
2021-02-18,24.0,24.0,1
2021-02-19,25.0,25.0,1
2021-02-20,43.0,43.0,1
2021-02-21,29.0,29.0,1
2021-02-22,23.0,23.0,1
2021-02-23,0.0,0.0,1
2021-02-24,74.0,74.0,1
2021-02-25,49.0,49.0,1
2021-02-26,62.0,62.0,1
2021-02-27,27.0,27.0,1
2021-02-28,80.0,80.0,1
2021-03-01,60.0,60.0,1
2021-03-02,37.0,37.0,1
2021-03-03,62.0,62.0,1
2021-03-04,58.0,58.0,1
2021-03-05,100.0,100.0,1
2021-03-06,83.0,83.0,1
2021-03-07,0.0,0.0,1
2021-03-08,48.0,48.0,1
2021-03-09,59.0,59.0,1
2021-03-10,60.0,60.0,1
2021-03-11,96.0,96.0,1
2021-03-12,37.0,37.0,1
2021-03-13,13.0,13.0,1
2021-03-14,13.0,13.0,1
2021-03-15,37.0,37.0,1
2021-03-16,41.0,41.0,1
2021-03-17,59.0,59.0,1
2021-03-18,48.0,48.0,1
2021-03-19,38.0,38.0,1
2021-03-20,42.0,42.0,1
2021-03-21,52.0,52.0,1
2021-03-22,59.0,59.0,1
2021-03-23,95.0,95.0,1
2021-03-24,12.0,12.0,1
2021-03-25,0.0,0.0,1
2021-03-26,25.0,25.0,1
2021-03-27,53.0,53.0,1
2021-03-28,42.0,42.0,1
2021-03-29,12.0,12.0,1
2021-03-30,13.0,13.0,1
2021-03-31,27.0,27.0,1
2021-04-01,63.0,63.0,1
2021-04-02,26.0,26.0,1
2021-04-03,28.0,28.0,1
2021-04-04,71.0,71.0,1
2021-04-05,37.0,37.0,1
2021-04-06,11.0,11.0,1
2021-04-07,82.0,82.0,1
2021-04-08,36.0,36.0,1
2021-04-09,50.0,50.0,1
2021-04-10,99.0,99.0,1
2021-04-11,51.0,51.0,1
2021-04-12,23.0,23.0,1
2021-04-13,37.0,37.0,1
2021-04-14,24.0,24.0,1
2021-04-15,37.0,37.0,1
2021-04-16,64.0,64.0,1
2021-04-17,14.0,14.0,1
2021-04-18,84.0,84.0,1
2021-04-19,70.0,70.0,1
2021-04-20,72.0,72.0,1
2021-04-21,86.0,86.0,1
2021-04-22,50.0,50.0,1
2021-04-23,13.0,13.0,1
2021-04-24,14.0,14.0,1
2021-04-25,27.0,27.0,1
2021-04-26,48.0,48.0,1
2021-04-27,74.0,74.0,1
2021-04-28,37.0,37.0,1
2021-04-29,47.0,47.0,1
2021-04-30,72.0,72.0,1
2021-05-01,0.0,0.0,1
2021-05-02,26.0,26.0,1
2021-05-03,23.0,23.0,1
2021-05-04,56.0,56.0,1
2021-05-05,23.0,23.0,1
2021-05-06,47.0,47.0,1
2021-05-07,37.0,37.0,1
2021-05-08,13.0,13.0,1
2021-05-09,14.0,14.0,1
2021-05-10,12.0,12.0,1
2021-05-11,46.0,46.0,1
2021-05-12,24.0,24.0,1
2021-05-13,51.0,51.0,1
2021-05-14,13.0,13.0,1
