date,/m/04jvfj_0,/m/04jvfj,batch_id
2021-02-01,38.0,38.0,1
2021-02-02,28.0,28.0,1
2021-02-03,24.0,24.0,1
2021-02-04,25.0,25.0,1
2021-02-05,20.0,20.0,1
2021-02-06,21.0,21.0,1
2021-02-07,21.0,21.0,1
2021-02-08,38.0,38.0,1
2021-02-09,44.0,44.0,1
2021-02-10,33.0,33.0,1
2021-02-11,25.0,25.0,1
2021-02-12,25.0,25.0,1
2021-02-13,25.0,25.0,1
2021-02-14,50.0,50.0,1
2021-02-15,31.0,31.0,1
2021-02-16,47.0,47.0,1
2021-02-17,57.0,57.0,1
2021-02-18,37.0,37.0,1
2021-02-19,52.0,52.0,1
2021-02-20,38.0,38.0,1
2021-02-21,30.0,30.0,1
2021-02-22,53.0,53.0,1
2021-02-23,60.0,60.0,1
2021-02-24,30.0,30.0,1
2021-02-25,43.0,43.0,1
2021-02-26,38.0,38.0,1
2021-02-27,45.0,45.0,1
2021-02-28,30.0,30.0,1
2021-03-01,65.0,65.0,1
2021-03-02,22.0,22.0,1
2021-03-03,53.0,53.0,1
2021-03-04,40.0,40.0,1
2021-03-05,41.0,41.0,1
2021-03-06,28.0,28.0,1
2021-03-07,38.0,38.0,1
2021-03-08,51.0,51.0,1
2021-03-09,50.0,50.0,1
2021-03-10,34.0,34.0,1
2021-03-11,41.0,41.0,1
2021-03-12,37.0,37.0,1
2021-03-13,29.0,29.0,1
2021-03-14,49.0,49.0,1
2021-03-15,34.0,34.0,1
2021-03-16,36.0,36.0,1
2021-03-17,41.0,41.0,1
2021-03-18,17.0,17.0,1
2021-03-19,49.0,49.0,1
2021-03-20,20.0,20.0,1
2021-03-21,48.0,48.0,1
2021-03-22,36.0,36.0,1
2021-03-23,29.0,29.0,1
2021-03-24,22.0,22.0,1
2021-03-25,47.0,47.0,1
2021-03-26,23.0,23.0,1
2021-03-27,19.0,19.0,1
2021-03-28,37.0,37.0,1
2021-03-29,36.0,36.0,1
2021-03-30,32.0,32.0,1
2021-03-31,41.0,41.0,1
2021-04-01,41.0,41.0,1
2021-04-02,24.0,24.0,1
2021-04-03,20.0,20.0,1
2021-04-04,26.0,26.0,1
2021-04-05,28.0,28.0,1
2021-04-06,44.0,44.0,1
2021-04-07,36.0,36.0,1
2021-04-08,40.0,40.0,1
2021-04-09,43.0,43.0,1
2021-04-10,50.0,50.0,1
2021-04-11,55.0,55.0,1
2021-04-12,61.0,61.0,1
2021-04-13,43.0,43.0,1
2021-04-14,73.0,73.0,1
2021-04-15,65.0,65.0,1
2021-04-16,62.0,62.0,1
2021-04-17,57.0,57.0,1
2021-04-18,51.0,51.0,1
2021-04-19,76.0,76.0,1
2021-04-20,71.0,71.0,1
2021-04-21,50.0,50.0,1
2021-04-22,63.0,63.0,1
2021-04-23,48.0,48.0,1
2021-04-24,44.0,44.0,1
2021-04-25,70.0,70.0,1
2021-04-26,44.0,44.0,1
2021-04-27,55.0,55.0,1
2021-04-28,62.0,62.0,1
2021-04-29,60.0,60.0,1
2021-04-30,49.0,49.0,1
2021-05-01,57.0,57.0,1
2021-05-02,48.0,48.0,1
2021-05-03,66.0,66.0,1
2021-05-04,77.0,77.0,1
2021-05-05,84.0,84.0,1
2021-05-06,80.0,80.0,1
2021-05-07,82.0,82.0,1
2021-05-08,63.0,63.0,1
2021-05-09,58.0,58.0,1
2021-05-10,74.0,74.0,1
2021-05-11,68.0,68.0,1
2021-05-12,88.0,88.0,1
2021-05-13,85.0,85.0,1
2021-05-14,100.0,100.0,1
