date,/m/02lc8s_0,/m/02lc8s,batch_id
2021-02-01,40.0,40.0,1
2021-02-02,40.0,40.0,1
2021-02-03,40.0,40.0,1
2021-02-04,21.0,21.0,1
2021-02-05,52.0,52.0,1
2021-02-06,33.0,33.0,1
2021-02-07,11.0,11.0,1
2021-02-08,50.0,50.0,1
2021-02-09,81.0,81.0,1
2021-02-10,40.0,40.0,1
2021-02-11,31.0,31.0,1
2021-02-12,10.0,10.0,1
2021-02-13,23.0,23.0,1
2021-02-14,12.0,12.0,1
2021-02-15,90.0,90.0,1
2021-02-16,31.0,31.0,1
2021-02-17,31.0,31.0,1
2021-02-18,51.0,51.0,1
2021-02-19,65.0,65.0,1
2021-02-20,49.0,49.0,1
2021-02-21,50.0,50.0,1
2021-02-22,58.0,58.0,1
2021-02-23,21.0,21.0,1
2021-02-24,53.0,53.0,1
2021-02-25,53.0,53.0,1
2021-02-26,63.0,63.0,1
2021-02-27,35.0,35.0,1
2021-02-28,0.0,0.0,1
2021-03-01,71.0,71.0,1
2021-03-02,52.0,52.0,1
2021-03-03,53.0,53.0,1
2021-03-04,50.0,50.0,1
2021-03-05,85.0,85.0,1
2021-03-06,24.0,24.0,1
2021-03-07,34.0,34.0,1
2021-03-08,20.0,20.0,1
2021-03-09,100.0,100.0,1
2021-03-10,61.0,61.0,1
2021-03-11,51.0,51.0,1
2021-03-12,73.0,73.0,1
2021-03-13,55.0,55.0,1
2021-03-14,97.0,97.0,1
2021-03-15,56.0,56.0,1
2021-03-16,44.0,44.0,1
2021-03-17,61.0,61.0,1
2021-03-18,51.0,51.0,1
2021-03-19,86.0,86.0,1
2021-03-20,24.0,24.0,1
2021-03-21,33.0,33.0,1
2021-03-22,30.0,30.0,1
2021-03-23,51.0,51.0,1
2021-03-24,10.0,10.0,1
2021-03-25,42.0,42.0,1
2021-03-26,22.0,22.0,1
2021-03-27,11.0,11.0,1
2021-03-28,36.0,36.0,1
2021-03-29,64.0,64.0,1
2021-03-30,44.0,44.0,1
2021-03-31,23.0,23.0,1
2021-04-01,54.0,54.0,1
2021-04-02,11.0,11.0,1
2021-04-03,47.0,47.0,1
2021-04-04,0.0,0.0,1
2021-04-05,11.0,11.0,1
2021-04-06,68.0,68.0,1
2021-04-07,70.0,70.0,1
2021-04-08,62.0,62.0,1
2021-04-09,42.0,42.0,1
2021-04-10,42.0,42.0,1
2021-04-11,33.0,33.0,1
2021-04-12,59.0,59.0,1
2021-04-13,31.0,31.0,1
2021-04-14,31.0,31.0,1
2021-04-15,62.0,62.0,1
2021-04-16,43.0,43.0,1
2021-04-17,12.0,12.0,1
2021-04-18,24.0,24.0,1
2021-04-19,60.0,60.0,1
2021-04-20,51.0,51.0,1
2021-04-21,42.0,42.0,1
2021-04-22,0.0,0.0,1
2021-04-23,55.0,55.0,1
2021-04-24,24.0,24.0,1
2021-04-25,23.0,23.0,1
2021-04-26,30.0,30.0,1
2021-04-27,53.0,53.0,1
2021-04-28,52.0,52.0,1
2021-04-29,80.0,80.0,1
2021-04-30,51.0,51.0,1
2021-05-01,34.0,34.0,1
2021-05-02,22.0,22.0,1
2021-05-03,60.0,60.0,1
2021-05-04,57.0,57.0,1
2021-05-05,68.0,68.0,1
2021-05-06,20.0,20.0,1
2021-05-07,31.0,31.0,1
2021-05-08,11.0,11.0,1
2021-05-09,61.0,61.0,1
2021-05-10,20.0,20.0,1
2021-05-11,10.0,10.0,1
2021-05-12,41.0,41.0,1
2021-05-13,11.0,11.0,1
2021-05-14,66.0,66.0,1
