date,/m/08thsj_0,/m/08thsj,batch_id
2021-02-01,44.0,44.0,1
2021-02-02,44.0,44.0,1
2021-02-03,50.0,50.0,1
2021-02-04,20.0,20.0,1
2021-02-05,52.0,52.0,1
2021-02-06,14.0,14.0,1
2021-02-07,14.0,14.0,1
2021-02-08,44.0,44.0,1
2021-02-09,32.0,32.0,1
2021-02-10,57.0,57.0,1
2021-02-11,39.0,39.0,1
2021-02-12,79.0,79.0,1
2021-02-13,30.0,30.0,1
2021-02-14,22.0,22.0,1
2021-02-15,38.0,38.0,1
2021-02-16,66.0,66.0,1
2021-02-17,26.0,26.0,1
2021-02-18,65.0,65.0,1
2021-02-19,35.0,35.0,1
2021-02-20,8.0,8.0,1
2021-02-21,32.0,32.0,1
2021-02-22,12.0,12.0,1
2021-02-23,73.0,73.0,1
2021-02-24,67.0,67.0,1
2021-02-25,60.0,60.0,1
2021-02-26,40.0,40.0,1
2021-02-27,30.0,30.0,1
2021-02-28,14.0,14.0,1
2021-03-01,26.0,26.0,1
2021-03-02,73.0,73.0,1
2021-03-03,40.0,40.0,1
2021-03-04,70.0,70.0,1
2021-03-05,88.0,88.0,1
2021-03-06,15.0,15.0,1
2021-03-07,36.0,36.0,1
2021-03-08,45.0,45.0,1
2021-03-09,32.0,32.0,1
2021-03-10,52.0,52.0,1
2021-03-11,19.0,19.0,1
2021-03-12,73.0,73.0,1
2021-03-13,35.0,35.0,1
2021-03-14,14.0,14.0,1
2021-03-15,40.0,40.0,1
2021-03-16,67.0,67.0,1
2021-03-17,51.0,51.0,1
2021-03-18,65.0,65.0,1
2021-03-19,61.0,61.0,1
2021-03-20,23.0,23.0,1
2021-03-21,28.0,28.0,1
2021-03-22,32.0,32.0,1
2021-03-23,39.0,39.0,1
2021-03-24,77.0,77.0,1
2021-03-25,47.0,47.0,1
2021-03-26,41.0,41.0,1
2021-03-27,0.0,0.0,1
2021-03-28,31.0,31.0,1
2021-03-29,41.0,41.0,1
2021-03-30,56.0,56.0,1
2021-03-31,29.0,29.0,1
2021-04-01,48.0,48.0,1
2021-04-02,14.0,14.0,1
2021-04-03,30.0,30.0,1
2021-04-04,15.0,15.0,1
2021-04-05,54.0,54.0,1
2021-04-06,62.0,62.0,1
2021-04-07,64.0,64.0,1
2021-04-08,33.0,33.0,1
2021-04-09,20.0,20.0,1
2021-04-10,47.0,47.0,1
2021-04-11,14.0,14.0,1
2021-04-12,57.0,57.0,1
2021-04-13,100.0,100.0,1
2021-04-14,65.0,65.0,1
2021-04-15,53.0,53.0,1
2021-04-16,35.0,35.0,1
2021-04-17,15.0,15.0,1
2021-04-18,15.0,15.0,1
2021-04-19,32.0,32.0,1
2021-04-20,13.0,13.0,1
2021-04-21,27.0,27.0,1
2021-04-22,7.0,7.0,1
2021-04-23,7.0,7.0,1
2021-04-24,16.0,16.0,1
2021-04-25,0.0,0.0,1
2021-04-26,39.0,39.0,1
2021-04-27,34.0,34.0,1
2021-04-28,20.0,20.0,1
2021-04-29,51.0,51.0,1
2021-04-30,52.0,52.0,1
2021-05-01,57.0,57.0,1
2021-05-02,0.0,0.0,1
2021-05-03,44.0,44.0,1
2021-05-04,30.0,30.0,1
2021-05-05,25.0,25.0,1
2021-05-06,26.0,26.0,1
2021-05-07,40.0,40.0,1
2021-05-08,36.0,36.0,1
2021-05-09,8.0,8.0,1
2021-05-10,38.0,38.0,1
2021-05-11,62.0,62.0,1
2021-05-12,59.0,59.0,1
2021-05-13,69.0,69.0,1
2021-05-14,42.0,42.0,1
