date,/m/06mnr_0,/m/06mnr,batch_id
2021-02-01,50.0,50.0,1
2021-02-02,61.0,61.0,1
2021-02-03,34.0,34.0,1
2021-02-04,48.0,48.0,1
2021-02-05,55.0,55.0,1
2021-02-06,50.0,50.0,1
2021-02-07,46.0,46.0,1
2021-02-08,42.0,42.0,1
2021-02-09,66.0,66.0,1
2021-02-10,53.0,53.0,1
2021-02-11,43.0,43.0,1
2021-02-12,44.0,44.0,1
2021-02-13,45.0,45.0,1
2021-02-14,72.0,72.0,1
2021-02-15,50.0,50.0,1
2021-02-16,68.0,68.0,1
2021-02-17,59.0,59.0,1
2021-02-18,63.0,63.0,1
2021-02-19,67.0,67.0,1
2021-02-20,43.0,43.0,1
2021-02-21,57.0,57.0,1
2021-02-22,41.0,41.0,1
2021-02-23,81.0,81.0,1
2021-02-24,36.0,36.0,1
2021-02-25,48.0,48.0,1
2021-02-26,36.0,36.0,1
2021-02-27,63.0,63.0,1
2021-02-28,65.0,65.0,1
2021-03-01,43.0,43.0,1
2021-03-02,52.0,52.0,1
2021-03-03,49.0,49.0,1
2021-03-04,27.0,27.0,1
2021-03-05,45.0,45.0,1
2021-03-06,36.0,36.0,1
2021-03-07,44.0,44.0,1
2021-03-08,59.0,59.0,1
2021-03-09,100.0,100.0,1
2021-03-10,55.0,55.0,1
2021-03-11,39.0,39.0,1
2021-03-12,64.0,64.0,1
2021-03-13,34.0,34.0,1
2021-03-14,33.0,33.0,1
2021-03-15,52.0,52.0,1
2021-03-16,61.0,61.0,1
2021-03-17,74.0,74.0,1
2021-03-18,31.0,31.0,1
2021-03-19,54.0,54.0,1
2021-03-20,55.0,55.0,1
2021-03-21,81.0,81.0,1
2021-03-22,78.0,78.0,1
2021-03-23,78.0,78.0,1
2021-03-24,54.0,54.0,1
2021-03-25,64.0,64.0,1
2021-03-26,54.0,54.0,1
2021-03-27,74.0,74.0,1
2021-03-28,46.0,46.0,1
2021-03-29,37.0,37.0,1
2021-03-30,59.0,59.0,1
2021-03-31,48.0,48.0,1
2021-04-01,95.0,95.0,1
2021-04-02,30.0,30.0,1
2021-04-03,46.0,46.0,1
2021-04-04,42.0,42.0,1
2021-04-05,73.0,73.0,1
2021-04-06,34.0,34.0,1
2021-04-07,39.0,39.0,1
2021-04-08,64.0,64.0,1
2021-04-09,57.0,57.0,1
2021-04-10,32.0,32.0,1
2021-04-11,72.0,72.0,1
2021-04-12,49.0,49.0,1
2021-04-13,73.0,73.0,1
2021-04-14,71.0,71.0,1
2021-04-15,52.0,52.0,1
2021-04-16,79.0,79.0,1
2021-04-17,55.0,55.0,1
2021-04-18,46.0,46.0,1
2021-04-19,54.0,54.0,1
2021-04-20,59.0,59.0,1
2021-04-21,40.0,40.0,1
2021-04-22,69.0,69.0,1
2021-04-23,51.0,51.0,1
2021-04-24,56.0,56.0,1
2021-04-25,50.0,50.0,1
2021-04-26,59.0,59.0,1
2021-04-27,65.0,65.0,1
2021-04-28,60.0,60.0,1
2021-04-29,50.0,50.0,1
2021-04-30,31.0,31.0,1
2021-05-01,52.0,52.0,1
2021-05-02,60.0,60.0,1
2021-05-03,80.0,80.0,1
2021-05-04,77.0,77.0,1
2021-05-05,67.0,67.0,1
2021-05-06,62.0,62.0,1
2021-05-07,64.0,64.0,1
2021-05-08,53.0,53.0,1
2021-05-09,52.0,52.0,1
2021-05-10,42.0,42.0,1
2021-05-11,76.0,76.0,1
2021-05-12,36.0,36.0,1
2021-05-13,58.0,58.0,1
2021-05-14,42.0,42.0,1
