date,/m/018l35_0,/m/018l35,batch_id
2021-02-01,61.0,61.0,1
2021-02-02,44.0,44.0,1
2021-02-03,41.0,41.0,1
2021-02-04,39.0,39.0,1
2021-02-05,49.0,49.0,1
2021-02-06,41.0,41.0,1
2021-02-07,49.0,49.0,1
2021-02-08,61.0,61.0,1
2021-02-09,55.0,55.0,1
2021-02-10,82.0,82.0,1
2021-02-11,60.0,60.0,1
2021-02-12,53.0,53.0,1
2021-02-13,40.0,40.0,1
2021-02-14,44.0,44.0,1
2021-02-15,71.0,71.0,1
2021-02-16,64.0,64.0,1
2021-02-17,60.0,60.0,1
2021-02-18,84.0,84.0,1
2021-02-19,78.0,78.0,1
2021-02-20,42.0,42.0,1
2021-02-21,42.0,42.0,1
2021-02-22,49.0,49.0,1
2021-02-23,64.0,64.0,1
2021-02-24,79.0,79.0,1
2021-02-25,57.0,57.0,1
2021-02-26,54.0,54.0,1
2021-02-27,40.0,40.0,1
2021-02-28,31.0,31.0,1
2021-03-01,42.0,42.0,1
2021-03-02,36.0,36.0,1
2021-03-03,54.0,54.0,1
2021-03-04,44.0,44.0,1
2021-03-05,40.0,40.0,1
2021-03-06,56.0,56.0,1
2021-03-07,58.0,58.0,1
2021-03-08,59.0,59.0,1
2021-03-09,48.0,48.0,1
2021-03-10,42.0,42.0,1
2021-03-11,42.0,42.0,1
2021-03-12,57.0,57.0,1
2021-03-13,26.0,26.0,1
2021-03-14,66.0,66.0,1
2021-03-15,54.0,54.0,1
2021-03-16,66.0,66.0,1
2021-03-17,55.0,55.0,1
2021-03-18,63.0,63.0,1
2021-03-19,80.0,80.0,1
2021-03-20,74.0,74.0,1
2021-03-21,46.0,46.0,1
2021-03-22,35.0,35.0,1
2021-03-23,48.0,48.0,1
2021-03-24,35.0,35.0,1
2021-03-25,50.0,50.0,1
2021-03-26,29.0,29.0,1
2021-03-27,42.0,42.0,1
2021-03-28,33.0,33.0,1
2021-03-29,33.0,33.0,1
2021-03-30,72.0,72.0,1
2021-03-31,35.0,35.0,1
2021-04-01,52.0,52.0,1
2021-04-02,45.0,45.0,1
2021-04-03,45.0,45.0,1
2021-04-04,41.0,41.0,1
2021-04-05,18.0,18.0,1
2021-04-06,63.0,63.0,1
2021-04-07,58.0,58.0,1
2021-04-08,49.0,49.0,1
2021-04-09,98.0,98.0,1
2021-04-10,36.0,36.0,1
2021-04-11,56.0,56.0,1
2021-04-12,54.0,54.0,1
2021-04-13,32.0,32.0,1
2021-04-14,56.0,56.0,1
2021-04-15,64.0,64.0,1
2021-04-16,30.0,30.0,1
2021-04-17,53.0,53.0,1
2021-04-18,69.0,69.0,1
2021-04-19,68.0,68.0,1
2021-04-20,63.0,63.0,1
2021-04-21,64.0,64.0,1
2021-04-22,58.0,58.0,1
2021-04-23,42.0,42.0,1
2021-04-24,54.0,54.0,1
2021-04-25,52.0,52.0,1
2021-04-26,59.0,59.0,1
2021-04-27,47.0,47.0,1
2021-04-28,100.0,100.0,1
2021-04-29,45.0,45.0,1
2021-04-30,35.0,35.0,1
2021-05-01,39.0,39.0,1
2021-05-02,38.0,38.0,1
2021-05-03,34.0,34.0,1
2021-05-04,39.0,39.0,1
2021-05-05,30.0,30.0,1
2021-05-06,72.0,72.0,1
2021-05-07,32.0,32.0,1
2021-05-08,50.0,50.0,1
2021-05-09,37.0,37.0,1
2021-05-10,79.0,79.0,1
2021-05-11,50.0,50.0,1
2021-05-12,46.0,46.0,1
2021-05-13,55.0,55.0,1
2021-05-14,53.0,53.0,1
