date,/m/0kvdvx8_0,/m/0kvdvx8,batch_id
2021-02-01,9.0,9.0,1
2021-02-02,35.0,35.0,1
2021-02-03,17.0,17.0,1
2021-02-04,27.0,27.0,1
2021-02-05,36.0,36.0,1
2021-02-06,0.0,0.0,1
2021-02-07,29.0,29.0,1
2021-02-08,26.0,26.0,1
2021-02-09,44.0,44.0,1
2021-02-10,9.0,9.0,1
2021-02-11,45.0,45.0,1
2021-02-12,9.0,9.0,1
2021-02-13,41.0,41.0,1
2021-02-14,0.0,0.0,1
2021-02-15,0.0,0.0,1
2021-02-16,18.0,18.0,1
2021-02-17,36.0,36.0,1
2021-02-18,54.0,54.0,1
2021-02-19,19.0,19.0,1
2021-02-20,22.0,22.0,1
2021-02-21,0.0,0.0,1
2021-02-22,25.0,25.0,1
2021-02-23,9.0,9.0,1
2021-02-24,18.0,18.0,1
2021-02-25,28.0,28.0,1
2021-02-26,27.0,27.0,1
2021-02-27,10.0,10.0,1
2021-02-28,10.0,10.0,1
2021-03-01,27.0,27.0,1
2021-03-02,18.0,18.0,1
2021-03-03,28.0,28.0,1
2021-03-04,43.0,43.0,1
2021-03-05,19.0,19.0,1
2021-03-06,21.0,21.0,1
2021-03-07,0.0,0.0,1
2021-03-08,9.0,9.0,1
2021-03-09,35.0,35.0,1
2021-03-10,27.0,27.0,1
2021-03-11,44.0,44.0,1
2021-03-12,55.0,55.0,1
2021-03-13,19.0,19.0,1
2021-03-14,0.0,0.0,1
2021-03-15,35.0,35.0,1
2021-03-16,38.0,38.0,1
2021-03-17,44.0,44.0,1
2021-03-18,54.0,54.0,1
2021-03-19,37.0,37.0,1
2021-03-20,21.0,21.0,1
2021-03-21,39.0,39.0,1
2021-03-22,35.0,35.0,1
2021-03-23,35.0,35.0,1
2021-03-24,18.0,18.0,1
2021-03-25,36.0,36.0,1
2021-03-26,28.0,28.0,1
2021-03-27,10.0,10.0,1
2021-03-28,11.0,11.0,1
2021-03-29,28.0,28.0,1
2021-03-30,67.0,67.0,1
2021-03-31,99.0,99.0,1
2021-04-01,28.0,28.0,1
2021-04-02,57.0,57.0,1
2021-04-03,21.0,21.0,1
2021-04-04,10.0,10.0,1
2021-04-05,9.0,9.0,1
2021-04-06,25.0,25.0,1
2021-04-07,9.0,9.0,1
2021-04-08,36.0,36.0,1
2021-04-09,28.0,28.0,1
2021-04-10,9.0,9.0,1
2021-04-11,19.0,19.0,1
2021-04-12,26.0,26.0,1
2021-04-13,27.0,27.0,1
2021-04-14,36.0,36.0,1
2021-04-15,54.0,54.0,1
2021-04-16,9.0,9.0,1
2021-04-17,21.0,21.0,1
2021-04-18,21.0,21.0,1
2021-04-19,35.0,35.0,1
2021-04-20,27.0,27.0,1
2021-04-21,46.0,46.0,1
2021-04-22,18.0,18.0,1
2021-04-23,29.0,29.0,1
2021-04-24,43.0,43.0,1
2021-04-25,10.0,10.0,1
2021-04-26,53.0,53.0,1
2021-04-27,74.0,74.0,1
2021-04-28,55.0,55.0,1
2021-04-29,44.0,44.0,1
2021-04-30,27.0,27.0,1
2021-05-01,20.0,20.0,1
2021-05-02,29.0,29.0,1
2021-05-03,17.0,17.0,1
2021-05-04,58.0,58.0,1
2021-05-05,25.0,25.0,1
2021-05-06,79.0,79.0,1
2021-05-07,100.0,100.0,1
2021-05-08,60.0,60.0,1
2021-05-09,11.0,11.0,1
2021-05-10,70.0,70.0,1
2021-05-11,69.0,69.0,1
2021-05-12,63.0,63.0,1
2021-05-13,19.0,19.0,1
2021-05-14,77.0,77.0,1
