date,/m/053wzw_0,/m/053wzw,batch_id
2021-02-01,28.0,28.0,1
2021-02-02,56.0,56.0,1
2021-02-03,28.0,28.0,1
2021-02-04,44.0,44.0,1
2021-02-05,88.0,88.0,1
2021-02-06,31.0,31.0,1
2021-02-07,31.0,31.0,1
2021-02-08,28.0,28.0,1
2021-02-09,43.0,43.0,1
2021-02-10,0.0,0.0,1
2021-02-11,15.0,15.0,1
2021-02-12,0.0,0.0,1
2021-02-13,49.0,49.0,1
2021-02-14,50.0,50.0,1
2021-02-15,28.0,28.0,1
2021-02-16,59.0,59.0,1
2021-02-17,0.0,0.0,1
2021-02-18,15.0,15.0,1
2021-02-19,46.0,46.0,1
2021-02-20,70.0,70.0,1
2021-02-21,0.0,0.0,1
2021-02-22,27.0,27.0,1
2021-02-23,45.0,45.0,1
2021-02-24,15.0,15.0,1
2021-02-25,0.0,0.0,1
2021-02-26,15.0,15.0,1
2021-02-27,17.0,17.0,1
2021-02-28,0.0,0.0,1
2021-03-01,14.0,14.0,1
2021-03-02,15.0,15.0,1
2021-03-03,30.0,30.0,1
2021-03-04,0.0,0.0,1
2021-03-05,45.0,45.0,1
2021-03-06,100.0,100.0,1
2021-03-07,96.0,96.0,1
2021-03-08,29.0,29.0,1
2021-03-09,28.0,28.0,1
2021-03-10,14.0,14.0,1
2021-03-11,43.0,43.0,1
2021-03-12,15.0,15.0,1
2021-03-13,15.0,15.0,1
2021-03-14,76.0,76.0,1
2021-03-15,0.0,0.0,1
2021-03-16,50.0,50.0,1
2021-03-17,29.0,29.0,1
2021-03-18,29.0,29.0,1
2021-03-19,0.0,0.0,1
2021-03-20,17.0,17.0,1
2021-03-21,16.0,16.0,1
2021-03-22,43.0,43.0,1
2021-03-23,29.0,29.0,1
2021-03-24,14.0,14.0,1
2021-03-25,44.0,44.0,1
2021-03-26,30.0,30.0,1
2021-03-27,48.0,48.0,1
2021-03-28,34.0,34.0,1
2021-03-29,15.0,15.0,1
2021-03-30,31.0,31.0,1
2021-03-31,48.0,48.0,1
2021-04-01,15.0,15.0,1
2021-04-02,31.0,31.0,1
2021-04-03,34.0,34.0,1
2021-04-04,34.0,34.0,1
2021-04-05,15.0,15.0,1
2021-04-06,14.0,14.0,1
2021-04-07,71.0,71.0,1
2021-04-08,15.0,15.0,1
2021-04-09,45.0,45.0,1
2021-04-10,60.0,60.0,1
2021-04-11,31.0,31.0,1
2021-04-12,28.0,28.0,1
2021-04-13,0.0,0.0,1
2021-04-14,14.0,14.0,1
2021-04-15,15.0,15.0,1
2021-04-16,77.0,77.0,1
2021-04-17,0.0,0.0,1
2021-04-18,17.0,17.0,1
2021-04-19,0.0,0.0,1
2021-04-20,0.0,0.0,1
2021-04-21,0.0,0.0,1
2021-04-22,30.0,30.0,1
2021-04-23,47.0,47.0,1
2021-04-24,35.0,35.0,1
2021-04-25,17.0,17.0,1
2021-04-26,29.0,29.0,1
2021-04-27,0.0,0.0,1
2021-04-28,15.0,15.0,1
2021-04-29,14.0,14.0,1
2021-04-30,29.0,29.0,1
2021-05-01,16.0,16.0,1
2021-05-02,63.0,63.0,1
2021-05-03,0.0,0.0,1
2021-05-04,54.0,54.0,1
2021-05-05,14.0,14.0,1
2021-05-06,14.0,14.0,1
2021-05-07,15.0,15.0,1
2021-05-08,0.0,0.0,1
2021-05-09,52.0,52.0,1
2021-05-10,14.0,14.0,1
2021-05-11,14.0,14.0,1
2021-05-12,15.0,15.0,1
2021-05-13,15.0,15.0,1
2021-05-14,0.0,0.0,1
