date,/m/05vqh7_0,/m/05vqh7,batch_id
2021-02-01,86.0,86.0,1
2021-02-02,70.0,70.0,1
2021-02-03,61.0,61.0,1
2021-02-04,71.0,71.0,1
2021-02-05,97.0,97.0,1
2021-02-06,70.0,70.0,1
2021-02-07,76.0,76.0,1
2021-02-08,62.0,62.0,1
2021-02-09,72.0,72.0,1
2021-02-10,84.0,84.0,1
2021-02-11,60.0,60.0,1
2021-02-12,95.0,95.0,1
2021-02-13,78.0,78.0,1
2021-02-14,78.0,78.0,1
2021-02-15,74.0,74.0,1
2021-02-16,72.0,72.0,1
2021-02-17,79.0,79.0,1
2021-02-18,76.0,76.0,1
2021-02-19,78.0,78.0,1
2021-02-20,100.0,100.0,1
2021-02-21,89.0,89.0,1
2021-02-22,80.0,80.0,1
2021-02-23,85.0,85.0,1
2021-02-24,59.0,59.0,1
2021-02-25,67.0,67.0,1
2021-02-26,84.0,84.0,1
2021-02-27,76.0,76.0,1
2021-02-28,90.0,90.0,1
2021-03-01,86.0,86.0,1
2021-03-02,98.0,98.0,1
2021-03-03,100.0,100.0,1
2021-03-04,98.0,98.0,1
2021-03-05,58.0,58.0,1
2021-03-06,71.0,71.0,1
2021-03-07,91.0,91.0,1
2021-03-08,75.0,75.0,1
2021-03-09,71.0,71.0,1
2021-03-10,72.0,72.0,1
2021-03-11,80.0,80.0,1
2021-03-12,86.0,86.0,1
2021-03-13,73.0,73.0,1
2021-03-14,91.0,91.0,1
2021-03-15,67.0,67.0,1
2021-03-16,79.0,79.0,1
2021-03-17,83.0,83.0,1
2021-03-18,83.0,83.0,1
2021-03-19,79.0,79.0,1
2021-03-20,80.0,80.0,1
2021-03-21,78.0,78.0,1
2021-03-22,67.0,67.0,1
2021-03-23,87.0,87.0,1
2021-03-24,69.0,69.0,1
2021-03-25,65.0,65.0,1
2021-03-26,73.0,73.0,1
2021-03-27,72.0,72.0,1
2021-03-28,98.0,98.0,1
2021-03-29,68.0,68.0,1
2021-03-30,78.0,78.0,1
2021-03-31,87.0,87.0,1
2021-04-01,90.0,90.0,1
2021-04-02,80.0,80.0,1
2021-04-03,81.0,81.0,1
2021-04-04,79.0,79.0,1
2021-04-05,71.0,71.0,1
2021-04-06,65.0,65.0,1
2021-04-07,75.0,75.0,1
2021-04-08,77.0,77.0,1
2021-04-09,61.0,61.0,1
2021-04-10,75.0,75.0,1
2021-04-11,81.0,81.0,1
2021-04-12,81.0,81.0,1
2021-04-13,79.0,79.0,1
2021-04-14,80.0,80.0,1
2021-04-15,67.0,67.0,1
2021-04-16,78.0,78.0,1
2021-04-17,81.0,81.0,1
2021-04-18,69.0,69.0,1
2021-04-19,76.0,76.0,1
2021-04-20,77.0,77.0,1
2021-04-21,83.0,83.0,1
2021-04-22,78.0,78.0,1
2021-04-23,72.0,72.0,1
2021-04-24,85.0,85.0,1
2021-04-25,65.0,65.0,1
2021-04-26,88.0,88.0,1
2021-04-27,79.0,79.0,1
2021-04-28,82.0,82.0,1
2021-04-29,81.0,81.0,1
2021-04-30,70.0,70.0,1
2021-05-01,65.0,65.0,1
2021-05-02,67.0,67.0,1
2021-05-03,80.0,80.0,1
2021-05-04,82.0,82.0,1
2021-05-05,58.0,58.0,1
2021-05-06,63.0,63.0,1
2021-05-07,86.0,86.0,1
2021-05-08,66.0,66.0,1
2021-05-09,91.0,91.0,1
2021-05-10,92.0,92.0,1
2021-05-11,87.0,87.0,1
2021-05-12,65.0,65.0,1
2021-05-13,70.0,70.0,1
2021-05-14,44.0,44.0,1
