date,/m/03y5th_0,/m/03y5th,batch_id
2021-02-01,94.0,94.0,1
2021-02-02,82.0,82.0,1
2021-02-03,98.0,98.0,1
2021-02-04,64.0,64.0,1
2021-02-05,74.0,74.0,1
2021-02-06,19.0,19.0,1
2021-02-07,17.0,17.0,1
2021-02-08,81.0,81.0,1
2021-02-09,100.0,100.0,1
2021-02-10,65.0,65.0,1
2021-02-11,71.0,71.0,1
2021-02-12,86.0,86.0,1
2021-02-13,34.0,34.0,1
2021-02-14,25.0,25.0,1
2021-02-15,61.0,61.0,1
2021-02-16,79.0,79.0,1
2021-02-17,82.0,82.0,1
2021-02-18,71.0,71.0,1
2021-02-19,84.0,84.0,1
2021-02-20,26.0,26.0,1
2021-02-21,22.0,22.0,1
2021-02-22,73.0,73.0,1
2021-02-23,57.0,57.0,1
2021-02-24,61.0,61.0,1
2021-02-25,79.0,79.0,1
2021-02-26,77.0,77.0,1
2021-02-27,20.0,20.0,1
2021-02-28,22.0,22.0,1
2021-03-01,57.0,57.0,1
2021-03-02,71.0,71.0,1
2021-03-03,91.0,91.0,1
2021-03-04,77.0,77.0,1
2021-03-05,66.0,66.0,1
2021-03-06,29.0,29.0,1
2021-03-07,4.0,4.0,1
2021-03-08,79.0,79.0,1
2021-03-09,75.0,75.0,1
2021-03-10,77.0,77.0,1
2021-03-11,77.0,77.0,1
2021-03-12,89.0,89.0,1
2021-03-13,19.0,19.0,1
2021-03-14,19.0,19.0,1
2021-03-15,67.0,67.0,1
2021-03-16,69.0,69.0,1
2021-03-17,82.0,82.0,1
2021-03-18,67.0,67.0,1
2021-03-19,83.0,83.0,1
2021-03-20,23.0,23.0,1
2021-03-21,32.0,32.0,1
2021-03-22,92.0,92.0,1
2021-03-23,73.0,73.0,1
2021-03-24,66.0,66.0,1
2021-03-25,79.0,79.0,1
2021-03-26,66.0,66.0,1
2021-03-27,37.0,37.0,1
2021-03-28,12.0,12.0,1
2021-03-29,68.0,68.0,1
2021-03-30,89.0,89.0,1
2021-03-31,53.0,53.0,1
2021-04-01,98.0,98.0,1
2021-04-02,40.0,40.0,1
2021-04-03,27.0,27.0,1
2021-04-04,14.0,14.0,1
2021-04-05,37.0,37.0,1
2021-04-06,89.0,89.0,1
2021-04-07,60.0,60.0,1
2021-04-08,74.0,74.0,1
2021-04-09,69.0,69.0,1
2021-04-10,10.0,10.0,1
2021-04-11,32.0,32.0,1
2021-04-12,76.0,76.0,1
2021-04-13,73.0,73.0,1
2021-04-14,77.0,77.0,1
2021-04-15,82.0,82.0,1
2021-04-16,61.0,61.0,1
2021-04-17,23.0,23.0,1
2021-04-18,11.0,11.0,1
2021-04-19,75.0,75.0,1
2021-04-20,71.0,71.0,1
2021-04-21,67.0,67.0,1
2021-04-22,67.0,67.0,1
2021-04-23,83.0,83.0,1
2021-04-24,19.0,19.0,1
2021-04-25,20.0,20.0,1
2021-04-26,69.0,69.0,1
2021-04-27,69.0,69.0,1
2021-04-28,54.0,54.0,1
2021-04-29,72.0,72.0,1
2021-04-30,75.0,75.0,1
2021-05-01,20.0,20.0,1
2021-05-02,9.0,9.0,1
2021-05-03,71.0,71.0,1
2021-05-04,77.0,77.0,1
2021-05-05,58.0,58.0,1
2021-05-06,95.0,95.0,1
2021-05-07,62.0,62.0,1
2021-05-08,26.0,26.0,1
2021-05-09,21.0,21.0,1
2021-05-10,74.0,74.0,1
2021-05-11,76.0,76.0,1
2021-05-12,65.0,65.0,1
2021-05-13,46.0,46.0,1
2021-05-14,64.0,64.0,1
