date,/m/08fcpd_0,/m/08fcpd,batch_id
2021-02-01,14.0,14.0,1
2021-02-02,54.0,54.0,1
2021-02-03,0.0,0.0,1
2021-02-04,0.0,0.0,1
2021-02-05,14.0,14.0,1
2021-02-06,15.0,15.0,1
2021-02-07,15.0,15.0,1
2021-02-08,0.0,0.0,1
2021-02-09,0.0,0.0,1
2021-02-10,0.0,0.0,1
2021-02-11,0.0,0.0,1
2021-02-12,14.0,14.0,1
2021-02-13,0.0,0.0,1
2021-02-14,0.0,0.0,1
2021-02-15,41.0,41.0,1
2021-02-16,14.0,14.0,1
2021-02-17,0.0,0.0,1
2021-02-18,42.0,42.0,1
2021-02-19,45.0,45.0,1
2021-02-20,17.0,17.0,1
2021-02-21,0.0,0.0,1
2021-02-22,40.0,40.0,1
2021-02-23,43.0,43.0,1
2021-02-24,58.0,58.0,1
2021-02-25,29.0,29.0,1
2021-02-26,43.0,43.0,1
2021-02-27,64.0,64.0,1
2021-02-28,31.0,31.0,1
2021-03-01,28.0,28.0,1
2021-03-02,29.0,29.0,1
2021-03-03,43.0,43.0,1
2021-03-04,54.0,54.0,1
2021-03-05,15.0,15.0,1
2021-03-06,0.0,0.0,1
2021-03-07,15.0,15.0,1
2021-03-08,56.0,56.0,1
2021-03-09,14.0,14.0,1
2021-03-10,28.0,28.0,1
2021-03-11,14.0,14.0,1
2021-03-12,43.0,43.0,1
2021-03-13,60.0,60.0,1
2021-03-14,0.0,0.0,1
2021-03-15,33.0,33.0,1
2021-03-16,96.0,96.0,1
2021-03-17,41.0,41.0,1
2021-03-18,42.0,42.0,1
2021-03-19,88.0,88.0,1
2021-03-20,33.0,33.0,1
2021-03-21,76.0,76.0,1
2021-03-22,42.0,42.0,1
2021-03-23,28.0,28.0,1
2021-03-24,55.0,55.0,1
2021-03-25,57.0,57.0,1
2021-03-26,88.0,88.0,1
2021-03-27,31.0,31.0,1
2021-03-28,82.0,82.0,1
2021-03-29,44.0,44.0,1
2021-03-30,15.0,15.0,1
2021-03-31,47.0,47.0,1
2021-04-01,59.0,59.0,1
2021-04-02,45.0,45.0,1
2021-04-03,81.0,81.0,1
2021-04-04,33.0,33.0,1
2021-04-05,14.0,14.0,1
2021-04-06,53.0,53.0,1
2021-04-07,0.0,0.0,1
2021-04-08,42.0,42.0,1
2021-04-09,14.0,14.0,1
2021-04-10,29.0,29.0,1
2021-04-11,45.0,45.0,1
2021-04-12,27.0,27.0,1
2021-04-13,29.0,29.0,1
2021-04-14,28.0,28.0,1
2021-04-15,14.0,14.0,1
2021-04-16,30.0,30.0,1
2021-04-17,32.0,32.0,1
2021-04-18,49.0,49.0,1
2021-04-19,55.0,55.0,1
2021-04-20,14.0,14.0,1
2021-04-21,71.0,71.0,1
2021-04-22,29.0,29.0,1
2021-04-23,0.0,0.0,1
2021-04-24,0.0,0.0,1
2021-04-25,16.0,16.0,1
2021-04-26,28.0,28.0,1
2021-04-27,14.0,14.0,1
2021-04-28,43.0,43.0,1
2021-04-29,14.0,14.0,1
2021-04-30,42.0,42.0,1
2021-05-01,31.0,31.0,1
2021-05-02,15.0,15.0,1
2021-05-03,14.0,14.0,1
2021-05-04,26.0,26.0,1
2021-05-05,66.0,66.0,1
2021-05-06,41.0,41.0,1
2021-05-07,29.0,29.0,1
2021-05-08,0.0,0.0,1
2021-05-09,100.0,100.0,1
2021-05-10,41.0,41.0,1
2021-05-11,13.0,13.0,1
2021-05-12,14.0,14.0,1
2021-05-13,59.0,59.0,1
2021-05-14,75.0,75.0,1
