date,/m/02hx53_0,/m/02hx53,batch_id
2021-02-01,41.0,41.0,1
2021-02-02,27.0,27.0,1
2021-02-03,48.0,48.0,1
2021-02-04,22.0,22.0,1
2021-02-05,28.0,28.0,1
2021-02-06,53.0,53.0,1
2021-02-07,30.0,30.0,1
2021-02-08,27.0,27.0,1
2021-02-09,35.0,35.0,1
2021-02-10,48.0,48.0,1
2021-02-11,21.0,21.0,1
2021-02-12,22.0,22.0,1
2021-02-13,40.0,40.0,1
2021-02-14,16.0,16.0,1
2021-02-15,41.0,41.0,1
2021-02-16,14.0,14.0,1
2021-02-17,43.0,43.0,1
2021-02-18,35.0,35.0,1
2021-02-19,7.0,7.0,1
2021-02-20,43.0,43.0,1
2021-02-21,17.0,17.0,1
2021-02-22,33.0,33.0,1
2021-02-23,43.0,43.0,1
2021-02-24,44.0,44.0,1
2021-02-25,29.0,29.0,1
2021-02-26,51.0,51.0,1
2021-02-27,81.0,81.0,1
2021-02-28,47.0,47.0,1
2021-03-01,49.0,49.0,1
2021-03-02,14.0,14.0,1
2021-03-03,22.0,22.0,1
2021-03-04,21.0,21.0,1
2021-03-05,52.0,52.0,1
2021-03-06,41.0,41.0,1
2021-03-07,47.0,47.0,1
2021-03-08,42.0,42.0,1
2021-03-09,21.0,21.0,1
2021-03-10,28.0,28.0,1
2021-03-11,21.0,21.0,1
2021-03-12,36.0,36.0,1
2021-03-13,23.0,23.0,1
2021-03-14,59.0,59.0,1
2021-03-15,27.0,27.0,1
2021-03-16,18.0,18.0,1
2021-03-17,21.0,21.0,1
2021-03-18,7.0,7.0,1
2021-03-19,44.0,44.0,1
2021-03-20,74.0,74.0,1
2021-03-21,100.0,100.0,1
2021-03-22,42.0,42.0,1
2021-03-23,49.0,49.0,1
2021-03-24,21.0,21.0,1
2021-03-25,29.0,29.0,1
2021-03-26,30.0,30.0,1
2021-03-27,31.0,31.0,1
2021-03-28,33.0,33.0,1
2021-03-29,22.0,22.0,1
2021-03-30,31.0,31.0,1
2021-03-31,31.0,31.0,1
2021-04-01,15.0,15.0,1
2021-04-02,38.0,38.0,1
2021-04-03,41.0,41.0,1
2021-04-04,50.0,50.0,1
2021-04-05,29.0,29.0,1
2021-04-06,40.0,40.0,1
2021-04-07,55.0,55.0,1
2021-04-08,50.0,50.0,1
2021-04-09,15.0,15.0,1
2021-04-10,22.0,22.0,1
2021-04-11,15.0,15.0,1
2021-04-12,41.0,41.0,1
2021-04-13,51.0,51.0,1
2021-04-14,35.0,35.0,1
2021-04-15,57.0,57.0,1
2021-04-16,7.0,7.0,1
2021-04-17,25.0,25.0,1
2021-04-18,41.0,41.0,1
2021-04-19,28.0,28.0,1
2021-04-20,14.0,14.0,1
2021-04-21,22.0,22.0,1
2021-04-22,37.0,37.0,1
2021-04-23,8.0,8.0,1
2021-04-24,34.0,34.0,1
2021-04-25,40.0,40.0,1
2021-04-26,14.0,14.0,1
2021-04-27,22.0,22.0,1
2021-04-28,22.0,22.0,1
2021-04-29,7.0,7.0,1
2021-04-30,21.0,21.0,1
2021-05-01,23.0,23.0,1
2021-05-02,39.0,39.0,1
2021-05-03,48.0,48.0,1
2021-05-04,20.0,20.0,1
2021-05-05,27.0,27.0,1
2021-05-06,14.0,14.0,1
2021-05-07,29.0,29.0,1
2021-05-08,31.0,31.0,1
2021-05-09,17.0,17.0,1
2021-05-10,35.0,35.0,1
2021-05-11,27.0,27.0,1
2021-05-12,14.0,14.0,1
2021-05-13,60.0,60.0,1
2021-05-14,68.0,68.0,1
