date,/m/02q3wl_0,/m/02q3wl,batch_id
2021-02-01,54.0,54.0,1
2021-02-02,39.0,39.0,1
2021-02-03,100.0,100.0,1
2021-02-04,73.0,73.0,1
2021-02-05,56.0,56.0,1
2021-02-06,25.0,25.0,1
2021-02-07,34.0,34.0,1
2021-02-08,54.0,54.0,1
2021-02-09,47.0,47.0,1
2021-02-10,93.0,93.0,1
2021-02-11,56.0,56.0,1
2021-02-12,24.0,24.0,1
2021-02-13,9.0,9.0,1
2021-02-14,18.0,18.0,1
2021-02-15,77.0,77.0,1
2021-02-16,24.0,24.0,1
2021-02-17,40.0,40.0,1
2021-02-18,64.0,64.0,1
2021-02-19,25.0,25.0,1
2021-02-20,48.0,48.0,1
2021-02-21,29.0,29.0,1
2021-02-22,75.0,75.0,1
2021-02-23,49.0,49.0,1
2021-02-24,49.0,49.0,1
2021-02-25,33.0,33.0,1
2021-02-26,33.0,33.0,1
2021-02-27,45.0,45.0,1
2021-02-28,96.0,96.0,1
2021-03-01,47.0,47.0,1
2021-03-02,81.0,81.0,1
2021-03-03,33.0,33.0,1
2021-03-04,15.0,15.0,1
2021-03-05,74.0,74.0,1
2021-03-06,64.0,64.0,1
2021-03-07,9.0,9.0,1
2021-03-08,71.0,71.0,1
2021-03-09,62.0,62.0,1
2021-03-10,63.0,63.0,1
2021-03-11,32.0,32.0,1
2021-03-12,32.0,32.0,1
2021-03-13,8.0,8.0,1
2021-03-14,58.0,58.0,1
2021-03-15,62.0,62.0,1
2021-03-16,88.0,88.0,1
2021-03-17,63.0,63.0,1
2021-03-18,48.0,48.0,1
2021-03-19,50.0,50.0,1
2021-03-20,28.0,28.0,1
2021-03-21,17.0,17.0,1
2021-03-22,16.0,16.0,1
2021-03-23,71.0,71.0,1
2021-03-24,47.0,47.0,1
2021-03-25,41.0,41.0,1
2021-03-26,42.0,42.0,1
2021-03-27,35.0,35.0,1
2021-03-28,56.0,56.0,1
2021-03-29,41.0,41.0,1
2021-03-30,77.0,77.0,1
2021-03-31,62.0,62.0,1
2021-04-01,42.0,42.0,1
2021-04-02,43.0,43.0,1
2021-04-03,18.0,18.0,1
2021-04-04,28.0,28.0,1
2021-04-05,41.0,41.0,1
2021-04-06,45.0,45.0,1
2021-04-07,16.0,16.0,1
2021-04-08,16.0,16.0,1
2021-04-09,41.0,41.0,1
2021-04-10,16.0,16.0,1
2021-04-11,17.0,17.0,1
2021-04-12,23.0,23.0,1
2021-04-13,49.0,49.0,1
2021-04-14,32.0,32.0,1
2021-04-15,24.0,24.0,1
2021-04-16,51.0,51.0,1
2021-04-17,37.0,37.0,1
2021-04-18,83.0,83.0,1
2021-04-19,8.0,8.0,1
2021-04-20,40.0,40.0,1
2021-04-21,57.0,57.0,1
2021-04-22,41.0,41.0,1
2021-04-23,17.0,17.0,1
2021-04-24,47.0,47.0,1
2021-04-25,27.0,27.0,1
2021-04-26,8.0,8.0,1
2021-04-27,57.0,57.0,1
2021-04-28,73.0,73.0,1
2021-04-29,31.0,31.0,1
2021-04-30,24.0,24.0,1
2021-05-01,9.0,9.0,1
2021-05-02,9.0,9.0,1
2021-05-03,23.0,23.0,1
2021-05-04,15.0,15.0,1
2021-05-05,68.0,68.0,1
2021-05-06,47.0,47.0,1
2021-05-07,73.0,73.0,1
2021-05-08,18.0,18.0,1
2021-05-09,28.0,28.0,1
2021-05-10,47.0,47.0,1
2021-05-11,38.0,38.0,1
2021-05-12,24.0,24.0,1
2021-05-13,67.0,67.0,1
2021-05-14,34.0,34.0,1
