date,/m/0dr90d_0,/m/0dr90d,batch_id
2021-02-01,69.0,69.0,1
2021-02-02,52.0,52.0,1
2021-02-03,39.0,39.0,1
2021-02-04,55.0,55.0,1
2021-02-05,27.0,27.0,1
2021-02-06,39.0,39.0,1
2021-02-07,27.0,27.0,1
2021-02-08,79.0,79.0,1
2021-02-09,69.0,69.0,1
2021-02-10,64.0,64.0,1
2021-02-11,44.0,44.0,1
2021-02-12,63.0,63.0,1
2021-02-13,46.0,46.0,1
2021-02-14,31.0,31.0,1
2021-02-15,21.0,21.0,1
2021-02-16,59.0,59.0,1
2021-02-17,64.0,64.0,1
2021-02-18,68.0,68.0,1
2021-02-19,51.0,51.0,1
2021-02-20,28.0,28.0,1
2021-02-21,35.0,35.0,1
2021-02-22,38.0,38.0,1
2021-02-23,75.0,75.0,1
2021-02-24,42.0,42.0,1
2021-02-25,55.0,55.0,1
2021-02-26,51.0,51.0,1
2021-02-27,44.0,44.0,1
2021-02-28,30.0,30.0,1
2021-03-01,42.0,42.0,1
2021-03-02,57.0,57.0,1
2021-03-03,66.0,66.0,1
2021-03-04,56.0,56.0,1
2021-03-05,66.0,66.0,1
2021-03-06,51.0,51.0,1
2021-03-07,21.0,21.0,1
2021-03-08,40.0,40.0,1
2021-03-09,70.0,70.0,1
2021-03-10,100.0,100.0,1
2021-03-11,46.0,46.0,1
2021-03-12,32.0,32.0,1
2021-03-13,33.0,33.0,1
2021-03-14,30.0,30.0,1
2021-03-15,46.0,46.0,1
2021-03-16,43.0,43.0,1
2021-03-17,40.0,40.0,1
2021-03-18,60.0,60.0,1
2021-03-19,61.0,61.0,1
2021-03-20,34.0,34.0,1
2021-03-21,44.0,44.0,1
2021-03-22,65.0,65.0,1
2021-03-23,44.0,44.0,1
2021-03-24,57.0,57.0,1
2021-03-25,47.0,47.0,1
2021-03-26,51.0,51.0,1
2021-03-27,30.0,30.0,1
2021-03-28,45.0,45.0,1
2021-03-29,42.0,42.0,1
2021-03-30,29.0,29.0,1
2021-03-31,43.0,43.0,1
2021-04-01,45.0,45.0,1
2021-04-02,25.0,25.0,1
2021-04-03,22.0,22.0,1
2021-04-04,32.0,32.0,1
2021-04-05,44.0,44.0,1
2021-04-06,44.0,44.0,1
2021-04-07,28.0,28.0,1
2021-04-08,25.0,25.0,1
2021-04-09,42.0,42.0,1
2021-04-10,38.0,38.0,1
2021-04-11,35.0,35.0,1
2021-04-12,50.0,50.0,1
2021-04-13,55.0,55.0,1
2021-04-14,37.0,37.0,1
2021-04-15,24.0,24.0,1
2021-04-16,33.0,33.0,1
2021-04-17,27.0,27.0,1
2021-04-18,16.0,16.0,1
2021-04-19,49.0,49.0,1
2021-04-20,37.0,37.0,1
2021-04-21,30.0,30.0,1
2021-04-22,30.0,30.0,1
2021-04-23,29.0,29.0,1
2021-04-24,48.0,48.0,1
2021-04-25,18.0,18.0,1
2021-04-26,52.0,52.0,1
2021-04-27,44.0,44.0,1
2021-04-28,31.0,31.0,1
2021-04-29,36.0,36.0,1
2021-04-30,27.0,27.0,1
2021-05-01,26.0,26.0,1
2021-05-02,15.0,15.0,1
2021-05-03,21.0,21.0,1
2021-05-04,39.0,39.0,1
2021-05-05,40.0,40.0,1
2021-05-06,44.0,44.0,1
2021-05-07,29.0,29.0,1
2021-05-08,24.0,24.0,1
2021-05-09,23.0,23.0,1
2021-05-10,34.0,34.0,1
2021-05-11,44.0,44.0,1
2021-05-12,37.0,37.0,1
2021-05-13,43.0,43.0,1
2021-05-14,46.0,46.0,1
