date,/m/07gr__0,/m/07gr_,batch_id
2021-02-01,33.0,33.0,1
2021-02-02,28.0,28.0,1
2021-02-03,38.0,38.0,1
2021-02-04,38.0,38.0,1
2021-02-05,36.0,36.0,1
2021-02-06,62.0,62.0,1
2021-02-07,86.0,86.0,1
2021-02-08,87.0,87.0,1
2021-02-09,78.0,78.0,1
2021-02-10,100.0,100.0,1
2021-02-11,45.0,45.0,1
2021-02-12,82.0,82.0,1
2021-02-13,94.0,94.0,1
2021-02-14,72.0,72.0,1
2021-02-15,45.0,45.0,1
2021-02-16,44.0,44.0,1
2021-02-17,52.0,52.0,1
2021-02-18,76.0,76.0,1
2021-02-19,60.0,60.0,1
2021-02-20,76.0,76.0,1
2021-02-21,60.0,60.0,1
2021-02-22,42.0,42.0,1
2021-02-23,35.0,35.0,1
2021-02-24,48.0,48.0,1
2021-02-25,74.0,74.0,1
2021-02-26,40.0,40.0,1
2021-02-27,39.0,39.0,1
2021-02-28,42.0,42.0,1
2021-03-01,58.0,58.0,1
2021-03-02,39.0,39.0,1
2021-03-03,44.0,44.0,1
2021-03-04,42.0,42.0,1
2021-03-05,48.0,48.0,1
2021-03-06,35.0,35.0,1
2021-03-07,45.0,45.0,1
2021-03-08,38.0,38.0,1
2021-03-09,37.0,37.0,1
2021-03-10,48.0,48.0,1
2021-03-11,43.0,43.0,1
2021-03-12,38.0,38.0,1
2021-03-13,68.0,68.0,1
2021-03-14,52.0,52.0,1
2021-03-15,44.0,44.0,1
2021-03-16,35.0,35.0,1
2021-03-17,44.0,44.0,1
2021-03-18,27.0,27.0,1
2021-03-19,47.0,47.0,1
2021-03-20,64.0,64.0,1
2021-03-21,54.0,54.0,1
2021-03-22,68.0,68.0,1
2021-03-23,39.0,39.0,1
2021-03-24,22.0,22.0,1
2021-03-25,37.0,37.0,1
2021-03-26,40.0,40.0,1
2021-03-27,34.0,34.0,1
2021-03-28,38.0,38.0,1
2021-03-29,43.0,43.0,1
2021-03-30,43.0,43.0,1
2021-03-31,57.0,57.0,1
2021-04-01,65.0,65.0,1
2021-04-02,59.0,59.0,1
2021-04-03,62.0,62.0,1
2021-04-04,40.0,40.0,1
2021-04-05,60.0,60.0,1
2021-04-06,44.0,44.0,1
2021-04-07,50.0,50.0,1
2021-04-08,28.0,28.0,1
2021-04-09,39.0,39.0,1
2021-04-10,48.0,48.0,1
2021-04-11,59.0,59.0,1
2021-04-12,41.0,41.0,1
2021-04-13,42.0,42.0,1
2021-04-14,48.0,48.0,1
2021-04-15,35.0,35.0,1
2021-04-16,42.0,42.0,1
2021-04-17,72.0,72.0,1
2021-04-18,50.0,50.0,1
2021-04-19,45.0,45.0,1
2021-04-20,33.0,33.0,1
2021-04-21,51.0,51.0,1
2021-04-22,51.0,51.0,1
2021-04-23,44.0,44.0,1
2021-04-24,70.0,70.0,1
2021-04-25,53.0,53.0,1
2021-04-26,37.0,37.0,1
2021-04-27,49.0,49.0,1
2021-04-28,30.0,30.0,1
2021-04-29,29.0,29.0,1
2021-04-30,51.0,51.0,1
2021-05-01,49.0,49.0,1
2021-05-02,41.0,41.0,1
2021-05-03,33.0,33.0,1
2021-05-04,41.0,41.0,1
2021-05-05,37.0,37.0,1
2021-05-06,59.0,59.0,1
2021-05-07,59.0,59.0,1
2021-05-08,51.0,51.0,1
2021-05-09,78.0,78.0,1
2021-05-10,45.0,45.0,1
2021-05-11,56.0,56.0,1
2021-05-12,45.0,45.0,1
2021-05-13,43.0,43.0,1
2021-05-14,59.0,59.0,1
