date,/m/07v3r_0,/m/07v3r,batch_id
2021-02-01,19.0,19.0,1
2021-02-02,38.0,38.0,1
2021-02-03,29.0,29.0,1
2021-02-04,100.0,100.0,1
2021-02-05,40.0,40.0,1
2021-02-06,21.0,21.0,1
2021-02-07,21.0,21.0,1
2021-02-08,57.0,57.0,1
2021-02-09,0.0,0.0,1
2021-02-10,10.0,10.0,1
2021-02-11,49.0,49.0,1
2021-02-12,40.0,40.0,1
2021-02-13,67.0,67.0,1
2021-02-14,45.0,45.0,1
2021-02-15,29.0,29.0,1
2021-02-16,10.0,10.0,1
2021-02-17,20.0,20.0,1
2021-02-18,59.0,59.0,1
2021-02-19,73.0,73.0,1
2021-02-20,24.0,24.0,1
2021-02-21,36.0,36.0,1
2021-02-22,37.0,37.0,1
2021-02-23,30.0,30.0,1
2021-02-24,0.0,0.0,1
2021-02-25,30.0,30.0,1
2021-02-26,50.0,50.0,1
2021-02-27,34.0,34.0,1
2021-02-28,33.0,33.0,1
2021-03-01,19.0,19.0,1
2021-03-02,10.0,10.0,1
2021-03-03,40.0,40.0,1
2021-03-04,57.0,57.0,1
2021-03-05,10.0,10.0,1
2021-03-06,45.0,45.0,1
2021-03-07,33.0,33.0,1
2021-03-08,98.0,98.0,1
2021-03-09,48.0,48.0,1
2021-03-10,59.0,59.0,1
2021-03-11,39.0,39.0,1
2021-03-12,50.0,50.0,1
2021-03-13,42.0,42.0,1
2021-03-14,62.0,62.0,1
2021-03-15,46.0,46.0,1
2021-03-16,25.0,25.0,1
2021-03-17,49.0,49.0,1
2021-03-18,29.0,29.0,1
2021-03-19,10.0,10.0,1
2021-03-20,57.0,57.0,1
2021-03-21,0.0,0.0,1
2021-03-22,68.0,68.0,1
2021-03-23,39.0,39.0,1
2021-03-24,49.0,49.0,1
2021-03-25,30.0,30.0,1
2021-03-26,72.0,72.0,1
2021-03-27,43.0,43.0,1
2021-03-28,35.0,35.0,1
2021-03-29,41.0,41.0,1
2021-03-30,32.0,32.0,1
2021-03-31,22.0,22.0,1
2021-04-01,21.0,21.0,1
2021-04-02,63.0,63.0,1
2021-04-03,34.0,34.0,1
2021-04-04,46.0,46.0,1
2021-04-05,30.0,30.0,1
2021-04-06,37.0,37.0,1
2021-04-07,29.0,29.0,1
2021-04-08,40.0,40.0,1
2021-04-09,61.0,61.0,1
2021-04-10,61.0,61.0,1
2021-04-11,32.0,32.0,1
2021-04-12,19.0,19.0,1
2021-04-13,10.0,10.0,1
2021-04-14,49.0,49.0,1
2021-04-15,10.0,10.0,1
2021-04-16,63.0,63.0,1
2021-04-17,46.0,46.0,1
2021-04-18,23.0,23.0,1
2021-04-19,86.0,86.0,1
2021-04-20,49.0,49.0,1
2021-04-21,70.0,70.0,1
2021-04-22,61.0,61.0,1
2021-04-23,42.0,42.0,1
2021-04-24,23.0,23.0,1
2021-04-25,11.0,11.0,1
2021-04-26,29.0,29.0,1
2021-04-27,30.0,30.0,1
2021-04-28,50.0,50.0,1
2021-04-29,67.0,67.0,1
2021-04-30,29.0,29.0,1
2021-05-01,76.0,76.0,1
2021-05-02,22.0,22.0,1
2021-05-03,38.0,38.0,1
2021-05-04,0.0,0.0,1
2021-05-05,47.0,47.0,1
2021-05-06,29.0,29.0,1
2021-05-07,20.0,20.0,1
2021-05-08,33.0,33.0,1
2021-05-09,35.0,35.0,1
2021-05-10,29.0,29.0,1
2021-05-11,19.0,19.0,1
2021-05-12,30.0,30.0,1
2021-05-13,31.0,31.0,1
2021-05-14,21.0,21.0,1
