date,/m/01j6t0_0,/m/01j6t0,batch_id
2021-02-01,44.0,44.0,1
2021-02-02,44.0,44.0,1
2021-02-03,38.0,38.0,1
2021-02-04,35.0,35.0,1
2021-02-05,28.0,28.0,1
2021-02-06,42.0,42.0,1
2021-02-07,61.0,61.0,1
2021-02-08,33.0,33.0,1
2021-02-09,28.0,28.0,1
2021-02-10,72.0,72.0,1
2021-02-11,23.0,23.0,1
2021-02-12,58.0,58.0,1
2021-02-13,26.0,26.0,1
2021-02-14,39.0,39.0,1
2021-02-15,44.0,44.0,1
2021-02-16,69.0,69.0,1
2021-02-17,57.0,57.0,1
2021-02-18,68.0,68.0,1
2021-02-19,60.0,60.0,1
2021-02-20,89.0,89.0,1
2021-02-21,28.0,28.0,1
2021-02-22,53.0,53.0,1
2021-02-23,81.0,81.0,1
2021-02-24,53.0,53.0,1
2021-02-25,52.0,52.0,1
2021-02-26,52.0,52.0,1
2021-02-27,58.0,58.0,1
2021-02-28,50.0,50.0,1
2021-03-01,51.0,51.0,1
2021-03-02,52.0,52.0,1
2021-03-03,76.0,76.0,1
2021-03-04,55.0,55.0,1
2021-03-05,65.0,65.0,1
2021-03-06,33.0,33.0,1
2021-03-07,44.0,44.0,1
2021-03-08,62.0,62.0,1
2021-03-09,44.0,44.0,1
2021-03-10,62.0,62.0,1
2021-03-11,68.0,68.0,1
2021-03-12,64.0,64.0,1
2021-03-13,79.0,79.0,1
2021-03-14,65.0,65.0,1
2021-03-15,66.0,66.0,1
2021-03-16,63.0,63.0,1
2021-03-17,56.0,56.0,1
2021-03-18,51.0,51.0,1
2021-03-19,47.0,47.0,1
2021-03-20,60.0,60.0,1
2021-03-21,68.0,68.0,1
2021-03-22,39.0,39.0,1
2021-03-23,56.0,56.0,1
2021-03-24,62.0,62.0,1
2021-03-25,35.0,35.0,1
2021-03-26,48.0,48.0,1
2021-03-27,25.0,25.0,1
2021-03-28,100.0,100.0,1
2021-03-29,29.0,29.0,1
2021-03-30,80.0,80.0,1
2021-03-31,57.0,57.0,1
2021-04-01,54.0,54.0,1
2021-04-02,49.0,49.0,1
2021-04-03,59.0,59.0,1
2021-04-04,53.0,53.0,1
2021-04-05,64.0,64.0,1
2021-04-06,22.0,22.0,1
2021-04-07,44.0,44.0,1
2021-04-08,69.0,69.0,1
2021-04-09,12.0,12.0,1
2021-04-10,58.0,58.0,1
2021-04-11,73.0,73.0,1
2021-04-12,49.0,49.0,1
2021-04-13,52.0,52.0,1
2021-04-14,62.0,62.0,1
2021-04-15,52.0,52.0,1
2021-04-16,60.0,60.0,1
2021-04-17,85.0,85.0,1
2021-04-18,59.0,59.0,1
2021-04-19,61.0,61.0,1
2021-04-20,57.0,57.0,1
2021-04-21,52.0,52.0,1
2021-04-22,53.0,53.0,1
2021-04-23,37.0,37.0,1
2021-04-24,41.0,41.0,1
2021-04-25,26.0,26.0,1
2021-04-26,51.0,51.0,1
2021-04-27,70.0,70.0,1
2021-04-28,40.0,40.0,1
2021-04-29,44.0,44.0,1
2021-04-30,68.0,68.0,1
2021-05-01,69.0,69.0,1
2021-05-02,68.0,68.0,1
2021-05-03,22.0,22.0,1
2021-05-04,58.0,58.0,1
2021-05-05,43.0,43.0,1
2021-05-06,95.0,95.0,1
2021-05-07,23.0,23.0,1
2021-05-08,31.0,31.0,1
2021-05-09,13.0,13.0,1
2021-05-10,61.0,61.0,1
2021-05-11,54.0,54.0,1
2021-05-12,62.0,62.0,1
2021-05-13,42.0,42.0,1
2021-05-14,18.0,18.0,1
