date,/m/01cpyy_0,/m/01cpyy,batch_id
2021-02-01,40.0,40.0,1
2021-02-02,40.0,40.0,1
2021-02-03,35.0,35.0,1
2021-02-04,40.0,40.0,1
2021-02-05,40.0,40.0,1
2021-02-06,32.0,32.0,1
2021-02-07,31.0,31.0,1
2021-02-08,33.0,33.0,1
2021-02-09,35.0,35.0,1
2021-02-10,31.0,31.0,1
2021-02-11,31.0,31.0,1
2021-02-12,30.0,30.0,1
2021-02-13,30.0,30.0,1
2021-02-14,32.0,32.0,1
2021-02-15,32.0,32.0,1
2021-02-16,34.0,34.0,1
2021-02-17,32.0,32.0,1
2021-02-18,32.0,32.0,1
2021-02-19,35.0,35.0,1
2021-02-20,29.0,29.0,1
2021-02-21,34.0,34.0,1
2021-02-22,31.0,31.0,1
2021-02-23,35.0,35.0,1
2021-02-24,33.0,33.0,1
2021-02-25,35.0,35.0,1
2021-02-26,44.0,44.0,1
2021-02-27,34.0,34.0,1
2021-02-28,34.0,34.0,1
2021-03-01,37.0,37.0,1
2021-03-02,33.0,33.0,1
2021-03-03,36.0,36.0,1
2021-03-04,33.0,33.0,1
2021-03-05,43.0,43.0,1
2021-03-06,42.0,42.0,1
2021-03-07,33.0,33.0,1
2021-03-08,30.0,30.0,1
2021-03-09,34.0,34.0,1
2021-03-10,34.0,34.0,1
2021-03-11,29.0,29.0,1
2021-03-12,30.0,30.0,1
2021-03-13,29.0,29.0,1
2021-03-14,33.0,33.0,1
2021-03-15,34.0,34.0,1
2021-03-16,44.0,44.0,1
2021-03-17,44.0,44.0,1
2021-03-18,56.0,56.0,1
2021-03-19,59.0,59.0,1
2021-03-20,50.0,50.0,1
2021-03-21,48.0,48.0,1
2021-03-22,55.0,55.0,1
2021-03-23,62.0,62.0,1
2021-03-24,100.0,100.0,1
2021-03-25,65.0,65.0,1
2021-03-26,44.0,44.0,1
2021-03-27,48.0,48.0,1
2021-03-28,42.0,42.0,1
2021-03-29,47.0,47.0,1
2021-03-30,43.0,43.0,1
2021-03-31,43.0,43.0,1
2021-04-01,41.0,41.0,1
2021-04-02,41.0,41.0,1
2021-04-03,34.0,34.0,1
2021-04-04,35.0,35.0,1
2021-04-05,37.0,37.0,1
2021-04-06,37.0,37.0,1
2021-04-07,35.0,35.0,1
2021-04-08,37.0,37.0,1
2021-04-09,37.0,37.0,1
2021-04-10,35.0,35.0,1
2021-04-11,36.0,36.0,1
2021-04-12,36.0,36.0,1
2021-04-13,40.0,40.0,1
2021-04-14,56.0,56.0,1
2021-04-15,44.0,44.0,1
2021-04-16,41.0,41.0,1
2021-04-17,41.0,41.0,1
2021-04-18,40.0,40.0,1
2021-04-19,37.0,37.0,1
2021-04-20,41.0,41.0,1
2021-04-21,36.0,36.0,1
2021-04-22,40.0,40.0,1
2021-04-23,46.0,46.0,1
2021-04-24,38.0,38.0,1
2021-04-25,42.0,42.0,1
2021-04-26,40.0,40.0,1
2021-04-27,37.0,37.0,1
2021-04-28,39.0,39.0,1
2021-04-29,39.0,39.0,1
2021-04-30,38.0,38.0,1
2021-05-01,34.0,34.0,1
2021-05-02,36.0,36.0,1
2021-05-03,37.0,37.0,1
2021-05-04,36.0,36.0,1
2021-05-05,35.0,35.0,1
2021-05-06,41.0,41.0,1
2021-05-07,36.0,36.0,1
2021-05-08,34.0,34.0,1
2021-05-09,36.0,36.0,1
2021-05-10,36.0,36.0,1
2021-05-11,42.0,42.0,1
2021-05-12,37.0,37.0,1
2021-05-13,36.0,36.0,1
2021-05-14,39.0,39.0,1
