date,/g/11bc5kpd37_0,/g/11bc5kpd37,batch_id
2021-02-01,68.0,68.0,1
2021-02-02,77.0,77.0,1
2021-02-03,59.0,59.0,1
2021-02-04,84.0,84.0,1
2021-02-05,67.0,67.0,1
2021-02-06,39.0,39.0,1
2021-02-07,39.0,39.0,1
2021-02-08,63.0,63.0,1
2021-02-09,64.0,64.0,1
2021-02-10,60.0,60.0,1
2021-02-11,73.0,73.0,1
2021-02-12,62.0,62.0,1
2021-02-13,45.0,45.0,1
2021-02-14,38.0,38.0,1
2021-02-15,72.0,72.0,1
2021-02-16,76.0,76.0,1
2021-02-17,67.0,67.0,1
2021-02-18,73.0,73.0,1
2021-02-19,54.0,54.0,1
2021-02-20,24.0,24.0,1
2021-02-21,36.0,36.0,1
2021-02-22,70.0,70.0,1
2021-02-23,71.0,71.0,1
2021-02-24,55.0,55.0,1
2021-02-25,70.0,70.0,1
2021-02-26,78.0,78.0,1
2021-02-27,38.0,38.0,1
2021-02-28,49.0,49.0,1
2021-03-01,95.0,95.0,1
2021-03-02,49.0,49.0,1
2021-03-03,55.0,55.0,1
2021-03-04,56.0,56.0,1
2021-03-05,59.0,59.0,1
2021-03-06,34.0,34.0,1
2021-03-07,33.0,33.0,1
2021-03-08,82.0,82.0,1
2021-03-09,47.0,47.0,1
2021-03-10,64.0,64.0,1
2021-03-11,59.0,59.0,1
2021-03-12,56.0,56.0,1
2021-03-13,32.0,32.0,1
2021-03-14,23.0,23.0,1
2021-03-15,64.0,64.0,1
2021-03-16,62.0,62.0,1
2021-03-17,100.0,100.0,1
2021-03-18,80.0,80.0,1
2021-03-19,62.0,62.0,1
2021-03-20,44.0,44.0,1
2021-03-21,31.0,31.0,1
2021-03-22,87.0,87.0,1
2021-03-23,72.0,72.0,1
2021-03-24,59.0,59.0,1
2021-03-25,79.0,79.0,1
2021-03-26,56.0,56.0,1
2021-03-27,51.0,51.0,1
2021-03-28,23.0,23.0,1
2021-03-29,64.0,64.0,1
2021-03-30,54.0,54.0,1
2021-03-31,79.0,79.0,1
2021-04-01,96.0,96.0,1
2021-04-02,73.0,73.0,1
2021-04-03,50.0,50.0,1
2021-04-04,45.0,45.0,1
2021-04-05,53.0,53.0,1
2021-04-06,95.0,95.0,1
2021-04-07,91.0,91.0,1
2021-04-08,97.0,97.0,1
2021-04-09,70.0,70.0,1
2021-04-10,39.0,39.0,1
2021-04-11,37.0,37.0,1
2021-04-12,64.0,64.0,1
2021-04-13,78.0,78.0,1
2021-04-14,76.0,76.0,1
2021-04-15,57.0,57.0,1
2021-04-16,58.0,58.0,1
2021-04-17,29.0,29.0,1
2021-04-18,33.0,33.0,1
2021-04-19,74.0,74.0,1
2021-04-20,48.0,48.0,1
2021-04-21,66.0,66.0,1
2021-04-22,72.0,72.0,1
2021-04-23,70.0,70.0,1
2021-04-24,32.0,32.0,1
2021-04-25,42.0,42.0,1
2021-04-26,61.0,61.0,1
2021-04-27,65.0,65.0,1
2021-04-28,71.0,71.0,1
2021-04-29,85.0,85.0,1
2021-04-30,58.0,58.0,1
2021-05-01,38.0,38.0,1
2021-05-02,34.0,34.0,1
2021-05-03,75.0,75.0,1
2021-05-04,66.0,66.0,1
2021-05-05,69.0,69.0,1
2021-05-06,70.0,70.0,1
2021-05-07,62.0,62.0,1
2021-05-08,31.0,31.0,1
2021-05-09,35.0,35.0,1
2021-05-10,73.0,73.0,1
2021-05-11,73.0,73.0,1
2021-05-12,56.0,56.0,1
2021-05-13,40.0,40.0,1
2021-05-14,43.0,43.0,1
