date,/m/0n073_0,/m/0n073,batch_id
2021-02-01,32.0,32.0,1
2021-02-02,48.0,48.0,1
2021-02-03,55.0,55.0,1
2021-02-04,41.0,41.0,1
2021-02-05,33.0,33.0,1
2021-02-06,52.0,52.0,1
2021-02-07,26.0,26.0,1
2021-02-08,47.0,47.0,1
2021-02-09,24.0,24.0,1
2021-02-10,55.0,55.0,1
2021-02-11,33.0,33.0,1
2021-02-12,75.0,75.0,1
2021-02-13,56.0,56.0,1
2021-02-14,28.0,28.0,1
2021-02-15,55.0,55.0,1
2021-02-16,58.0,58.0,1
2021-02-17,33.0,33.0,1
2021-02-18,33.0,33.0,1
2021-02-19,52.0,52.0,1
2021-02-20,69.0,69.0,1
2021-02-21,40.0,40.0,1
2021-02-22,62.0,62.0,1
2021-02-23,50.0,50.0,1
2021-02-24,50.0,50.0,1
2021-02-25,50.0,50.0,1
2021-02-26,50.0,50.0,1
2021-02-27,28.0,28.0,1
2021-02-28,54.0,54.0,1
2021-03-01,24.0,24.0,1
2021-03-02,50.0,50.0,1
2021-03-03,34.0,34.0,1
2021-03-04,40.0,40.0,1
2021-03-05,59.0,59.0,1
2021-03-06,47.0,47.0,1
2021-03-07,63.0,63.0,1
2021-03-08,16.0,16.0,1
2021-03-09,8.0,8.0,1
2021-03-10,41.0,41.0,1
2021-03-11,16.0,16.0,1
2021-03-12,100.0,100.0,1
2021-03-13,78.0,78.0,1
2021-03-14,43.0,43.0,1
2021-03-15,95.0,95.0,1
2021-03-16,84.0,84.0,1
2021-03-17,32.0,32.0,1
2021-03-18,73.0,73.0,1
2021-03-19,43.0,43.0,1
2021-03-20,76.0,76.0,1
2021-03-21,44.0,44.0,1
2021-03-22,65.0,65.0,1
2021-03-23,8.0,8.0,1
2021-03-24,56.0,56.0,1
2021-03-25,83.0,83.0,1
2021-03-26,34.0,34.0,1
2021-03-27,54.0,54.0,1
2021-03-28,38.0,38.0,1
2021-03-29,51.0,51.0,1
2021-03-30,44.0,44.0,1
2021-03-31,54.0,54.0,1
2021-04-01,34.0,34.0,1
2021-04-02,35.0,35.0,1
2021-04-03,28.0,28.0,1
2021-04-04,67.0,67.0,1
2021-04-05,76.0,76.0,1
2021-04-06,31.0,31.0,1
2021-04-07,64.0,64.0,1
2021-04-08,66.0,66.0,1
2021-04-09,17.0,17.0,1
2021-04-10,42.0,42.0,1
2021-04-11,35.0,35.0,1
2021-04-12,47.0,47.0,1
2021-04-13,58.0,58.0,1
2021-04-14,57.0,57.0,1
2021-04-15,66.0,66.0,1
2021-04-16,9.0,9.0,1
2021-04-17,38.0,38.0,1
2021-04-18,28.0,28.0,1
2021-04-19,40.0,40.0,1
2021-04-20,41.0,41.0,1
2021-04-21,17.0,17.0,1
2021-04-22,25.0,25.0,1
2021-04-23,26.0,26.0,1
2021-04-24,29.0,29.0,1
2021-04-25,37.0,37.0,1
2021-04-26,32.0,32.0,1
2021-04-27,67.0,67.0,1
2021-04-28,33.0,33.0,1
2021-04-29,16.0,16.0,1
2021-04-30,33.0,33.0,1
2021-05-01,36.0,36.0,1
2021-05-02,45.0,45.0,1
2021-05-03,16.0,16.0,1
2021-05-04,38.0,38.0,1
2021-05-05,54.0,54.0,1
2021-05-06,64.0,64.0,1
2021-05-07,25.0,25.0,1
2021-05-08,18.0,18.0,1
2021-05-09,39.0,39.0,1
2021-05-10,24.0,24.0,1
2021-05-11,39.0,39.0,1
2021-05-12,33.0,33.0,1
2021-05-13,51.0,51.0,1
2021-05-14,26.0,26.0,1
