date,/m/017pgc_0,/m/017pgc,batch_id
2021-02-01,33.0,33.0,1
2021-02-02,0.0,0.0,1
2021-02-03,32.0,32.0,1
2021-02-04,34.0,34.0,1
2021-02-05,50.0,50.0,1
2021-02-06,18.0,18.0,1
2021-02-07,18.0,18.0,1
2021-02-08,49.0,49.0,1
2021-02-09,0.0,0.0,1
2021-02-10,16.0,16.0,1
2021-02-11,50.0,50.0,1
2021-02-12,85.0,85.0,1
2021-02-13,76.0,76.0,1
2021-02-14,38.0,38.0,1
2021-02-15,49.0,49.0,1
2021-02-16,34.0,34.0,1
2021-02-17,17.0,17.0,1
2021-02-18,50.0,50.0,1
2021-02-19,18.0,18.0,1
2021-02-20,61.0,61.0,1
2021-02-21,20.0,20.0,1
2021-02-22,32.0,32.0,1
2021-02-23,17.0,17.0,1
2021-02-24,0.0,0.0,1
2021-02-25,17.0,17.0,1
2021-02-26,17.0,17.0,1
2021-02-27,38.0,38.0,1
2021-02-28,37.0,37.0,1
2021-03-01,50.0,50.0,1
2021-03-02,68.0,68.0,1
2021-03-03,0.0,0.0,1
2021-03-04,16.0,16.0,1
2021-03-05,52.0,52.0,1
2021-03-06,38.0,38.0,1
2021-03-07,18.0,18.0,1
2021-03-08,100.0,100.0,1
2021-03-09,16.0,16.0,1
2021-03-10,83.0,83.0,1
2021-03-11,0.0,0.0,1
2021-03-12,34.0,34.0,1
2021-03-13,54.0,54.0,1
2021-03-14,18.0,18.0,1
2021-03-15,13.0,13.0,1
2021-03-16,29.0,29.0,1
2021-03-17,17.0,17.0,1
2021-03-18,50.0,50.0,1
2021-03-19,18.0,18.0,1
2021-03-20,59.0,59.0,1
2021-03-21,36.0,36.0,1
2021-03-22,17.0,17.0,1
2021-03-23,17.0,17.0,1
2021-03-24,33.0,33.0,1
2021-03-25,51.0,51.0,1
2021-03-26,53.0,53.0,1
2021-03-27,92.0,92.0,1
2021-03-28,0.0,0.0,1
2021-03-29,35.0,35.0,1
2021-03-30,18.0,18.0,1
2021-03-31,56.0,56.0,1
2021-04-01,53.0,53.0,1
2021-04-02,36.0,36.0,1
2021-04-03,19.0,19.0,1
2021-04-04,59.0,59.0,1
2021-04-05,17.0,17.0,1
2021-04-06,80.0,80.0,1
2021-04-07,33.0,33.0,1
2021-04-08,51.0,51.0,1
2021-04-09,69.0,69.0,1
2021-04-10,17.0,17.0,1
2021-04-11,54.0,54.0,1
2021-04-12,81.0,81.0,1
2021-04-13,0.0,0.0,1
2021-04-14,83.0,83.0,1
2021-04-15,17.0,17.0,1
2021-04-16,35.0,35.0,1
2021-04-17,19.0,19.0,1
2021-04-18,0.0,0.0,1
2021-04-19,16.0,16.0,1
2021-04-20,17.0,17.0,1
2021-04-21,51.0,51.0,1
2021-04-22,52.0,52.0,1
2021-04-23,54.0,54.0,1
2021-04-24,80.0,80.0,1
2021-04-25,0.0,0.0,1
2021-04-26,50.0,50.0,1
2021-04-27,34.0,34.0,1
2021-04-28,17.0,17.0,1
2021-04-29,66.0,66.0,1
2021-04-30,33.0,33.0,1
2021-05-01,37.0,37.0,1
2021-05-02,73.0,73.0,1
2021-05-03,97.0,97.0,1
2021-05-04,31.0,31.0,1
2021-05-05,48.0,48.0,1
2021-05-06,33.0,33.0,1
2021-05-07,34.0,34.0,1
2021-05-08,0.0,0.0,1
2021-05-09,60.0,60.0,1
2021-05-10,33.0,33.0,1
2021-05-11,32.0,32.0,1
2021-05-12,84.0,84.0,1
2021-05-13,53.0,53.0,1
2021-05-14,36.0,36.0,1
