date,/m/03131m_0,/m/03131m,batch_id
2021-02-01,56.0,56.0,1
2021-02-02,42.0,42.0,1
2021-02-03,42.0,42.0,1
2021-02-04,29.0,29.0,1
2021-02-05,44.0,44.0,1
2021-02-06,23.0,23.0,1
2021-02-07,54.0,54.0,1
2021-02-08,28.0,28.0,1
2021-02-09,50.0,50.0,1
2021-02-10,28.0,28.0,1
2021-02-11,43.0,43.0,1
2021-02-12,22.0,22.0,1
2021-02-13,25.0,25.0,1
2021-02-14,41.0,41.0,1
2021-02-15,35.0,35.0,1
2021-02-16,15.0,15.0,1
2021-02-17,87.0,87.0,1
2021-02-18,43.0,43.0,1
2021-02-19,31.0,31.0,1
2021-02-20,26.0,26.0,1
2021-02-21,26.0,26.0,1
2021-02-22,48.0,48.0,1
2021-02-23,22.0,22.0,1
2021-02-24,75.0,75.0,1
2021-02-25,15.0,15.0,1
2021-02-26,30.0,30.0,1
2021-02-27,8.0,8.0,1
2021-02-28,24.0,24.0,1
2021-03-01,50.0,50.0,1
2021-03-02,52.0,52.0,1
2021-03-03,45.0,45.0,1
2021-03-04,28.0,28.0,1
2021-03-05,38.0,38.0,1
2021-03-06,42.0,42.0,1
2021-03-07,24.0,24.0,1
2021-03-08,58.0,58.0,1
2021-03-09,64.0,64.0,1
2021-03-10,29.0,29.0,1
2021-03-11,29.0,29.0,1
2021-03-12,22.0,22.0,1
2021-03-13,39.0,39.0,1
2021-03-14,15.0,15.0,1
2021-03-15,50.0,50.0,1
2021-03-16,49.0,49.0,1
2021-03-17,100.0,100.0,1
2021-03-18,58.0,58.0,1
2021-03-19,23.0,23.0,1
2021-03-20,34.0,34.0,1
2021-03-21,47.0,47.0,1
2021-03-22,21.0,21.0,1
2021-03-23,29.0,29.0,1
2021-03-24,29.0,29.0,1
2021-03-25,44.0,44.0,1
2021-03-26,53.0,53.0,1
2021-03-27,40.0,40.0,1
2021-03-28,17.0,17.0,1
2021-03-29,30.0,30.0,1
2021-03-30,39.0,39.0,1
2021-03-31,32.0,32.0,1
2021-04-01,76.0,76.0,1
2021-04-02,39.0,39.0,1
2021-04-03,25.0,25.0,1
2021-04-04,25.0,25.0,1
2021-04-05,15.0,15.0,1
2021-04-06,41.0,41.0,1
2021-04-07,28.0,28.0,1
2021-04-08,22.0,22.0,1
2021-04-09,22.0,22.0,1
2021-04-10,45.0,45.0,1
2021-04-11,23.0,23.0,1
2021-04-12,28.0,28.0,1
2021-04-13,30.0,30.0,1
2021-04-14,22.0,22.0,1
2021-04-15,44.0,44.0,1
2021-04-16,69.0,69.0,1
2021-04-17,75.0,75.0,1
2021-04-18,34.0,34.0,1
2021-04-19,35.0,35.0,1
2021-04-20,51.0,51.0,1
2021-04-21,37.0,37.0,1
2021-04-22,30.0,30.0,1
2021-04-23,63.0,63.0,1
2021-04-24,35.0,35.0,1
2021-04-25,41.0,41.0,1
2021-04-26,72.0,72.0,1
2021-04-27,30.0,30.0,1
2021-04-28,52.0,52.0,1
2021-04-29,14.0,14.0,1
2021-04-30,29.0,29.0,1
2021-05-01,56.0,56.0,1
2021-05-02,16.0,16.0,1
2021-05-03,42.0,42.0,1
2021-05-04,47.0,47.0,1
2021-05-05,48.0,48.0,1
2021-05-06,36.0,36.0,1
2021-05-07,37.0,37.0,1
2021-05-08,16.0,16.0,1
2021-05-09,17.0,17.0,1
2021-05-10,21.0,21.0,1
2021-05-11,62.0,62.0,1
2021-05-12,36.0,36.0,1
2021-05-13,23.0,23.0,1
2021-05-14,31.0,31.0,1
