date,/m/01xm4b_0,/m/01xm4b,batch_id
2021-02-01,78.0,78.0,1
2021-02-02,78.0,78.0,1
2021-02-03,84.0,84.0,1
2021-02-04,96.0,96.0,1
2021-02-05,81.0,81.0,1
2021-02-06,28.0,28.0,1
2021-02-07,26.0,26.0,1
2021-02-08,96.0,96.0,1
2021-02-09,84.0,84.0,1
2021-02-10,100.0,100.0,1
2021-02-11,89.0,89.0,1
2021-02-12,84.0,84.0,1
2021-02-13,28.0,28.0,1
2021-02-14,21.0,21.0,1
2021-02-15,74.0,74.0,1
2021-02-16,85.0,85.0,1
2021-02-17,95.0,95.0,1
2021-02-18,86.0,86.0,1
2021-02-19,76.0,76.0,1
2021-02-20,34.0,34.0,1
2021-02-21,25.0,25.0,1
2021-02-22,69.0,69.0,1
2021-02-23,83.0,83.0,1
2021-02-24,80.0,80.0,1
2021-02-25,80.0,80.0,1
2021-02-26,76.0,76.0,1
2021-02-27,28.0,28.0,1
2021-02-28,26.0,26.0,1
2021-03-01,73.0,73.0,1
2021-03-02,81.0,81.0,1
2021-03-03,70.0,70.0,1
2021-03-04,73.0,73.0,1
2021-03-05,86.0,86.0,1
2021-03-06,25.0,25.0,1
2021-03-07,20.0,20.0,1
2021-03-08,93.0,93.0,1
2021-03-09,96.0,96.0,1
2021-03-10,82.0,82.0,1
2021-03-11,71.0,71.0,1
2021-03-12,70.0,70.0,1
2021-03-13,33.0,33.0,1
2021-03-14,20.0,20.0,1
2021-03-15,90.0,90.0,1
2021-03-16,84.0,84.0,1
2021-03-17,75.0,75.0,1
2021-03-18,69.0,69.0,1
2021-03-19,83.0,83.0,1
2021-03-20,26.0,26.0,1
2021-03-21,20.0,20.0,1
2021-03-22,72.0,72.0,1
2021-03-23,69.0,69.0,1
2021-03-24,58.0,58.0,1
2021-03-25,72.0,72.0,1
2021-03-26,61.0,61.0,1
2021-03-27,15.0,15.0,1
2021-03-28,21.0,21.0,1
2021-03-29,74.0,74.0,1
2021-03-30,91.0,91.0,1
2021-03-31,71.0,71.0,1
2021-04-01,69.0,69.0,1
2021-04-02,45.0,45.0,1
2021-04-03,17.0,17.0,1
2021-04-04,17.0,17.0,1
2021-04-05,34.0,34.0,1
2021-04-06,70.0,70.0,1
2021-04-07,74.0,74.0,1
2021-04-08,71.0,71.0,1
2021-04-09,57.0,57.0,1
2021-04-10,23.0,23.0,1
2021-04-11,18.0,18.0,1
2021-04-12,75.0,75.0,1
2021-04-13,76.0,76.0,1
2021-04-14,76.0,76.0,1
2021-04-15,77.0,77.0,1
2021-04-16,89.0,89.0,1
2021-04-17,30.0,30.0,1
2021-04-18,30.0,30.0,1
2021-04-19,78.0,78.0,1
2021-04-20,70.0,70.0,1
2021-04-21,74.0,74.0,1
2021-04-22,73.0,73.0,1
2021-04-23,81.0,81.0,1
2021-04-24,27.0,27.0,1
2021-04-25,29.0,29.0,1
2021-04-26,71.0,71.0,1
2021-04-27,66.0,66.0,1
2021-04-28,69.0,69.0,1
2021-04-29,57.0,57.0,1
2021-04-30,69.0,69.0,1
2021-05-01,22.0,22.0,1
2021-05-02,19.0,19.0,1
2021-05-03,54.0,54.0,1
2021-05-04,76.0,76.0,1
2021-05-05,71.0,71.0,1
2021-05-06,76.0,76.0,1
2021-05-07,69.0,69.0,1
2021-05-08,21.0,21.0,1
2021-05-09,20.0,20.0,1
2021-05-10,79.0,79.0,1
2021-05-11,70.0,70.0,1
2021-05-12,81.0,81.0,1
2021-05-13,56.0,56.0,1
2021-05-14,87.0,87.0,1
