date,/m/01bgsw_0,/m/01bgsw,batch_id
2021-02-01,29.0,29.0,1
2021-02-02,53.0,53.0,1
2021-02-03,47.0,47.0,1
2021-02-04,55.0,55.0,1
2021-02-05,24.0,24.0,1
2021-02-06,38.0,38.0,1
2021-02-07,45.0,45.0,1
2021-02-08,76.0,76.0,1
2021-02-09,60.0,60.0,1
2021-02-10,47.0,47.0,1
2021-02-11,54.0,54.0,1
2021-02-12,43.0,43.0,1
2021-02-13,34.0,34.0,1
2021-02-14,55.0,55.0,1
2021-02-15,41.0,41.0,1
2021-02-16,43.0,43.0,1
2021-02-17,42.0,42.0,1
2021-02-18,90.0,90.0,1
2021-02-19,26.0,26.0,1
2021-02-20,51.0,51.0,1
2021-02-21,51.0,51.0,1
2021-02-22,51.0,51.0,1
2021-02-23,62.0,62.0,1
2021-02-24,50.0,50.0,1
2021-02-25,56.0,56.0,1
2021-02-26,31.0,31.0,1
2021-02-27,89.0,89.0,1
2021-02-28,46.0,46.0,1
2021-03-01,95.0,95.0,1
2021-03-02,55.0,55.0,1
2021-03-03,62.0,62.0,1
2021-03-04,58.0,58.0,1
2021-03-05,56.0,56.0,1
2021-03-06,48.0,48.0,1
2021-03-07,40.0,40.0,1
2021-03-08,60.0,60.0,1
2021-03-09,41.0,41.0,1
2021-03-10,30.0,30.0,1
2021-03-11,90.0,90.0,1
2021-03-12,67.0,67.0,1
2021-03-13,83.0,83.0,1
2021-03-14,57.0,57.0,1
2021-03-15,28.0,28.0,1
2021-03-16,36.0,36.0,1
2021-03-17,42.0,42.0,1
2021-03-18,60.0,60.0,1
2021-03-19,25.0,25.0,1
2021-03-20,35.0,35.0,1
2021-03-21,78.0,78.0,1
2021-03-22,54.0,54.0,1
2021-03-23,60.0,60.0,1
2021-03-24,59.0,59.0,1
2021-03-25,31.0,31.0,1
2021-03-26,63.0,63.0,1
2021-03-27,46.0,46.0,1
2021-03-28,42.0,42.0,1
2021-03-29,62.0,62.0,1
2021-03-30,97.0,97.0,1
2021-03-31,100.0,100.0,1
2021-04-01,25.0,25.0,1
2021-04-02,39.0,39.0,1
2021-04-03,21.0,21.0,1
2021-04-04,42.0,42.0,1
2021-04-05,50.0,50.0,1
2021-04-06,52.0,52.0,1
2021-04-07,41.0,41.0,1
2021-04-08,49.0,49.0,1
2021-04-09,62.0,62.0,1
2021-04-10,37.0,37.0,1
2021-04-11,71.0,71.0,1
2021-04-12,52.0,52.0,1
2021-04-13,86.0,86.0,1
2021-04-14,30.0,30.0,1
2021-04-15,37.0,37.0,1
2021-04-16,38.0,38.0,1
2021-04-17,14.0,14.0,1
2021-04-18,70.0,70.0,1
2021-04-19,41.0,41.0,1
2021-04-20,48.0,48.0,1
2021-04-21,49.0,49.0,1
2021-04-22,44.0,44.0,1
2021-04-23,39.0,39.0,1
2021-04-24,50.0,50.0,1
2021-04-25,41.0,41.0,1
2021-04-26,84.0,84.0,1
2021-04-27,62.0,62.0,1
2021-04-28,55.0,55.0,1
2021-04-29,18.0,18.0,1
2021-04-30,18.0,18.0,1
2021-05-01,46.0,46.0,1
2021-05-02,66.0,66.0,1
2021-05-03,52.0,52.0,1
2021-05-04,33.0,33.0,1
2021-05-05,46.0,46.0,1
2021-05-06,53.0,53.0,1
2021-05-07,37.0,37.0,1
2021-05-08,80.0,80.0,1
2021-05-09,72.0,72.0,1
2021-05-10,35.0,35.0,1
2021-05-11,52.0,52.0,1
2021-05-12,36.0,36.0,1
2021-05-13,51.0,51.0,1
2021-05-14,71.0,71.0,1
