date,/m/0f0q9_0,/m/0f0q9,batch_id
2021-02-01,26.0,26.0,1
2021-02-02,31.0,31.0,1
2021-02-03,52.0,52.0,1
2021-02-04,16.0,16.0,1
2021-02-05,21.0,21.0,1
2021-02-06,28.0,28.0,1
2021-02-07,63.0,63.0,1
2021-02-08,21.0,21.0,1
2021-02-09,16.0,16.0,1
2021-02-10,41.0,41.0,1
2021-02-11,37.0,37.0,1
2021-02-12,27.0,27.0,1
2021-02-13,30.0,30.0,1
2021-02-14,6.0,6.0,1
2021-02-15,47.0,47.0,1
2021-02-16,38.0,38.0,1
2021-02-17,48.0,48.0,1
2021-02-18,27.0,27.0,1
2021-02-19,6.0,6.0,1
2021-02-20,51.0,51.0,1
2021-02-21,26.0,26.0,1
2021-02-22,35.0,35.0,1
2021-02-23,55.0,55.0,1
2021-02-24,44.0,44.0,1
2021-02-25,22.0,22.0,1
2021-02-26,49.0,49.0,1
2021-02-27,6.0,6.0,1
2021-02-28,35.0,35.0,1
2021-03-01,37.0,37.0,1
2021-03-02,38.0,38.0,1
2021-03-03,49.0,49.0,1
2021-03-04,36.0,36.0,1
2021-03-05,17.0,17.0,1
2021-03-06,43.0,43.0,1
2021-03-07,53.0,53.0,1
2021-03-08,42.0,42.0,1
2021-03-09,21.0,21.0,1
2021-03-10,16.0,16.0,1
2021-03-11,11.0,11.0,1
2021-03-12,22.0,22.0,1
2021-03-13,23.0,23.0,1
2021-03-14,67.0,67.0,1
2021-03-15,29.0,29.0,1
2021-03-16,27.0,27.0,1
2021-03-17,58.0,58.0,1
2021-03-18,48.0,48.0,1
2021-03-19,22.0,22.0,1
2021-03-20,56.0,56.0,1
2021-03-21,23.0,23.0,1
2021-03-22,37.0,37.0,1
2021-03-23,37.0,37.0,1
2021-03-24,37.0,37.0,1
2021-03-25,22.0,22.0,1
2021-03-26,17.0,17.0,1
2021-03-27,23.0,23.0,1
2021-03-28,25.0,25.0,1
2021-03-29,55.0,55.0,1
2021-03-30,11.0,11.0,1
2021-03-31,24.0,24.0,1
2021-04-01,34.0,34.0,1
2021-04-02,23.0,23.0,1
2021-04-03,56.0,56.0,1
2021-04-04,56.0,56.0,1
2021-04-05,28.0,28.0,1
2021-04-06,15.0,15.0,1
2021-04-07,47.0,47.0,1
2021-04-08,22.0,22.0,1
2021-04-09,55.0,55.0,1
2021-04-10,33.0,33.0,1
2021-04-11,34.0,34.0,1
2021-04-12,51.0,51.0,1
2021-04-13,33.0,33.0,1
2021-04-14,53.0,53.0,1
2021-04-15,32.0,32.0,1
2021-04-16,51.0,51.0,1
2021-04-17,62.0,62.0,1
2021-04-18,68.0,68.0,1
2021-04-19,36.0,36.0,1
2021-04-20,11.0,11.0,1
2021-04-21,16.0,16.0,1
2021-04-22,28.0,28.0,1
2021-04-23,63.0,63.0,1
2021-04-24,45.0,45.0,1
2021-04-25,12.0,12.0,1
2021-04-26,42.0,42.0,1
2021-04-27,44.0,44.0,1
2021-04-28,22.0,22.0,1
2021-04-29,21.0,21.0,1
2021-04-30,32.0,32.0,1
2021-05-01,100.0,100.0,1
2021-05-02,41.0,41.0,1
2021-05-03,31.0,31.0,1
2021-05-04,35.0,35.0,1
2021-05-05,46.0,46.0,1
2021-05-06,37.0,37.0,1
2021-05-07,16.0,16.0,1
2021-05-08,53.0,53.0,1
2021-05-09,63.0,63.0,1
2021-05-10,47.0,47.0,1
2021-05-11,41.0,41.0,1
2021-05-12,21.0,21.0,1
2021-05-13,34.0,34.0,1
2021-05-14,6.0,6.0,1
