date,/g/120ldk8j_0,/g/120ldk8j,batch_id
2021-02-01,39.0,39.0,1
2021-02-02,39.0,39.0,1
2021-02-03,59.0,59.0,1
2021-02-04,82.0,82.0,1
2021-02-05,54.0,54.0,1
2021-02-06,29.0,29.0,1
2021-02-07,36.0,36.0,1
2021-02-08,59.0,59.0,1
2021-02-09,40.0,40.0,1
2021-02-10,59.0,59.0,1
2021-02-11,27.0,27.0,1
2021-02-12,89.0,89.0,1
2021-02-13,92.0,92.0,1
2021-02-14,100.0,100.0,1
2021-02-15,53.0,53.0,1
2021-02-16,34.0,34.0,1
2021-02-17,75.0,75.0,1
2021-02-18,54.0,54.0,1
2021-02-19,72.0,72.0,1
2021-02-20,81.0,81.0,1
2021-02-21,74.0,74.0,1
2021-02-22,38.0,38.0,1
2021-02-23,55.0,55.0,1
2021-02-24,28.0,28.0,1
2021-02-25,56.0,56.0,1
2021-02-26,62.0,62.0,1
2021-02-27,69.0,69.0,1
2021-02-28,60.0,60.0,1
2021-03-01,67.0,67.0,1
2021-03-02,48.0,48.0,1
2021-03-03,49.0,49.0,1
2021-03-04,59.0,59.0,1
2021-03-05,77.0,77.0,1
2021-03-06,62.0,62.0,1
2021-03-07,75.0,75.0,1
2021-03-08,81.0,81.0,1
2021-03-09,26.0,26.0,1
2021-03-10,47.0,47.0,1
2021-03-11,40.0,40.0,1
2021-03-12,62.0,62.0,1
2021-03-13,36.0,36.0,1
2021-03-14,71.0,71.0,1
2021-03-15,58.0,58.0,1
2021-03-16,40.0,40.0,1
2021-03-17,67.0,67.0,1
2021-03-18,88.0,88.0,1
2021-03-19,57.0,57.0,1
2021-03-20,71.0,71.0,1
2021-03-21,37.0,37.0,1
2021-03-22,74.0,74.0,1
2021-03-23,47.0,47.0,1
2021-03-24,53.0,53.0,1
2021-03-25,48.0,48.0,1
2021-03-26,7.0,7.0,1
2021-03-27,37.0,37.0,1
2021-03-28,16.0,16.0,1
2021-03-29,49.0,49.0,1
2021-03-30,51.0,51.0,1
2021-03-31,52.0,52.0,1
2021-04-01,64.0,64.0,1
2021-04-02,51.0,51.0,1
2021-04-03,55.0,55.0,1
2021-04-04,56.0,56.0,1
2021-04-05,56.0,56.0,1
2021-04-06,64.0,64.0,1
2021-04-07,40.0,40.0,1
2021-04-08,61.0,61.0,1
2021-04-09,84.0,84.0,1
2021-04-10,35.0,35.0,1
2021-04-11,58.0,58.0,1
2021-04-12,46.0,46.0,1
2021-04-13,83.0,83.0,1
2021-04-14,40.0,40.0,1
2021-04-15,62.0,62.0,1
2021-04-16,36.0,36.0,1
2021-04-17,23.0,23.0,1
2021-04-18,31.0,31.0,1
2021-04-19,53.0,53.0,1
2021-04-20,75.0,75.0,1
2021-04-21,14.0,14.0,1
2021-04-22,70.0,70.0,1
2021-04-23,58.0,58.0,1
2021-04-24,40.0,40.0,1
2021-04-25,62.0,62.0,1
2021-04-26,47.0,47.0,1
2021-04-27,42.0,42.0,1
2021-04-28,41.0,41.0,1
2021-04-29,93.0,93.0,1
2021-04-30,95.0,95.0,1
2021-05-01,22.0,22.0,1
2021-05-02,74.0,74.0,1
2021-05-03,33.0,33.0,1
2021-05-04,38.0,38.0,1
2021-05-05,64.0,64.0,1
2021-05-06,53.0,53.0,1
2021-05-07,21.0,21.0,1
2021-05-08,45.0,45.0,1
2021-05-09,56.0,56.0,1
2021-05-10,40.0,40.0,1
2021-05-11,13.0,13.0,1
2021-05-12,54.0,54.0,1
2021-05-13,14.0,14.0,1
2021-05-14,80.0,80.0,1
