date,/m/0hzlz_0,/m/0hzlz,batch_id
2021-02-01,57.0,57.0,1
2021-02-02,51.0,51.0,1
2021-02-03,64.0,64.0,1
2021-02-04,27.0,27.0,1
2021-02-05,66.0,66.0,1
2021-02-06,28.0,28.0,1
2021-02-07,35.0,35.0,1
2021-02-08,57.0,57.0,1
2021-02-09,39.0,39.0,1
2021-02-10,19.0,19.0,1
2021-02-11,59.0,59.0,1
2021-02-12,100.0,100.0,1
2021-02-13,30.0,30.0,1
2021-02-14,67.0,67.0,1
2021-02-15,19.0,19.0,1
2021-02-16,13.0,13.0,1
2021-02-17,26.0,26.0,1
2021-02-18,46.0,46.0,1
2021-02-19,35.0,35.0,1
2021-02-20,47.0,47.0,1
2021-02-21,32.0,32.0,1
2021-02-22,0.0,0.0,1
2021-02-23,20.0,20.0,1
2021-02-24,27.0,27.0,1
2021-02-25,61.0,61.0,1
2021-02-26,20.0,20.0,1
2021-02-27,15.0,15.0,1
2021-02-28,65.0,65.0,1
2021-03-01,52.0,52.0,1
2021-03-02,40.0,40.0,1
2021-03-03,20.0,20.0,1
2021-03-04,51.0,51.0,1
2021-03-05,20.0,20.0,1
2021-03-06,45.0,45.0,1
2021-03-07,36.0,36.0,1
2021-03-08,39.0,39.0,1
2021-03-09,38.0,38.0,1
2021-03-10,20.0,20.0,1
2021-03-11,46.0,46.0,1
2021-03-12,13.0,13.0,1
2021-03-13,35.0,35.0,1
2021-03-14,48.0,48.0,1
2021-03-15,30.0,30.0,1
2021-03-16,34.0,34.0,1
2021-03-17,26.0,26.0,1
2021-03-18,39.0,39.0,1
2021-03-19,41.0,41.0,1
2021-03-20,46.0,46.0,1
2021-03-21,21.0,21.0,1
2021-03-22,26.0,26.0,1
2021-03-23,71.0,71.0,1
2021-03-24,65.0,65.0,1
2021-03-25,27.0,27.0,1
2021-03-26,28.0,28.0,1
2021-03-27,22.0,22.0,1
2021-03-28,39.0,39.0,1
2021-03-29,27.0,27.0,1
2021-03-30,7.0,7.0,1
2021-03-31,29.0,29.0,1
2021-04-01,14.0,14.0,1
2021-04-02,35.0,35.0,1
2021-04-03,53.0,53.0,1
2021-04-04,69.0,69.0,1
2021-04-05,0.0,0.0,1
2021-04-06,19.0,19.0,1
2021-04-07,51.0,51.0,1
2021-04-08,66.0,66.0,1
2021-04-09,27.0,27.0,1
2021-04-10,34.0,34.0,1
2021-04-11,49.0,49.0,1
2021-04-12,57.0,57.0,1
2021-04-13,7.0,7.0,1
2021-04-14,59.0,59.0,1
2021-04-15,20.0,20.0,1
2021-04-16,49.0,49.0,1
2021-04-17,23.0,23.0,1
2021-04-18,23.0,23.0,1
2021-04-19,57.0,57.0,1
2021-04-20,20.0,20.0,1
2021-04-21,0.0,0.0,1
2021-04-22,27.0,27.0,1
2021-04-23,14.0,14.0,1
2021-04-24,31.0,31.0,1
2021-04-25,38.0,38.0,1
2021-04-26,26.0,26.0,1
2021-04-27,61.0,61.0,1
2021-04-28,7.0,7.0,1
2021-04-29,51.0,51.0,1
2021-04-30,33.0,33.0,1
2021-05-01,36.0,36.0,1
2021-05-02,22.0,22.0,1
2021-05-03,32.0,32.0,1
2021-05-04,55.0,55.0,1
2021-05-05,56.0,56.0,1
2021-05-06,13.0,13.0,1
2021-05-07,47.0,47.0,1
2021-05-08,22.0,22.0,1
2021-05-09,47.0,47.0,1
2021-05-10,32.0,32.0,1
2021-05-11,50.0,50.0,1
2021-05-12,26.0,26.0,1
2021-05-13,21.0,21.0,1
2021-05-14,35.0,35.0,1
