date,/m/01byzl
2020-02-01,0
2020-02-02,19
2020-02-03,22
2020-02-04,25
2020-02-05,0
2020-02-06,13
2020-02-07,27
2020-02-08,0
2020-02-09,0
2020-02-10,12
2020-02-11,25
2020-02-12,12
2020-02-13,19
2020-02-14,13
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,13
2020-02-22,0
2020-02-23,38
2020-02-24,18
2020-02-25,12
2020-02-26,34
2020-02-27,0
2020-02-28,12
2020-02-29,32
2020-03-01,12
2020-03-02,12
2020-03-03,42
2020-03-04,12
2020-03-05,18
2020-03-06,24
2020-03-07,27
2020-03-08,12
2020-03-09,0
2020-03-10,24
2020-03-11,23
2020-03-12,17
2020-03-13,100
2020-03-14,32
2020-03-15,57
2020-03-16,34
2020-03-17,22
2020-03-18,51
2020-03-19,28
2020-03-20,32
2020-03-21,24
2020-03-22,0
2020-03-23,15
2020-03-24,16
2020-03-25,45
2020-03-26,11
2020-03-27,10
2020-03-28,12
2020-03-29,23
2020-03-30,10
2020-03-31,25
2020-04-01,10
2020-04-02,21
2020-04-03,21
2020-04-04,12
2020-04-05,13
2020-04-06,0
2020-04-07,11
2020-04-08,11
2020-04-09,11
2020-04-10,22
2020-04-11,12
2020-04-12,24
2020-04-13,11
2020-04-14,10
2020-04-15,11
2020-04-16,11
2020-04-17,0
2020-04-18,11
2020-04-19,0
2020-04-20,31
2020-04-21,11
2020-04-22,16
2020-04-23,11
2020-04-24,0
2020-04-25,0
2020-04-26,25
2020-04-27,11
2020-04-28,0
2020-04-29,10
2020-04-30,19
2020-05-01,10
2020-05-02,0
2020-05-03,11
2020-05-04,10
2020-05-05,10
2020-05-06,11
2020-05-07,11
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,19
2020-05-12,10
2020-05-13,0
2020-05-14,21
2020-05-15,0
2020-05-16,12
2020-05-17,13
2020-05-18,0
2020-05-19,0
2020-05-20,22
2020-05-21,24
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,21
2020-05-26,11
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,12
2020-05-31,0
