date,/m/0jnvp_0,/m/0jnvp,batch_id
2021-02-01,71.0,71.0,1
2021-02-02,80.0,80.0,1
2021-02-03,71.0,71.0,1
2021-02-04,79.0,79.0,1
2021-02-05,72.0,72.0,1
2021-02-06,83.0,83.0,1
2021-02-07,82.0,82.0,1
2021-02-08,67.0,67.0,1
2021-02-09,71.0,71.0,1
2021-02-10,74.0,74.0,1
2021-02-11,68.0,68.0,1
2021-02-12,90.0,90.0,1
2021-02-13,78.0,78.0,1
2021-02-14,74.0,74.0,1
2021-02-15,69.0,69.0,1
2021-02-16,79.0,79.0,1
2021-02-17,73.0,73.0,1
2021-02-18,81.0,81.0,1
2021-02-19,78.0,78.0,1
2021-02-20,100.0,100.0,1
2021-02-21,71.0,71.0,1
2021-02-22,78.0,78.0,1
2021-02-23,68.0,68.0,1
2021-02-24,77.0,77.0,1
2021-02-25,70.0,70.0,1
2021-02-26,76.0,76.0,1
2021-02-27,84.0,84.0,1
2021-02-28,75.0,75.0,1
2021-03-01,73.0,73.0,1
2021-03-02,78.0,78.0,1
2021-03-03,75.0,75.0,1
2021-03-04,79.0,79.0,1
2021-03-05,74.0,74.0,1
2021-03-06,100.0,100.0,1
2021-03-07,89.0,89.0,1
2021-03-08,66.0,66.0,1
2021-03-09,93.0,93.0,1
2021-03-10,72.0,72.0,1
2021-03-11,64.0,64.0,1
2021-03-12,70.0,70.0,1
2021-03-13,92.0,92.0,1
2021-03-14,89.0,89.0,1
2021-03-15,66.0,66.0,1
2021-03-16,66.0,66.0,1
2021-03-17,74.0,74.0,1
2021-03-18,77.0,77.0,1
2021-03-19,79.0,79.0,1
2021-03-20,84.0,84.0,1
2021-03-21,77.0,77.0,1
2021-03-22,74.0,74.0,1
2021-03-23,75.0,75.0,1
2021-03-24,69.0,69.0,1
2021-03-25,72.0,72.0,1
2021-03-26,74.0,74.0,1
2021-03-27,83.0,83.0,1
2021-03-28,96.0,96.0,1
2021-03-29,72.0,72.0,1
2021-03-30,69.0,69.0,1
2021-03-31,67.0,67.0,1
2021-04-01,73.0,73.0,1
2021-04-02,77.0,77.0,1
2021-04-03,75.0,75.0,1
2021-04-04,85.0,85.0,1
2021-04-05,88.0,88.0,1
2021-04-06,66.0,66.0,1
2021-04-07,70.0,70.0,1
2021-04-08,77.0,77.0,1
2021-04-09,94.0,94.0,1
2021-04-10,89.0,89.0,1
2021-04-11,83.0,83.0,1
2021-04-12,63.0,63.0,1
2021-04-13,77.0,77.0,1
2021-04-14,65.0,65.0,1
2021-04-15,75.0,75.0,1
2021-04-16,82.0,82.0,1
2021-04-17,76.0,76.0,1
2021-04-18,75.0,75.0,1
2021-04-19,59.0,59.0,1
2021-04-20,65.0,65.0,1
2021-04-21,74.0,74.0,1
2021-04-22,67.0,67.0,1
2021-04-23,72.0,72.0,1
2021-04-24,84.0,84.0,1
2021-04-25,89.0,89.0,1
2021-04-26,74.0,74.0,1
2021-04-27,62.0,62.0,1
2021-04-28,66.0,66.0,1
2021-04-29,84.0,84.0,1
2021-04-30,74.0,74.0,1
2021-05-01,81.0,81.0,1
2021-05-02,70.0,70.0,1
2021-05-03,72.0,72.0,1
2021-05-04,70.0,70.0,1
2021-05-05,73.0,73.0,1
2021-05-06,64.0,64.0,1
2021-05-07,62.0,62.0,1
2021-05-08,81.0,81.0,1
2021-05-09,61.0,61.0,1
2021-05-10,65.0,65.0,1
2021-05-11,64.0,64.0,1
2021-05-12,66.0,66.0,1
2021-05-13,70.0,70.0,1
2021-05-14,60.0,60.0,1
