date,/m/01v4y__0,/m/01v4y_,batch_id
2021-02-01,72.0,72.0,1
2021-02-02,51.0,51.0,1
2021-02-03,20.0,20.0,1
2021-02-04,32.0,32.0,1
2021-02-05,32.0,32.0,1
2021-02-06,56.0,56.0,1
2021-02-07,45.0,45.0,1
2021-02-08,82.0,82.0,1
2021-02-09,21.0,21.0,1
2021-02-10,31.0,31.0,1
2021-02-11,32.0,32.0,1
2021-02-12,32.0,32.0,1
2021-02-13,12.0,12.0,1
2021-02-14,36.0,36.0,1
2021-02-15,51.0,51.0,1
2021-02-16,32.0,32.0,1
2021-02-17,53.0,53.0,1
2021-02-18,32.0,32.0,1
2021-02-19,45.0,45.0,1
2021-02-20,26.0,26.0,1
2021-02-21,13.0,13.0,1
2021-02-22,20.0,20.0,1
2021-02-23,65.0,65.0,1
2021-02-24,44.0,44.0,1
2021-02-25,33.0,33.0,1
2021-02-26,33.0,33.0,1
2021-02-27,12.0,12.0,1
2021-02-28,35.0,35.0,1
2021-03-01,63.0,63.0,1
2021-03-02,43.0,43.0,1
2021-03-03,65.0,65.0,1
2021-03-04,62.0,62.0,1
2021-03-05,22.0,22.0,1
2021-03-06,0.0,0.0,1
2021-03-07,58.0,58.0,1
2021-03-08,53.0,53.0,1
2021-03-09,41.0,41.0,1
2021-03-10,74.0,74.0,1
2021-03-11,21.0,21.0,1
2021-03-12,54.0,54.0,1
2021-03-13,56.0,56.0,1
2021-03-14,22.0,22.0,1
2021-03-15,33.0,33.0,1
2021-03-16,9.0,9.0,1
2021-03-17,63.0,63.0,1
2021-03-18,95.0,95.0,1
2021-03-19,44.0,44.0,1
2021-03-20,37.0,37.0,1
2021-03-21,23.0,23.0,1
2021-03-22,84.0,84.0,1
2021-03-23,42.0,42.0,1
2021-03-24,31.0,31.0,1
2021-03-25,54.0,54.0,1
2021-03-26,100.0,100.0,1
2021-03-27,12.0,12.0,1
2021-03-28,87.0,87.0,1
2021-03-29,33.0,33.0,1
2021-03-30,46.0,46.0,1
2021-03-31,70.0,70.0,1
2021-04-01,0.0,0.0,1
2021-04-02,45.0,45.0,1
2021-04-03,12.0,12.0,1
2021-04-04,12.0,12.0,1
2021-04-05,22.0,22.0,1
2021-04-06,40.0,40.0,1
2021-04-07,52.0,52.0,1
2021-04-08,32.0,32.0,1
2021-04-09,33.0,33.0,1
2021-04-10,22.0,22.0,1
2021-04-11,11.0,11.0,1
2021-04-12,10.0,10.0,1
2021-04-13,11.0,11.0,1
2021-04-14,42.0,42.0,1
2021-04-15,54.0,54.0,1
2021-04-16,22.0,22.0,1
2021-04-17,24.0,24.0,1
2021-04-18,12.0,12.0,1
2021-04-19,62.0,62.0,1
2021-04-20,21.0,21.0,1
2021-04-21,43.0,43.0,1
2021-04-22,77.0,77.0,1
2021-04-23,23.0,23.0,1
2021-04-24,0.0,0.0,1
2021-04-25,48.0,48.0,1
2021-04-26,31.0,31.0,1
2021-04-27,44.0,44.0,1
2021-04-28,76.0,76.0,1
2021-04-29,52.0,52.0,1
2021-04-30,21.0,21.0,1
2021-05-01,35.0,35.0,1
2021-05-02,23.0,23.0,1
2021-05-03,31.0,31.0,1
2021-05-04,10.0,10.0,1
2021-05-05,30.0,30.0,1
2021-05-06,42.0,42.0,1
2021-05-07,75.0,75.0,1
2021-05-08,59.0,59.0,1
2021-05-09,25.0,25.0,1
2021-05-10,0.0,0.0,1
2021-05-11,30.0,30.0,1
2021-05-12,21.0,21.0,1
2021-05-13,11.0,11.0,1
2021-05-14,23.0,23.0,1
