date,/m/0pfrr_0,/m/0pfrr,batch_id
2021-02-01,28.0,28.0,1
2021-02-02,39.0,39.0,1
2021-02-03,26.0,26.0,1
2021-02-04,27.0,27.0,1
2021-02-05,28.0,28.0,1
2021-02-06,20.0,20.0,1
2021-02-07,32.0,32.0,1
2021-02-08,30.0,30.0,1
2021-02-09,34.0,34.0,1
2021-02-10,34.0,34.0,1
2021-02-11,29.0,29.0,1
2021-02-12,33.0,33.0,1
2021-02-13,20.0,20.0,1
2021-02-14,25.0,25.0,1
2021-02-15,28.0,28.0,1
2021-02-16,28.0,28.0,1
2021-02-17,26.0,26.0,1
2021-02-18,33.0,33.0,1
2021-02-19,22.0,22.0,1
2021-02-20,37.0,37.0,1
2021-02-21,24.0,24.0,1
2021-02-22,31.0,31.0,1
2021-02-23,37.0,37.0,1
2021-02-24,27.0,27.0,1
2021-02-25,33.0,33.0,1
2021-02-26,38.0,38.0,1
2021-02-27,20.0,20.0,1
2021-02-28,31.0,31.0,1
2021-03-01,32.0,32.0,1
2021-03-02,38.0,38.0,1
2021-03-03,35.0,35.0,1
2021-03-04,28.0,28.0,1
2021-03-05,34.0,34.0,1
2021-03-06,34.0,34.0,1
2021-03-07,25.0,25.0,1
2021-03-08,32.0,32.0,1
2021-03-09,38.0,38.0,1
2021-03-10,32.0,32.0,1
2021-03-11,30.0,30.0,1
2021-03-12,41.0,41.0,1
2021-03-13,27.0,27.0,1
2021-03-14,28.0,28.0,1
2021-03-15,29.0,29.0,1
2021-03-16,26.0,26.0,1
2021-03-17,32.0,32.0,1
2021-03-18,32.0,32.0,1
2021-03-19,36.0,36.0,1
2021-03-20,30.0,30.0,1
2021-03-21,34.0,34.0,1
2021-03-22,32.0,32.0,1
2021-03-23,26.0,26.0,1
2021-03-24,33.0,33.0,1
2021-03-25,34.0,34.0,1
2021-03-26,35.0,35.0,1
2021-03-27,31.0,31.0,1
2021-03-28,31.0,31.0,1
2021-03-29,32.0,32.0,1
2021-03-30,25.0,25.0,1
2021-03-31,24.0,24.0,1
2021-04-01,39.0,39.0,1
2021-04-02,32.0,32.0,1
2021-04-03,29.0,29.0,1
2021-04-04,24.0,24.0,1
2021-04-05,34.0,34.0,1
2021-04-06,36.0,36.0,1
2021-04-07,36.0,36.0,1
2021-04-08,19.0,19.0,1
2021-04-09,33.0,33.0,1
2021-04-10,26.0,26.0,1
2021-04-11,19.0,19.0,1
2021-04-12,41.0,41.0,1
2021-04-13,33.0,33.0,1
2021-04-14,34.0,34.0,1
2021-04-15,34.0,34.0,1
2021-04-16,30.0,30.0,1
2021-04-17,26.0,26.0,1
2021-04-18,22.0,22.0,1
2021-04-19,32.0,32.0,1
2021-04-20,31.0,31.0,1
2021-04-21,40.0,40.0,1
2021-04-22,40.0,40.0,1
2021-04-23,21.0,21.0,1
2021-04-24,24.0,24.0,1
2021-04-25,29.0,29.0,1
2021-04-26,36.0,36.0,1
2021-04-27,37.0,37.0,1
2021-04-28,26.0,26.0,1
2021-04-29,29.0,29.0,1
2021-04-30,40.0,40.0,1
2021-05-01,14.0,14.0,1
2021-05-02,34.0,34.0,1
2021-05-03,43.0,43.0,1
2021-05-04,44.0,44.0,1
2021-05-05,100.0,100.0,1
2021-05-06,30.0,30.0,1
2021-05-07,38.0,38.0,1
2021-05-08,25.0,25.0,1
2021-05-09,31.0,31.0,1
2021-05-10,26.0,26.0,1
2021-05-11,36.0,36.0,1
2021-05-12,39.0,39.0,1
2021-05-13,45.0,45.0,1
2021-05-14,24.0,24.0,1
