date,/m/04hgtk_0,/m/04hgtk,batch_id
2021-02-01,50.0,50.0,1
2021-02-02,46.0,46.0,1
2021-02-03,50.0,50.0,1
2021-02-04,48.0,48.0,1
2021-02-05,51.0,51.0,1
2021-02-06,42.0,42.0,1
2021-02-07,55.0,55.0,1
2021-02-08,42.0,42.0,1
2021-02-09,39.0,39.0,1
2021-02-10,34.0,34.0,1
2021-02-11,47.0,47.0,1
2021-02-12,48.0,48.0,1
2021-02-13,36.0,36.0,1
2021-02-14,49.0,49.0,1
2021-02-15,42.0,42.0,1
2021-02-16,48.0,48.0,1
2021-02-17,44.0,44.0,1
2021-02-18,35.0,35.0,1
2021-02-19,50.0,50.0,1
2021-02-20,71.0,71.0,1
2021-02-21,43.0,43.0,1
2021-02-22,33.0,33.0,1
2021-02-23,56.0,56.0,1
2021-02-24,53.0,53.0,1
2021-02-25,49.0,49.0,1
2021-02-26,53.0,53.0,1
2021-02-27,45.0,45.0,1
2021-02-28,52.0,52.0,1
2021-03-01,39.0,39.0,1
2021-03-02,60.0,60.0,1
2021-03-03,57.0,57.0,1
2021-03-04,42.0,42.0,1
2021-03-05,20.0,20.0,1
2021-03-06,59.0,59.0,1
2021-03-07,100.0,100.0,1
2021-03-08,23.0,23.0,1
2021-03-09,65.0,65.0,1
2021-03-10,23.0,23.0,1
2021-03-11,35.0,35.0,1
2021-03-12,72.0,72.0,1
2021-03-13,59.0,59.0,1
2021-03-14,66.0,66.0,1
2021-03-15,37.0,37.0,1
2021-03-16,44.0,44.0,1
2021-03-17,47.0,47.0,1
2021-03-18,43.0,43.0,1
2021-03-19,53.0,53.0,1
2021-03-20,41.0,41.0,1
2021-03-21,51.0,51.0,1
2021-03-22,51.0,51.0,1
2021-03-23,39.0,39.0,1
2021-03-24,43.0,43.0,1
2021-03-25,68.0,68.0,1
2021-03-26,41.0,41.0,1
2021-03-27,48.0,48.0,1
2021-03-28,46.0,46.0,1
2021-03-29,49.0,49.0,1
2021-03-30,38.0,38.0,1
2021-03-31,57.0,57.0,1
2021-04-01,83.0,83.0,1
2021-04-02,25.0,25.0,1
2021-04-03,46.0,46.0,1
2021-04-04,42.0,42.0,1
2021-04-05,69.0,69.0,1
2021-04-06,53.0,53.0,1
2021-04-07,73.0,73.0,1
2021-04-08,32.0,32.0,1
2021-04-09,49.0,49.0,1
2021-04-10,61.0,61.0,1
2021-04-11,46.0,46.0,1
2021-04-12,53.0,53.0,1
2021-04-13,60.0,60.0,1
2021-04-14,51.0,51.0,1
2021-04-15,72.0,72.0,1
2021-04-16,42.0,42.0,1
2021-04-17,36.0,36.0,1
2021-04-18,50.0,50.0,1
2021-04-19,34.0,34.0,1
2021-04-20,67.0,67.0,1
2021-04-21,56.0,56.0,1
2021-04-22,65.0,65.0,1
2021-04-23,60.0,60.0,1
2021-04-24,47.0,47.0,1
2021-04-25,41.0,41.0,1
2021-04-26,55.0,55.0,1
2021-04-27,28.0,28.0,1
2021-04-28,68.0,68.0,1
2021-04-29,69.0,69.0,1
2021-04-30,31.0,31.0,1
2021-05-01,56.0,56.0,1
2021-05-02,34.0,34.0,1
2021-05-03,50.0,50.0,1
2021-05-04,36.0,36.0,1
2021-05-05,41.0,41.0,1
2021-05-06,35.0,35.0,1
2021-05-07,36.0,36.0,1
2021-05-08,52.0,52.0,1
2021-05-09,37.0,37.0,1
2021-05-10,62.0,62.0,1
2021-05-11,57.0,57.0,1
2021-05-12,55.0,55.0,1
2021-05-13,41.0,41.0,1
2021-05-14,55.0,55.0,1
